Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,Jlint
2,Personalization,4,1000,0,14,3,2416,4,0,0,,2,2,16,1
2,Word,4.4,10000,92,1287,12,206340,2475,1418,326,1,3,2,3,468
2,Sports,4.5,5000,92,2980,45,333568,6148,4530,725,1,2,2,2,474
2,News & Magazines,3.1,10000,51,455,9,44013,571,259,108,,2,3,5,86
2,Medical,4.3,1000,51,1314,15,292293,,,,,11,2,,1296
2,Media & Video,3.3,10000000,92,6439,18,669590,2456,861,363,4,4,6,,1641
2,Tools,3.5,5000,51,68,3,7454,119,33,15,,,2,12,18
2,Music & Audio,3.6,5000,50,807,6,99730,1503,724,172,9,3,7,1,275
2,Transportation,4.3,1000000,50,2496,85386,240750,,,,2,1,3,,467
2,Books & Reference,4.4,5000,51,257,9,26145,276,48,20,1,5,2,8,104
2,Lifestyle,3.9,1000000,100,6327,25,765768,,,,,4,6,,1746
2,Sports,4,100000,51,420,56461,65825,757,168,68,,1,2,,203
2,Sports,3.6,1000,0,42,3,2077,,,,1,,2,,6
2,Communication,3.5,10000,50,465,6,49205,210,23,10,4,1,4,1,112
2,Music & Audio,4,5000,50,433,9,43082,573,139,58,1,1,2,3,90
2,Education,4.3,1000,51,526,6,42423,908,314,99,2,2,2,1,135
2,Education,3.4,1000,51,4770,24,513680,,,,,8,6,,1208
2,Puzzle,4.2,5000,51,205,6,20257,209,52,24,,2,2,8,77
2,Entertainment,4.6,5000,100,589,6,77916,,,,,2,2,,150
2,Travel & Local,4.3,50000,100,2834,6,330693,5459,3798,720,,2,,11,524
2,Tools,4.5,1000000,100,1709,6,225247,,,,,19,5,,892
2,Personalization,3.9,5000,51,70,3,8497,,,,,1,,,57
2,Education,4.2,100000,92,2315,9,274385,4916,3520,622,,2,2,8,399
2,Transportation,4.1,100000,50,554,6,54130,695,314,132,,1,5,13,127
2,Tools,4.4,1000000,53,1423,15,118853,286,32,15,9,2,,,487
2,Tools,4.7,1000000,51,639,6,45791,683,378,85,,,2,11,305
2,Media & Video,3.7,100000,0,24,3,2313,38,10,5,,1,2,,2
2,Tools,3.6,1000,50,23,3,1816,30,10,4,,,,,3
2,Personalization,3.7,50000,0,168,3,15705,,,,,,,,65
2,Tools,3.8,1000,51,115,3,12634,185,52,23,,,2,5,46
2,Casual,3.7,100000,51,567,3691,62883,833,240,93,,1,2,6,386
2,Board,4.2,1000000,51,579,9,70772,610,97,38,,3,3,5,259
2,Transportation,4.4,1000,51,1453,660,167121,2337,1011,372,5,3,2,4,1586
2,Tools,3.7,50000,51,591,9,71062,903,352,118,1,3,2,13,150
