Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Tools,3.6,50000,96,9,7148,86,26,11,0,0,2,1610,1,0,1,0,1,0,0,0,0,0,0,4,8,0,1,0,7,0,0,0,0,51.11111111
2,Casual,3,1000000,1648,12,134373,2134,979,352,0,5,2,3,13,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
2,Tools,3.9,50000,114,3663,11101,117,13,6,0,0,2,2,21,1,0,1,1,0,0,0,0,0,0,3,7,0,1,0,6,0,0,0,0,50
2,Tools,4.3,10000000,2179,6,180248,2836,1103,295,0,7,3,0,134577,1,1,1,1,0,0,0,0,0,0,1,4,0,1,0,3,0,0,0,0,92
2,Entertainment,4.3,10000,1866,12,197124,2919,1326,409,0,0,2,2,4370,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,51.11111111
2,Travel & Local,4.1,10000,463,6,77153,732,207,89,1,6,2,4,30784,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,2,100
2,Books & Reference,4.2,100000,303,9,27734,475,190,56,1,1,2,7,7936,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Personalization,4.5,1000,9,3,2690,1047,427,184,0,2,2,16,5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tools,4.4,50000000,4722,6,432623,6323,2832,702,5,3,4,0,132357,1,1,1,1,0,0,0,0,0,0,5,5,0,1,0,7,0,0,2,0,88
2,Personalization,3.9,500000,81,6,5974,122,76,33,0,2,1,5,6048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Puzzle,4,50000,27,3,4673,75,29,11,0,0,2,0,137824,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,Social,4.8,1000,944,6,79662,1172,506,179,0,4,18,14,30499,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,51.11111111
2,Communication,4.5,10000,70,3663,10833,62,0,0,0,1,2,9,2032,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
2,Travel & Local,5,1000,1191,15,133383,2561,928,348,1,6,2,2,20047,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,2,50
2,Educational,3.6,5000,11,3,2989,36,13,6,0,0,2,14,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Education,3.9,100000,1137,12,116422,1582,721,286,0,10,2,23,27354,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Entertainment,4.7,5000,1206,15,131519,2503,910,341,0,6,2,0,134039,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
2,Transportation,4.2,10000,4342,25,430133,6970,4054,941,0,10,5,0,129752,0,1,1,1,0,0,0,0,0,0,8,5,0,2,0,12,0,0,1,4,95
2,Racing,3.9,500000,1743,9,290067,4336,2581,654,1,3,2,3,29752,1,1,1,1,0,0,0,0,0,0,2,3,0,1,0,4,0,0,0,2,100
2,Entertainment,4.5,1000,3343,18,294517,3906,1545,502,1,9,2,4,10297,0,1,1,1,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,92
2,Communication,4.5,500000,2668,12,203557,2693,739,255,7,0,8,10,16015,1,0,0,1,0,0,0,0,0,0,7,10,2,1,0,12,1,2,1,0,52
2,Personalization,4.7,5000,321,3,33083,404,73,31,0,7,2,0,55095,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,1,51.11111111
2,Health & Fitness,4.1,100000,352,6,32995,528,244,103,4,1,5,0,71473,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,5,0,0,0,0,51.11111111
2,Communication,4.2,1000,33,6,3323,36,10,4,2,0,4,0,68962,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,4,1,1,0,0,50
2,Personalization,4.4,100000,321,6,57124,363,73,31,0,3,2,4,123,0,1,1,1,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,92
2,Racing,3.7,1000000,973,6,105232,1138,382,154,2,1,4,9,32817,0,1,1,1,0,0,0,0,0,0,1,5,0,2,0,6,0,0,0,0,92
