Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount
1,Education,2,1000,51,28,3,1775,41,26,13,2,1,2,5
1,Tools,2.4,100000,51,106,3,12212,131,8,4,,1,2,2
1,Media & Video,2.3,1000,51,418,9,33523,621,372,125,2,1,2,4
1,Productivity,2.9,10000,51,435,6,40867,537,242,101,1,3,2,4
1,Casual,2.3,10000,51,30,3,2227,23,6,3,1,,2,9
1,Education,2.5,1000,51,97,12,10613,124,19,8,,6,2,1
1,Lifestyle,2,1000,51,826,6,74320,1149,304,125,,2,2,6
1,Sports,1.7,1000,0,34,3,1972,9,5,2,,,2,11
1,News & Magazines,2,1000,51,861,6,93027,1382,756,320,,1,2,8
1,Education,2,5000,50,353,3,24155,369,180,45,6,1,2,5
1,Entertainment,2.9,50000,51,53,6,3723,78,24,10,,,2,14
1,Music & Audio,2.6,1000,0,325,6,29724,434,216,90,,2,2,6
1,Health & Fitness,2.7,10000,51,2304,12,256013,3560,1585,558,,3,2,9
1,Travel & Local,2.9,5000,50,1100,3,106491,1573,755,279,3,1,2,10
1,Entertainment,2.2,5000,51,104,9,10440,113,35,15,,,2,1
1,Tools,2.5,10000,51,1667,9,97354,1405,430,133,,,2,6
1,Casual,2.8,10000,51,0,0,0,2230,751,287,7,,5,5
1,News & Magazines,2.7,1000,51,190,6,19861,287,83,33,,1,2,8
1,Personalization,2.8,1000,92,901,79,111230,1221,394,163,1,1,2,14
1,Education,2.8,1000,92,13,6,1707,1,0,0,2,,2,1
1,Entertainment,2.6,1000,92,597,6,86225,705,286,119,,,2,2
1,Tools,2.6,5000,0,28,3,2701,42,8,4,,2,2,9
1,News & Magazines,2.8,10000,51,86,3,10220,126,19,8,,7,2,2
1,Entertainment,2.3,10000,51,459,6,45390,545,247,103,,4,2,4
1,Finance,1.8,5000,51,81,3,5416,101,9,4,2,,2,12
1,Entertainment,2,1000,51,67,3,9239,112,23,11,,7,2,2
1,Entertainment,2.7,1000,92,6112,24,710193,11591,6568,1781,,7,6,3
1,Finance,2.8,1000,0,28,3,1184,17,8,3,,,2,14
1,Lifestyle,2,1000,51,62,6,5148,114,28,13,,,2,6
1,Media & Video,1.8,1000,51,158,9,10288,98,33,10,1,,2,8
1,Casual,2,1000,51,94,3863,11929,191,68,28,1,6,2,3
1,Health & Fitness,2.2,1000,51,165,4950,12093,228,55,22,,,2,10
1,Entertainment,1.8,5000,0,61,6,7084,109,29,13,,1,2,2
1,Transportation,2.3,5000,51,123,3,8661,159,34,14,,1,2,2
1,Travel & Local,2.9,5000,50,67,3,5854,97,31,14,7,1,2,2
1,Board,2.9,10000,92,2342,9,238472,3544,1394,516,1,5,3,3
1,Business,2.5,1000,0,19,3,3483,28,13,5,,,2,29
1,Entertainment,2.8,1000,51,111,3,12191,174,47,21,,,2,4
1,Tools,2.6,10000,51,120,3,13063,240,73,34,1,,2,6
1,Productivity,2.8,1000,0,85,3,19588,668,555,82,,3,2,12
1,Entertainment,2.2,10000,51,362,9,30740,427,129,46,2,,2,8
1,Books & Reference,2.8,1000,51,76,9,5644,120,40,20,,,2,6
1,Entertainment,2.9,5000,50,175,12,17746,258,92,36,,,2,1
1,Books & Reference,2.5,5000,51,117,3,14980,280,169,42,,,2,3
1,Music & Audio,2.7,1000,51,23,21,1206,23,0,0,3,1,5,8
1,Music & Audio,2.5,10000,51,23,21,1204,23,0,0,3,1,5,2
1,Communication,2.7,5000,50,27,3,7644,51,22,11,1,1,2,2
1,Tools,2.8,1000,0,161,6,11835,186,40,14,1,,2,2
1,Transportation,2.3,1000,0,71,6,6239,116,24,10,1,,2,15
1,Sports,2.7,1000,51,61,5117,6021,59,0,0,,,2,9
1,Health & Fitness,2.1,1000,50,147,12,16735,257,52,22,5,,2,6
1,Shopping,2.9,10000,50,241,6,20138,422,195,60,,,2,2
1,Books & Reference,2.4,5000,51,117,3,14987,280,167,39,,,2,14
1,Tools,2.6,10000,51,158,6,13612,148,30,13,,1,2,8
1,News & Magazines,2.6,1000,92,5866,9,654123,10541,5616,1444,3,1,4,15
1,News & Magazines,2,1000,92,5866,9,654123,10541,5575,1428,3,1,4,4
1,News & Magazines,2.3,5000,51,1037,15,107469,1630,620,239,1,1,2,5
1,Lifestyle,2.6,10000,51,184,6,16068,187,39,16,,1,2,7
1,Entertainment,2.7,1000,92,627,9,82590,848,320,132,,2,2,4
1,Entertainment,2.3,10000,51,112,5111,10110,130,16,8,,1,2,3
1,Business,2,1000,51,549,6,61685,776,283,109,,1,2,2
1,Travel & Local,2.8,1000,50,1391,103,159578,1848,684,285,3,6,5,3
1,Travel & Local,2.9,5000,50,1391,103,159574,1848,685,285,3,6,5,1
1,Travel & Local,2.9,1000,50,75,6,5797,112,30,15,,,2,4
1,Media & Video,2.4,1000,0,27,3,1553,48,11,5,,4,2,5
1,Entertainment,2.4,10000,51,167,6,14627,154,28,12,,1,3,2
