Files,LevenDistance
filezilla-3.7.0.1.src.putty.sftp..fxp_rename_send.txt-filezilla-3.7.0.1.src.putty.sftp..fxp_readdir_send.txt,13
filezilla-3.7.0.1.src.putty.sshblowf..blowfish_ssh2_decrypt_blk.txt-filezilla-3.7.0.1.src.putty.sshblowf..blowfish_ssh1_encrypt_blk.txt,2
filezilla-3.7.0.1.src.putty.sshdes..des3_decrypt_blk.txt-filezilla-3.7.0.1.src.putty.sshblowf..blowfish_ssh1_encrypt_blk.txt,25
filezilla-3.7.0.1.src.putty.sshdes..des3_decrypt_blk.txt-filezilla-3.7.0.1.src.putty.sshblowf..blowfish_ssh2_decrypt_blk.txt,23
filezilla-3.7.0.1.src.putty.sshdes..des3_decrypt_blk.txt-filezilla-3.7.0.1.src.putty.sshsh256..sha256_final.txt,36
filezilla-3.7.0.1.src.putty.tree234..foo3.txt-filezilla-3.7.0.1.src.putty.int64..foo2.txt,29
filezilla-3.7.0.1.src.putty.sshcrcda..crcda_make_context.txt-filezilla-3.7.0.1.src.putty.ssharcf..arcfour_make_context.txt,39
filezilla-3.7.0.1.src.putty.sshdes..des_sesskey.txt-filezilla-3.7.0.1.src.putty.sshsh256..sha256_final.txt,30
filezilla-3.7.0.1.src.putty.sshdes..des_sesskey.txt-filezilla-3.7.0.1.src.putty.sshdes..des3_decrypt_blk.txt,31
filezilla-3.7.0.1.src.putty.sshsh256..sha256_simple.txt-filezilla-3.7.0.1.src.putty.sshsh256..sha256_final.txt,30
filezilla-3.7.0.1.src.putty.sshaes..sumprod4d.txt-filezilla-3.7.0.1.src.putty.sshdh..sumprod1b.txt,27
filezilla-3.7.0.1.src.putty.sshdh..dh_setup_gex.txt-filezilla-3.7.0.1.src.putty.sshcrcda..crcda_make_context.txt,35
filezilla-3.7.0.1.src.putty.sshdss..foo3.txt-filezilla-3.7.0.1.src.putty.int64..foo2.txt,30
filezilla-3.7.0.1.src.putty.sshdss..foo3.txt-filezilla-3.7.0.1.src.putty.tree234..foo3.txt,2
filezilla-3.7.0.1.src.putty.sshblowf..blowfish_key.txt-filezilla-3.7.0.1.src.putty.sshblowf..blowfish_ssh1_encrypt_blk.txt,29
filezilla-3.7.0.1.src.putty.sshblowf..blowfish_key.txt-filezilla-3.7.0.1.src.putty.sshblowf..blowfish_ssh2_decrypt_blk.txt,29
