Files,LevenDistance
vlc-2.0.6.compat.inet_pton..foo3.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,36
vlc-2.0.6.compat.setenv..foo3.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,23
vlc-2.0.6.compat.setenv..foo3.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,18
vlc-2.0.6.bin.rootwrap..foo.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,21
vlc-2.0.6.bin.rootwrap..foo.txt-vlc-2.0.6.compat.setenv..foo3.txt,38
vlc-2.0.6.compat.nrand48..sumprod3d.txt-vlc-2.0.6.compat.fsync..sumprod1a.txt,9
vlc-2.0.6.compat.getdelim..foo2.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,23
vlc-2.0.6.compat.getdelim..foo2.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,14
vlc-2.0.6.compat.getdelim..foo2.txt-vlc-2.0.6.compat.setenv..foo3.txt,30
vlc-2.0.6.compat.getdelim..foo2.txt-vlc-2.0.6.bin.rootwrap..foo.txt,20
vlc-2.0.6.compat.flockfile..foo2.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,23
vlc-2.0.6.compat.flockfile..foo2.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,15
vlc-2.0.6.compat.flockfile..foo2.txt-vlc-2.0.6.compat.setenv..foo3.txt,32
vlc-2.0.6.compat.flockfile..foo2.txt-vlc-2.0.6.bin.rootwrap..foo.txt,20
vlc-2.0.6.compat.flockfile..foo2.txt-vlc-2.0.6.compat.getdelim..foo2.txt,2
vlc-2.0.6.modules.codec.wmafixed.mdct..foo.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,22
vlc-2.0.6.modules.codec.wmafixed.mdct..foo.txt-vlc-2.0.6.compat.setenv..foo3.txt,29
vlc-2.0.6.modules.codec.wmafixed.mdct..foo.txt-vlc-2.0.6.bin.rootwrap..foo.txt,29
vlc-2.0.6.modules.codec.wmafixed.mdct..foo.txt-vlc-2.0.6.compat.getdelim..foo2.txt,39
vlc-2.0.6.modules.codec.wmafixed.mdct..foo.txt-vlc-2.0.6.compat.flockfile..foo2.txt,39
vlc-2.0.6.compat.inet_pton..sumprod2a.txt-vlc-2.0.6.compat.fsync..sumprod1a.txt,7
vlc-2.0.6.compat.inet_pton..sumprod2a.txt-vlc-2.0.6.compat.nrand48..sumprod3d.txt,11
vlc-2.0.6.bin.rootwrap..foo3.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,37
vlc-2.0.6.bin.rootwrap..foo3.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,4
vlc-2.0.6.bin.rootwrap..foo3.txt-vlc-2.0.6.compat.setenv..foo3.txt,21
vlc-2.0.6.bin.rootwrap..foo3.txt-vlc-2.0.6.bin.rootwrap..foo.txt,17
vlc-2.0.6.bin.rootwrap..foo3.txt-vlc-2.0.6.compat.getdelim..foo2.txt,17
vlc-2.0.6.bin.rootwrap..foo3.txt-vlc-2.0.6.compat.flockfile..foo2.txt,17
vlc-2.0.6.compat.fsync..foo3.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,23
vlc-2.0.6.compat.fsync..foo3.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,19
vlc-2.0.6.compat.fsync..foo3.txt-vlc-2.0.6.compat.setenv..foo3.txt,2
vlc-2.0.6.compat.fsync..foo3.txt-vlc-2.0.6.bin.rootwrap..foo.txt,38
vlc-2.0.6.compat.fsync..foo3.txt-vlc-2.0.6.compat.getdelim..foo2.txt,31
vlc-2.0.6.compat.fsync..foo3.txt-vlc-2.0.6.compat.flockfile..foo2.txt,31
vlc-2.0.6.compat.fsync..foo3.txt-vlc-2.0.6.modules.codec.wmafixed.mdct..foo.txt,29
vlc-2.0.6.compat.fsync..foo3.txt-vlc-2.0.6.bin.rootwrap..foo3.txt,20
vlc-2.0.6.compat.gmtime_r..sumprod1c.txt-vlc-2.0.6.compat.fsync..sumprod1a.txt,5
vlc-2.0.6.compat.gmtime_r..sumprod1c.txt-vlc-2.0.6.compat.nrand48..sumprod3d.txt,10
vlc-2.0.6.compat.gmtime_r..sumprod1c.txt-vlc-2.0.6.compat.inet_pton..sumprod2a.txt,7
vlc-2.0.6.src.revision..sumprod3e.txt-vlc-2.0.6.compat.fsync..sumprod1a.txt,12
vlc-2.0.6.src.revision..sumprod3e.txt-vlc-2.0.6.compat.nrand48..sumprod3d.txt,17
vlc-2.0.6.src.revision..sumprod3e.txt-vlc-2.0.6.compat.inet_pton..sumprod2a.txt,13
vlc-2.0.6.src.revision..sumprod3e.txt-vlc-2.0.6.compat.gmtime_r..sumprod1c.txt,13
vlc-2.0.6.bin.rootwrap..foo2.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,24
vlc-2.0.6.bin.rootwrap..foo2.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,17
vlc-2.0.6.bin.rootwrap..foo2.txt-vlc-2.0.6.compat.setenv..foo3.txt,34
vlc-2.0.6.bin.rootwrap..foo2.txt-vlc-2.0.6.bin.rootwrap..foo.txt,15
vlc-2.0.6.bin.rootwrap..foo2.txt-vlc-2.0.6.compat.getdelim..foo2.txt,4
vlc-2.0.6.bin.rootwrap..foo2.txt-vlc-2.0.6.compat.flockfile..foo2.txt,4
vlc-2.0.6.bin.rootwrap..foo2.txt-vlc-2.0.6.bin.rootwrap..foo3.txt,12
vlc-2.0.6.bin.rootwrap..foo2.txt-vlc-2.0.6.compat.fsync..foo3.txt,33
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,26
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,35
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.compat.setenv..foo3.txt,20
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.bin.rootwrap..foo.txt,25
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.compat.getdelim..foo2.txt,34
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.compat.flockfile..foo2.txt,35
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.modules.codec.wmafixed.mdct..foo.txt,10
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.bin.rootwrap..foo3.txt,38
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.compat.fsync..foo3.txt,22
vlc-2.0.6.compat.setenv..foo.txt-vlc-2.0.6.bin.rootwrap..foo2.txt,37
vlc-2.0.6.compat.rewind..sumprod4a.txt-vlc-2.0.6.compat.fsync..sumprod1a.txt,3
vlc-2.0.6.compat.rewind..sumprod4a.txt-vlc-2.0.6.compat.nrand48..sumprod3d.txt,9
vlc-2.0.6.compat.rewind..sumprod4a.txt-vlc-2.0.6.compat.inet_pton..sumprod2a.txt,6
vlc-2.0.6.compat.rewind..sumprod4a.txt-vlc-2.0.6.compat.gmtime_r..sumprod1c.txt,5
vlc-2.0.6.compat.rewind..sumprod4a.txt-vlc-2.0.6.src.revision..sumprod3e.txt,12
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.modules.codec.loader.kludge..foo2.txt,36
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.compat.inet_pton..foo3.txt,2
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.compat.setenv..foo3.txt,18
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.bin.rootwrap..foo.txt,21
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.compat.getdelim..foo2.txt,12
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.compat.flockfile..foo2.txt,15
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.bin.rootwrap..foo3.txt,4
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.compat.fsync..foo3.txt,19
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.bin.rootwrap..foo2.txt,17
vlc-2.0.6.compat.getdelim..foo3.txt-vlc-2.0.6.compat.setenv..foo.txt,35
