Files	LevenDistance	Not a Clone	Clone
kraw_try1.sumprod4c()-kraw_try1.sumprod1b()	10		1
kraw_try1.sumprod3d()-kraw_try1.sumprod1b()	6		1
kraw_try1.sumprod3d()-kraw_try1.sumprod4c()	6		1
kraw_try1.mult()-kraw_try1.sumprod1b()	69	1	
kraw_try1.mult()-kraw_try1.sumprod4c()	68	1	
kraw_try1.mult()-kraw_try1.sumprod3d()	67	1	
kraw_try1.main()-kraw_try1.sumprod1b()	90	1	
kraw_try1.main()-kraw_try1.sumprod4c()	90	1	
kraw_try1.main()-kraw_try1.sumprod3d()	90	1	
kraw_try1.main()-kraw_try1.mult()	95	1	
kraw_try1.sumprod4d()-kraw_try1.sumprod1b()	22		1
kraw_try1.sumprod4d()-kraw_try1.sumprod4c()	24		1
kraw_try1.sumprod4d()-kraw_try1.sumprod3d()	22		1
kraw_try1.sumprod4d()-kraw_try1.mult()	71	1	
kraw_try1.sumprod4d()-kraw_try1.main()	89	1	
kraw_try1.sumprod2d()-kraw_try1.sumprod1b()	3		1
kraw_try1.sumprod2d()-kraw_try1.sumprod4c()	11		1
kraw_try1.sumprod2d()-kraw_try1.sumprod3d()	8		1
kraw_try1.sumprod2d()-kraw_try1.mult()	70	1	
kraw_try1.sumprod2d()-kraw_try1.main()	89	1	
kraw_try1.sumprod2d()-kraw_try1.sumprod4d()	24		1
kraw_try1.type1b_krawitz()-kraw_try1.sumprod1b()	39		1
kraw_try1.type1b_krawitz()-kraw_try1.sumprod4c()	39	1	
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3d()	41	1	
kraw_try1.type1b_krawitz()-kraw_try1.mult()	74	1	
kraw_try1.type1b_krawitz()-kraw_try1.main()	88	1	
kraw_try1.type1b_krawitz()-kraw_try1.sumprod4d()	43	1	
kraw_try1.type1b_krawitz()-kraw_try1.sumprod2d()	39	1	
kraw_try1.type3a_krawitz()-kraw_try1.sumprod1b()	39	1	
kraw_try1.type3a_krawitz()-kraw_try1.sumprod4c()	38	1	
kraw_try1.type3a_krawitz()-kraw_try1.sumprod3d()	41	1	
kraw_try1.type3a_krawitz()-kraw_try1.mult()	75	1	
kraw_try1.type3a_krawitz()-kraw_try1.main()	88	1	
kraw_try1.type3a_krawitz()-kraw_try1.sumprod4d()	41	1	
kraw_try1.type3a_krawitz()-kraw_try1.sumprod2d()	38	1	
kraw_try1.type3a_krawitz()-kraw_try1.type1b_krawitz()	10		1
kraw_try1.sumprod2a()-kraw_try1.sumprod1b()	2		1
kraw_try1.sumprod2a()-kraw_try1.sumprod4c()	10		1
kraw_try1.sumprod2a()-kraw_try1.sumprod3d()	8		1
kraw_try1.sumprod2a()-kraw_try1.mult()	69	1	
kraw_try1.sumprod2a()-kraw_try1.main()	90	1	
kraw_try1.sumprod2a()-kraw_try1.sumprod4d()	23		1
kraw_try1.sumprod2a()-kraw_try1.sumprod2d()	4		1
kraw_try1.sumprod2a()-kraw_try1.type1b_krawitz()	40	1	
kraw_try1.sumprod2a()-kraw_try1.type3a_krawitz()	39	1	
kraw_try1.type2b_krawitz()-kraw_try1.sumprod1b()	39	1	
kraw_try1.type2b_krawitz()-kraw_try1.sumprod4c()	39	1	
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3d()	41	1	
kraw_try1.type2b_krawitz()-kraw_try1.mult()	74	1	
kraw_try1.type2b_krawitz()-kraw_try1.main()	88	1	
kraw_try1.type2b_krawitz()-kraw_try1.sumprod4d()	44	1	
kraw_try1.type2b_krawitz()-kraw_try1.sumprod2d()	39	1	
kraw_try1.type2b_krawitz()-kraw_try1.type1b_krawitz()	1		1
kraw_try1.type2b_krawitz()-kraw_try1.type3a_krawitz()	11		1
kraw_try1.type2b_krawitz()-kraw_try1.sumprod2a()	40	1	
kraw_try1.sumprod4a()-kraw_try1.sumprod1b()	1		1
kraw_try1.sumprod4a()-kraw_try1.sumprod4c()	10		1
kraw_try1.sumprod4a()-kraw_try1.sumprod3d()	7		1
kraw_try1.sumprod4a()-kraw_try1.mult()	69	1	
kraw_try1.sumprod4a()-kraw_try1.main()	90	1	
kraw_try1.sumprod4a()-kraw_try1.sumprod4d()	22		1
kraw_try1.sumprod4a()-kraw_try1.sumprod2d()	3		1
kraw_try1.sumprod4a()-kraw_try1.type1b_krawitz()	39	1	
kraw_try1.sumprod4a()-kraw_try1.type3a_krawitz()	39	1	
kraw_try1.sumprod4a()-kraw_try1.sumprod2a()	2		1
kraw_try1.sumprod4a()-kraw_try1.type2b_krawitz()	39	1	
kraw_try1.type3b_krawitz()-kraw_try1.sumprod1b()	54	1	
kraw_try1.type3b_krawitz()-kraw_try1.sumprod4c()	53	1	
kraw_try1.type3b_krawitz()-kraw_try1.sumprod3d()	55	1	
kraw_try1.type3b_krawitz()-kraw_try1.mult()	81	1	
kraw_try1.type3b_krawitz()-kraw_try1.main()	86	1	
kraw_try1.type3b_krawitz()-kraw_try1.sumprod4d()	46	1	
kraw_try1.type3b_krawitz()-kraw_try1.sumprod2d()	53	1	
kraw_try1.type3b_krawitz()-kraw_try1.type1b_krawitz()	26		1
kraw_try1.type3b_krawitz()-kraw_try1.type3a_krawitz()	30		1
kraw_try1.type3b_krawitz()-kraw_try1.sumprod2a()	54	1	
kraw_try1.type3b_krawitz()-kraw_try1.type2b_krawitz()	26		1
kraw_try1.type3b_krawitz()-kraw_try1.sumprod4a()	53	1	
kraw_try1.type1a_krawitz()-kraw_try1.sumprod1b()	39	1	
kraw_try1.type1a_krawitz()-kraw_try1.sumprod4c()	39	1	
kraw_try1.type1a_krawitz()-kraw_try1.sumprod3d()	41	1	
kraw_try1.type1a_krawitz()-kraw_try1.mult()	74	1	
kraw_try1.type1a_krawitz()-kraw_try1.main()	88	1	
kraw_try1.type1a_krawitz()-kraw_try1.sumprod4d()	43	1	
kraw_try1.type1a_krawitz()-kraw_try1.sumprod2d()	39	1	
kraw_try1.type1a_krawitz()-kraw_try1.type1b_krawitz()	0		1
kraw_try1.type1a_krawitz()-kraw_try1.type3a_krawitz()	10		1
kraw_try1.type1a_krawitz()-kraw_try1.sumprod2a()	40	1	
kraw_try1.type1a_krawitz()-kraw_try1.type2b_krawitz()	1		1
kraw_try1.type1a_krawitz()-kraw_try1.sumprod4a()	39	1	
kraw_try1.type1a_krawitz()-kraw_try1.type3b_krawitz()	27		1
kraw_try1.type4b2_krawitz()-kraw_try1.sumprod1b()	57	1	
kraw_try1.type4b2_krawitz()-kraw_try1.sumprod4c()	58	1	
kraw_try1.type4b2_krawitz()-kraw_try1.sumprod3d()	55	1	
kraw_try1.type4b2_krawitz()-kraw_try1.mult()	68	1	
kraw_try1.type4b2_krawitz()-kraw_try1.main()	89	1	
kraw_try1.type4b2_krawitz()-kraw_try1.sumprod4d()	65	1	
kraw_try1.type4b2_krawitz()-kraw_try1.sumprod2d()	58	1	
kraw_try1.type4b2_krawitz()-kraw_try1.type1b_krawitz()	51	1	
kraw_try1.type4b2_krawitz()-kraw_try1.type3a_krawitz()	53	1	
kraw_try1.type4b2_krawitz()-kraw_try1.sumprod2a()	55	1	
kraw_try1.type4b2_krawitz()-kraw_try1.type2b_krawitz()	51	1	
kraw_try1.type4b2_krawitz()-kraw_try1.sumprod4a()	57	1	
kraw_try1.type4b2_krawitz()-kraw_try1.type3b_krawitz()	60	1	
kraw_try1.type4b2_krawitz()-kraw_try1.type1a_krawitz()	52	1	
kraw_try1.sumprod4b()-kraw_try1.sumprod1b()	0		1
kraw_try1.sumprod4b()-kraw_try1.sumprod4c()	10		1
kraw_try1.sumprod4b()-kraw_try1.sumprod3d()	6		1
kraw_try1.sumprod4b()-kraw_try1.mult()	69	1	
kraw_try1.sumprod4b()-kraw_try1.main()	90	1	
kraw_try1.sumprod4b()-kraw_try1.sumprod4d()	22		1
kraw_try1.sumprod4b()-kraw_try1.sumprod2d()	3		1
kraw_try1.sumprod4b()-kraw_try1.type1b_krawitz()	40	1	
kraw_try1.sumprod4b()-kraw_try1.type3a_krawitz()	39	1	
kraw_try1.sumprod4b()-kraw_try1.sumprod2a()	3		1
kraw_try1.sumprod4b()-kraw_try1.type2b_krawitz()	40	1	
kraw_try1.sumprod4b()-kraw_try1.sumprod4a()	1		1
kraw_try1.sumprod4b()-kraw_try1.type3b_krawitz()	54	1	
kraw_try1.sumprod4b()-kraw_try1.type1a_krawitz()	40	1	
kraw_try1.sumprod4b()-kraw_try1.type4b2_krawitz()	56	1	
kraw_try1.sumprod2c()-kraw_try1.sumprod1b()	15		1
kraw_try1.sumprod2c()-kraw_try1.sumprod4c()	15		1
kraw_try1.sumprod2c()-kraw_try1.sumprod3d()	15		1
kraw_try1.sumprod2c()-kraw_try1.mult()	68	1	
kraw_try1.sumprod2c()-kraw_try1.main()	89	1	
kraw_try1.sumprod2c()-kraw_try1.sumprod4d()	32		1
kraw_try1.sumprod2c()-kraw_try1.sumprod2d()	15		1
kraw_try1.sumprod2c()-kraw_try1.type1b_krawitz()	34	1	
kraw_try1.sumprod2c()-kraw_try1.type3a_krawitz()	40	1	
kraw_try1.sumprod2c()-kraw_try1.sumprod2a()	15		1
kraw_try1.sumprod2c()-kraw_try1.type2b_krawitz()	34	1	
kraw_try1.sumprod2c()-kraw_try1.sumprod4a()	15		1
kraw_try1.sumprod2c()-kraw_try1.type3b_krawitz()	49	1	
kraw_try1.sumprod2c()-kraw_try1.type1a_krawitz()	34	1	
kraw_try1.sumprod2c()-kraw_try1.type4b2_krawitz()	55	1	
kraw_try1.sumprod2c()-kraw_try1.sumprod4b()	15		1
kraw_try1.sumprod3e()-kraw_try1.sumprod1b()	10		1
kraw_try1.sumprod3e()-kraw_try1.sumprod4c()	15		1
kraw_try1.sumprod3e()-kraw_try1.sumprod3d()	14		1
kraw_try1.sumprod3e()-kraw_try1.mult()	72	1	
kraw_try1.sumprod3e()-kraw_try1.main()	89	1	
kraw_try1.sumprod3e()-kraw_try1.sumprod4d()	30		1
kraw_try1.sumprod3e()-kraw_try1.sumprod2d()	11		1
kraw_try1.sumprod3e()-kraw_try1.type1b_krawitz()	37	1	
kraw_try1.sumprod3e()-kraw_try1.type3a_krawitz()	38	1	
kraw_try1.sumprod3e()-kraw_try1.sumprod2a()	11		1
kraw_try1.sumprod3e()-kraw_try1.type2b_krawitz()	37	1	
kraw_try1.sumprod3e()-kraw_try1.sumprod4a()	10		1
