Files,LevenDistance
grpmodule.grp_getgrgid()-audioop.audioop_lin2lin(),72.0
cmathmodule.c_prodi()-audioop.audioop_lin2lin(),93.0
cmathmodule.c_prodi()-grpmodule.grp_getgrgid(),82.0
fcntlmodule.fcntl_fcntl()-audioop.audioop_lin2lin(),58.0
fcntlmodule.fcntl_fcntl()-grpmodule.grp_getgrgid(),65.0
fcntlmodule.fcntl_fcntl()-cmathmodule.c_prodi(),91.0
fcntlmodule.ins()-audioop.audioop_lin2lin(),75.0
fcntlmodule.ins()-grpmodule.grp_getgrgid(),51.0
fcntlmodule.ins()-cmathmodule.c_prodi(),79.0
fcntlmodule.ins()-fcntlmodule.fcntl_fcntl(),70.0
cmathmodule.c_asin()-audioop.audioop_lin2lin(),82.0
cmathmodule.c_asin()-grpmodule.grp_getgrgid(),65.0
cmathmodule.c_asin()-cmathmodule.c_prodi(),72.0
cmathmodule.c_asin()-fcntlmodule.fcntl_fcntl(),77.0
cmathmodule.c_asin()-fcntlmodule.ins(),65.0
fpetestmodule.db0()-audioop.audioop_lin2lin(),94.0
fpetestmodule.db0()-grpmodule.grp_getgrgid(),85.0
fpetestmodule.db0()-cmathmodule.c_prodi(),33.0
fpetestmodule.db0()-fcntlmodule.fcntl_fcntl(),92.0
fpetestmodule.db0()-fcntlmodule.ins(),82.0
fpetestmodule.db0()-cmathmodule.c_asin(),79.0
audioop.audioop_cross()-audioop.audioop_lin2lin(),44.0
audioop.audioop_cross()-grpmodule.grp_getgrgid(),62.0
audioop.audioop_cross()-cmathmodule.c_prodi(),88.0
audioop.audioop_cross()-fcntlmodule.fcntl_fcntl(),56.0
audioop.audioop_cross()-fcntlmodule.ins(),64.0
audioop.audioop_cross()-cmathmodule.c_asin(),75.0
audioop.audioop_cross()-fpetestmodule.db0(),90.0
cmathmodule.c_cos()-audioop.audioop_lin2lin(),87.0
cmathmodule.c_cos()-grpmodule.grp_getgrgid(),72.0
cmathmodule.c_cos()-cmathmodule.c_prodi(),53.0
cmathmodule.c_cos()-fcntlmodule.fcntl_fcntl(),83.0
cmathmodule.c_cos()-fcntlmodule.ins(),68.0
cmathmodule.c_cos()-cmathmodule.c_asin(),49.0
cmathmodule.c_cos()-fpetestmodule.db0(),64.0
cmathmodule.c_cos()-audioop.audioop_cross(),80.0
audioop.search()-audioop.audioop_lin2lin(),80.0
audioop.search()-grpmodule.grp_getgrgid(),63.0
audioop.search()-cmathmodule.c_prodi(),73.0
audioop.search()-fcntlmodule.fcntl_fcntl(),78.0
audioop.search()-fcntlmodule.ins(),55.0
audioop.search()-cmathmodule.c_asin(),65.0
audioop.search()-fpetestmodule.db0(),76.0
audioop.search()-audioop.audioop_cross(),67.0
audioop.search()-cmathmodule.c_cos(),64.0
fpetestmodule.nest2()-audioop.audioop_lin2lin(),87.0
fpetestmodule.nest2()-grpmodule.grp_getgrgid(),71.0
fpetestmodule.nest2()-cmathmodule.c_prodi(),62.0
fpetestmodule.nest2()-fcntlmodule.fcntl_fcntl(),84.0
fpetestmodule.nest2()-fcntlmodule.ins(),65.0
fpetestmodule.nest2()-cmathmodule.c_asin(),66.0
fpetestmodule.nest2()-fpetestmodule.db0(),55.0
fpetestmodule.nest2()-audioop.audioop_cross(),79.0
fpetestmodule.nest2()-cmathmodule.c_cos(),56.0
fpetestmodule.nest2()-audioop.search(),53.0
cmathmodule.c_atan()-audioop.audioop_lin2lin(),86.0
cmathmodule.c_atan()-grpmodule.grp_getgrgid(),71.0
cmathmodule.c_atan()-cmathmodule.c_prodi(),59.0
cmathmodule.c_atan()-fcntlmodule.fcntl_fcntl(),82.0
cmathmodule.c_atan()-fcntlmodule.ins(),68.0
cmathmodule.c_atan()-cmathmodule.c_asin(),38.0
cmathmodule.c_atan()-fpetestmodule.db0(),68.0
cmathmodule.c_atan()-audioop.audioop_cross(),80.0
cmathmodule.c_atan()-cmathmodule.c_cos(),34.0
cmathmodule.c_atan()-audioop.search(),65.0
cmathmodule.c_atan()-fpetestmodule.nest2(),58.0
fpectlmodule.fpe_reset()-audioop.audioop_lin2lin(),91.0
fpectlmodule.fpe_reset()-grpmodule.grp_getgrgid(),79.0
fpectlmodule.fpe_reset()-cmathmodule.c_prodi(),49.0
fpectlmodule.fpe_reset()-fcntlmodule.fcntl_fcntl(),89.0
fpectlmodule.fpe_reset()-fcntlmodule.ins(),76.0
fpectlmodule.fpe_reset()-cmathmodule.c_asin(),72.0
fpectlmodule.fpe_reset()-fpetestmodule.db0(),52.0
fpectlmodule.fpe_reset()-audioop.audioop_cross(),86.0
fpectlmodule.fpe_reset()-cmathmodule.c_cos(),60.0
fpectlmodule.fpe_reset()-audioop.search(),70.0
fpectlmodule.fpe_reset()-fpetestmodule.nest2(),59.0
fpectlmodule.fpe_reset()-cmathmodule.c_atan(),62.0
cmathmodule.cmath_log()-audioop.audioop_lin2lin(),54.0
cmathmodule.cmath_log()-grpmodule.grp_getgrgid(),65.0
cmathmodule.cmath_log()-cmathmodule.c_prodi(),91.0
cmathmodule.cmath_log()-fcntlmodule.fcntl_fcntl(),62.0
cmathmodule.cmath_log()-fcntlmodule.ins(),70.0
cmathmodule.cmath_log()-cmathmodule.c_asin(),73.0
cmathmodule.cmath_log()-fpetestmodule.db0(),92.0
cmathmodule.cmath_log()-audioop.audioop_cross(),51.0
cmathmodule.cmath_log()-cmathmodule.c_cos(),81.0
cmathmodule.cmath_log()-audioop.search(),76.0
cmathmodule.cmath_log()-fpetestmodule.nest2(),83.0
cmathmodule.cmath_log()-cmathmodule.c_atan(),80.0
cmathmodule.cmath_log()-fpectlmodule.fpe_reset(),89.0
audioop.audioop_reverse()-audioop.audioop_lin2lin(),18.0
audioop.audioop_reverse()-grpmodule.grp_getgrgid(),67.0
audioop.audioop_reverse()-cmathmodule.c_prodi(),91.0
audioop.audioop_reverse()-fcntlmodule.fcntl_fcntl(),61.0
audioop.audioop_reverse()-fcntlmodule.ins(),71.0
audioop.audioop_reverse()-cmathmodule.c_asin(),80.0
audioop.audioop_reverse()-fpetestmodule.db0(),93.0
audioop.audioop_reverse()-audioop.audioop_cross(),34.0
audioop.audioop_reverse()-cmathmodule.c_cos(),85.0
audioop.audioop_reverse()-audioop.search(),76.0
audioop.audioop_reverse()-fpetestmodule.nest2(),84.0
audioop.audioop_reverse()-cmathmodule.c_atan(),84.0
audioop.audioop_reverse()-fpectlmodule.fpe_reset(),90.0
audioop.audioop_reverse()-cmathmodule.cmath_log(),54.0
audioop.audioop_tostereo()-audioop.audioop_lin2lin(),39.0
audioop.audioop_tostereo()-grpmodule.grp_getgrgid(),76.0
audioop.audioop_tostereo()-cmathmodule.c_prodi(),94.0
audioop.audioop_tostereo()-fcntlmodule.fcntl_fcntl(),62.0
audioop.audioop_tostereo()-fcntlmodule.ins(),79.0
audioop.audioop_tostereo()-cmathmodule.c_asin(),85.0
audioop.audioop_tostereo()-fpetestmodule.db0(),94.0
audioop.audioop_tostereo()-audioop.audioop_cross(),53.0
audioop.audioop_tostereo()-cmathmodule.c_cos(),88.0
audioop.audioop_tostereo()-audioop.search(),83.0
audioop.audioop_tostereo()-fpetestmodule.nest2(),88.0
audioop.audioop_tostereo()-cmathmodule.c_atan(),89.0
audioop.audioop_tostereo()-fpectlmodule.fpe_reset(),92.0
audioop.audioop_tostereo()-cmathmodule.cmath_log(),58.0
audioop.audioop_tostereo()-audioop.audioop_reverse(),34.0
cmathmodule.c_log()-audioop.audioop_lin2lin(),89.0
cmathmodule.c_log()-grpmodule.grp_getgrgid(),74.0
cmathmodule.c_log()-cmathmodule.c_prodi(),43.0
cmathmodule.c_log()-fcntlmodule.fcntl_fcntl(),86.0
cmathmodule.c_log()-fcntlmodule.ins(),72.0
cmathmodule.c_log()-cmathmodule.c_asin(),58.0
cmathmodule.c_log()-fpetestmodule.db0(),57.0
cmathmodule.c_log()-audioop.audioop_cross(),83.0
cmathmodule.c_log()-cmathmodule.c_cos(),32.0
cmathmodule.c_log()-audioop.search(),66.0
cmathmodule.c_log()-fpetestmodule.nest2(),56.0
cmathmodule.c_log()-cmathmodule.c_atan(),45.0
cmathmodule.c_log()-fpectlmodule.fpe_reset(),57.0
cmathmodule.c_log()-cmathmodule.cmath_log(),85.0
cmathmodule.c_log()-audioop.audioop_reverse(),88.0
cmathmodule.c_log()-audioop.audioop_tostereo(),91.0
audioop.audioop_mul()-audioop.audioop_lin2lin(),25.0
audioop.audioop_mul()-grpmodule.grp_getgrgid(),71.0
audioop.audioop_mul()-cmathmodule.c_prodi(),92.0
audioop.audioop_mul()-fcntlmodule.fcntl_fcntl(),61.0
audioop.audioop_mul()-fcntlmodule.ins(),74.0
audioop.audioop_mul()-cmathmodule.c_asin(),82.0
audioop.audioop_mul()-fpetestmodule.db0(),93.0
audioop.audioop_mul()-audioop.audioop_cross(),42.0
audioop.audioop_mul()-cmathmodule.c_cos(),86.0
audioop.audioop_mul()-audioop.search(),79.0
audioop.audioop_mul()-fpetestmodule.nest2(),86.0
audioop.audioop_mul()-cmathmodule.c_atan(),86.0
audioop.audioop_mul()-fpectlmodule.fpe_reset(),91.0
audioop.audioop_mul()-cmathmodule.cmath_log(),54.0
audioop.audioop_mul()-audioop.audioop_reverse(),19.0
audioop.audioop_mul()-audioop.audioop_tostereo(),22.0
audioop.audioop_mul()-cmathmodule.c_log(),88.0
grpmodule.grp_getgrnam()-audioop.audioop_lin2lin(),69.0
grpmodule.grp_getgrnam()-grpmodule.grp_getgrgid(),38.0
grpmodule.grp_getgrnam()-cmathmodule.c_prodi(),86.0
grpmodule.grp_getgrnam()-fcntlmodule.fcntl_fcntl(),62.0
grpmodule.grp_getgrnam()-fcntlmodule.ins(),50.0
grpmodule.grp_getgrnam()-cmathmodule.c_asin(),69.0
grpmodule.grp_getgrnam()-fpetestmodule.db0(),88.0
grpmodule.grp_getgrnam()-audioop.audioop_cross(),60.0
grpmodule.grp_getgrnam()-cmathmodule.c_cos(),76.0
grpmodule.grp_getgrnam()-audioop.search(),68.0
grpmodule.grp_getgrnam()-fpetestmodule.nest2(),76.0
grpmodule.grp_getgrnam()-cmathmodule.c_atan(),75.0
grpmodule.grp_getgrnam()-fpectlmodule.fpe_reset(),83.0
grpmodule.grp_getgrnam()-cmathmodule.cmath_log(),64.0
grpmodule.grp_getgrnam()-audioop.audioop_reverse(),65.0
grpmodule.grp_getgrnam()-audioop.audioop_tostereo(),73.0
grpmodule.grp_getgrnam()-cmathmodule.c_log(),79.0
grpmodule.grp_getgrnam()-audioop.audioop_mul(),68.0
fpetestmodule.test()-audioop.audioop_lin2lin(),74.0
fpetestmodule.test()-grpmodule.grp_getgrgid(),70.0
fpetestmodule.test()-cmathmodule.c_prodi(),89.0
fpetestmodule.test()-fcntlmodule.fcntl_fcntl(),69.0
fpetestmodule.test()-fcntlmodule.ins(),72.0
fpetestmodule.test()-cmathmodule.c_asin(),76.0
fpetestmodule.test()-fpetestmodule.db0(),90.0
fpetestmodule.test()-audioop.audioop_cross(),75.0
fpetestmodule.test()-cmathmodule.c_cos(),81.0
fpetestmodule.test()-audioop.search(),77.0
fpetestmodule.test()-fpetestmodule.nest2(),80.0
fpetestmodule.test()-cmathmodule.c_atan(),80.0
fpetestmodule.test()-fpectlmodule.fpe_reset(),86.0
fpetestmodule.test()-cmathmodule.cmath_log(),72.0
fpetestmodule.test()-audioop.audioop_reverse(),72.0
fpetestmodule.test()-audioop.audioop_tostereo(),76.0
fpetestmodule.test()-cmathmodule.c_log(),83.0
fpetestmodule.test()-audioop.audioop_mul(),73.0
fpetestmodule.test()-grpmodule.grp_getgrnam(),71.0
fpectlmodule.sigfpe_handler()-audioop.audioop_lin2lin(),89.0
fpectlmodule.sigfpe_handler()-grpmodule.grp_getgrgid(),76.0
fpectlmodule.sigfpe_handler()-cmathmodule.c_prodi(),62.0
fpectlmodule.sigfpe_handler()-fcntlmodule.fcntl_fcntl(),86.0
fpectlmodule.sigfpe_handler()-fcntlmodule.ins(),72.0
fpectlmodule.sigfpe_handler()-cmathmodule.c_asin(),70.0
fpectlmodule.sigfpe_handler()-fpetestmodule.db0(),62.0
fpectlmodule.sigfpe_handler()-audioop.audioop_cross(),84.0
fpectlmodule.sigfpe_handler()-cmathmodule.c_cos(),62.0
fpectlmodule.sigfpe_handler()-audioop.search(),68.0
fpectlmodule.sigfpe_handler()-fpetestmodule.nest2(),58.0
fpectlmodule.sigfpe_handler()-cmathmodule.c_atan(),63.0
fpectlmodule.sigfpe_handler()-fpectlmodule.fpe_reset(),50.0
fpectlmodule.sigfpe_handler()-cmathmodule.cmath_log(),86.0
fpectlmodule.sigfpe_handler()-audioop.audioop_reverse(),87.0
fpectlmodule.sigfpe_handler()-audioop.audioop_tostereo(),91.0
fpectlmodule.sigfpe_handler()-cmathmodule.c_log(),63.0
fpectlmodule.sigfpe_handler()-audioop.audioop_mul(),89.0
fpectlmodule.sigfpe_handler()-grpmodule.grp_getgrnam(),80.0
fpectlmodule.sigfpe_handler()-fpetestmodule.test(),83.0
grpmodule.initgrp()-audioop.audioop_lin2lin(),80.0
grpmodule.initgrp()-grpmodule.grp_getgrgid(),66.0
grpmodule.initgrp()-cmathmodule.c_prodi(),81.0
grpmodule.initgrp()-fcntlmodule.fcntl_fcntl(),75.0
grpmodule.initgrp()-fcntlmodule.ins(),70.0
grpmodule.initgrp()-cmathmodule.c_asin(),72.0
grpmodule.initgrp()-fpetestmodule.db0(),84.0
grpmodule.initgrp()-audioop.audioop_cross(),73.0
grpmodule.initgrp()-cmathmodule.c_cos(),74.0
grpmodule.initgrp()-audioop.search(),67.0
grpmodule.initgrp()-fpetestmodule.nest2(),71.0
grpmodule.initgrp()-cmathmodule.c_atan(),72.0
grpmodule.initgrp()-fpectlmodule.fpe_reset(),79.0
grpmodule.initgrp()-cmathmodule.cmath_log(),76.0
grpmodule.initgrp()-audioop.audioop_reverse(),77.0
grpmodule.initgrp()-audioop.audioop_tostereo(),83.0
grpmodule.initgrp()-cmathmodule.c_log(),76.0
grpmodule.initgrp()-audioop.audioop_mul(),79.0
grpmodule.initgrp()-grpmodule.grp_getgrnam(),68.0
grpmodule.initgrp()-fpetestmodule.test(),74.0
grpmodule.initgrp()-fpectlmodule.sigfpe_handler(),74.0
audioop.audioop_lin2alaw()-audioop.audioop_lin2lin(),31.0
audioop.audioop_lin2alaw()-grpmodule.grp_getgrgid(),65.0
audioop.audioop_lin2alaw()-cmathmodule.c_prodi(),90.0
audioop.audioop_lin2alaw()-fcntlmodule.fcntl_fcntl(),58.0
audioop.audioop_lin2alaw()-fcntlmodule.ins(),67.0
audioop.audioop_lin2alaw()-cmathmodule.c_asin(),76.0
audioop.audioop_lin2alaw()-fpetestmodule.db0(),91.0
audioop.audioop_lin2alaw()-audioop.audioop_cross(),27.0
audioop.audioop_lin2alaw()-cmathmodule.c_cos(),82.0
audioop.audioop_lin2alaw()-audioop.search(),73.0
audioop.audioop_lin2alaw()-fpetestmodule.nest2(),82.0
audioop.audioop_lin2alaw()-cmathmodule.c_atan(),82.0
audioop.audioop_lin2alaw()-fpectlmodule.fpe_reset(),88.0
audioop.audioop_lin2alaw()-cmathmodule.cmath_log(),55.0
audioop.audioop_lin2alaw()-audioop.audioop_reverse(),19.0
audioop.audioop_lin2alaw()-audioop.audioop_tostereo(),46.0
audioop.audioop_lin2alaw()-cmathmodule.c_log(),85.0
audioop.audioop_lin2alaw()-audioop.audioop_mul(),32.0
audioop.audioop_lin2alaw()-grpmodule.grp_getgrnam(),62.0
audioop.audioop_lin2alaw()-fpetestmodule.test(),73.0
audioop.audioop_lin2alaw()-fpectlmodule.sigfpe_handler(),85.0
audioop.audioop_lin2alaw()-grpmodule.initgrp(),74.0
audioop.gcd()-audioop.audioop_lin2lin(),86.0
audioop.gcd()-grpmodule.grp_getgrgid(),73.0
audioop.gcd()-cmathmodule.c_prodi(),63.0
audioop.gcd()-fcntlmodule.fcntl_fcntl(),85.0
audioop.gcd()-fcntlmodule.ins(),65.0
audioop.gcd()-cmathmodule.c_asin(),68.0
audioop.gcd()-fpetestmodule.db0(),64.0
audioop.gcd()-audioop.audioop_cross(),78.0
audioop.gcd()-cmathmodule.c_cos(),59.0
audioop.gcd()-audioop.search(),41.0
audioop.gcd()-fpetestmodule.nest2(),45.0
audioop.gcd()-cmathmodule.c_atan(),62.0
audioop.gcd()-fpectlmodule.fpe_reset(),64.0
audioop.gcd()-cmathmodule.cmath_log(),84.0
audioop.gcd()-audioop.audioop_reverse(),84.0
audioop.gcd()-audioop.audioop_tostereo(),89.0
audioop.gcd()-cmathmodule.c_log(),61.0
audioop.gcd()-audioop.audioop_mul(),86.0
audioop.gcd()-grpmodule.grp_getgrnam(),78.0
audioop.gcd()-fpetestmodule.test(),83.0
audioop.gcd()-fpectlmodule.sigfpe_handler(),62.0
audioop.gcd()-grpmodule.initgrp(),72.0
audioop.gcd()-audioop.audioop_lin2alaw(),81.0
audioop.audioop_ratecv()-audioop.audioop_lin2lin(),74.0
audioop.audioop_ratecv()-grpmodule.grp_getgrgid(),90.0
audioop.audioop_ratecv()-cmathmodule.c_prodi(),97.0
audioop.audioop_ratecv()-fcntlmodule.fcntl_fcntl(),82.0
audioop.audioop_ratecv()-fcntlmodule.ins(),92.0
audioop.audioop_ratecv()-cmathmodule.c_asin(),93.0
audioop.audioop_ratecv()-fpetestmodule.db0(),98.0
audioop.audioop_ratecv()-audioop.audioop_cross(),84.0
audioop.audioop_ratecv()-cmathmodule.c_cos(),96.0
audioop.audioop_ratecv()-audioop.search(),94.0
audioop.audioop_ratecv()-fpetestmodule.nest2(),96.0
audioop.audioop_ratecv()-cmathmodule.c_atan(),95.0
audioop.audioop_ratecv()-fpectlmodule.fpe_reset(),97.0
audioop.audioop_ratecv()-cmathmodule.cmath_log(),81.0
audioop.audioop_ratecv()-audioop.audioop_reverse(),78.0
audioop.audioop_ratecv()-audioop.audioop_tostereo(),71.0
audioop.audioop_ratecv()-cmathmodule.c_log(),96.0
audioop.audioop_ratecv()-audioop.audioop_mul(),76.0
audioop.audioop_ratecv()-grpmodule.grp_getgrnam(),87.0
audioop.audioop_ratecv()-fpetestmodule.test(),88.0
audioop.audioop_ratecv()-fpectlmodule.sigfpe_handler(),96.0
audioop.audioop_ratecv()-grpmodule.initgrp(),92.0
audioop.audioop_ratecv()-audioop.audioop_lin2alaw(),82.0
audioop.audioop_ratecv()-audioop.gcd(),96.0
audioop.audioop_minmax()-audioop.audioop_lin2lin(),44.0
audioop.audioop_minmax()-grpmodule.grp_getgrgid(),62.0
audioop.audioop_minmax()-cmathmodule.c_prodi(),89.0
audioop.audioop_minmax()-fcntlmodule.fcntl_fcntl(),57.0
audioop.audioop_minmax()-fcntlmodule.ins(),66.0
audioop.audioop_minmax()-cmathmodule.c_asin(),76.0
audioop.audioop_minmax()-fpetestmodule.db0(),91.0
audioop.audioop_minmax()-audioop.audioop_cross(),13.0
audioop.audioop_minmax()-cmathmodule.c_cos(),82.0
audioop.audioop_minmax()-audioop.search(),69.0
audioop.audioop_minmax()-fpetestmodule.nest2(),80.0
audioop.audioop_minmax()-cmathmodule.c_atan(),81.0
audioop.audioop_minmax()-fpectlmodule.fpe_reset(),87.0
audioop.audioop_minmax()-cmathmodule.cmath_log(),50.0
audioop.audioop_minmax()-audioop.audioop_reverse(),36.0
audioop.audioop_minmax()-audioop.audioop_tostereo(),53.0
audioop.audioop_minmax()-cmathmodule.c_log(),84.0
audioop.audioop_minmax()-audioop.audioop_mul(),42.0
audioop.audioop_minmax()-grpmodule.grp_getgrnam(),59.0
audioop.audioop_minmax()-fpetestmodule.test(),77.0
audioop.audioop_minmax()-fpectlmodule.sigfpe_handler(),85.0
audioop.audioop_minmax()-grpmodule.initgrp(),73.0
audioop.audioop_minmax()-audioop.audioop_lin2alaw(),33.0
audioop.audioop_minmax()-audioop.gcd(),79.0
audioop.audioop_minmax()-audioop.audioop_ratecv(),84.0
fcntlmodule.fcntl_lockf()-audioop.audioop_lin2lin(),58.0
fcntlmodule.fcntl_lockf()-grpmodule.grp_getgrgid(),64.0
fcntlmodule.fcntl_lockf()-cmathmodule.c_prodi(),91.0
