Files,LevenDistance
mod_cache.set_cache_store_nostore()-http_core.set_keep_alive_timeout(),47.0
http_core.ap_process_http_async_connection()-http_core.set_keep_alive_timeout(),77.0
http_core.ap_process_http_async_connection()-mod_cache.set_cache_store_nostore(),82.0
mod_cache.cache_out_filter()-http_core.set_keep_alive_timeout(),75.0
mod_cache.cache_out_filter()-mod_cache.set_cache_store_nostore(),78.0
mod_cache.cache_out_filter()-http_core.ap_process_http_async_connection(),72.0
mod_file_cache.mmap_handler()-http_core.set_keep_alive_timeout(),87.0
mod_file_cache.mmap_handler()-mod_cache.set_cache_store_nostore(),88.0
mod_file_cache.mmap_handler()-http_core.ap_process_http_async_connection(),74.0
mod_file_cache.mmap_handler()-mod_cache.cache_out_filter(),76.0
mod_cache.add_cache_disable()-http_core.set_keep_alive_timeout(),51.0
mod_cache.add_cache_disable()-mod_cache.set_cache_store_nostore(),52.0
mod_cache.add_cache_disable()-http_core.ap_process_http_async_connection(),73.0
mod_cache.add_cache_disable()-mod_cache.cache_out_filter(),66.0
mod_cache.add_cache_disable()-mod_file_cache.mmap_handler(),81.0
mod_file_cache.sendfile_handler()-http_core.set_keep_alive_timeout(),87.0
mod_file_cache.sendfile_handler()-mod_cache.set_cache_store_nostore(),88.0
mod_file_cache.sendfile_handler()-http_core.ap_process_http_async_connection(),74.0
mod_file_cache.sendfile_handler()-mod_cache.cache_out_filter(),76.0
mod_file_cache.sendfile_handler()-mod_file_cache.mmap_handler(),3.0
mod_file_cache.sendfile_handler()-mod_cache.add_cache_disable(),81.0
mod_cache.cache_remove_url_filter()-http_core.set_keep_alive_timeout(),64.0
mod_cache.cache_remove_url_filter()-mod_cache.set_cache_store_nostore(),68.0
mod_cache.cache_remove_url_filter()-http_core.ap_process_http_async_connection(),72.0
mod_cache.cache_remove_url_filter()-mod_cache.cache_out_filter(),51.0
mod_cache.cache_remove_url_filter()-mod_file_cache.mmap_handler(),83.0
mod_cache.cache_remove_url_filter()-mod_cache.add_cache_disable(),64.0
mod_cache.cache_remove_url_filter()-mod_file_cache.sendfile_handler(),83.0
mod_cache.add_ignore_session_id()-http_core.set_keep_alive_timeout(),63.0
mod_cache.add_ignore_session_id()-mod_cache.set_cache_store_nostore(),60.0
mod_cache.add_ignore_session_id()-http_core.ap_process_http_async_connection(),68.0
mod_cache.add_ignore_session_id()-mod_cache.cache_out_filter(),66.0
mod_cache.add_ignore_session_id()-mod_file_cache.mmap_handler(),80.0
mod_cache.add_ignore_session_id()-mod_cache.add_cache_disable(),46.0
mod_cache.add_ignore_session_id()-mod_file_cache.sendfile_handler(),80.0
mod_cache.add_ignore_session_id()-mod_cache.cache_remove_url_filter(),66.0
http_core.http_create_request()-http_core.set_keep_alive_timeout(),70.0
http_core.http_create_request()-mod_cache.set_cache_store_nostore(),72.0
http_core.http_create_request()-http_core.ap_process_http_async_connection(),69.0
http_core.http_create_request()-mod_cache.cache_out_filter(),71.0
http_core.http_create_request()-mod_file_cache.mmap_handler(),83.0
http_core.http_create_request()-mod_cache.add_cache_disable(),71.0
http_core.http_create_request()-mod_file_cache.sendfile_handler(),83.0
http_core.http_create_request()-mod_cache.cache_remove_url_filter(),68.0
http_core.http_create_request()-mod_cache.add_ignore_session_id(),66.0
http_core.set_keep_alive_max()-http_core.set_keep_alive_timeout(),15.0
http_core.set_keep_alive_max()-mod_cache.set_cache_store_nostore(),47.0
http_core.set_keep_alive_max()-http_core.ap_process_http_async_connection(),78.0
http_core.set_keep_alive_max()-mod_cache.cache_out_filter(),76.0
http_core.set_keep_alive_max()-mod_file_cache.mmap_handler(),87.0
http_core.set_keep_alive_max()-mod_cache.add_cache_disable(),53.0
http_core.set_keep_alive_max()-mod_file_cache.sendfile_handler(),87.0
http_core.set_keep_alive_max()-mod_cache.cache_remove_url_filter(),63.0
http_core.set_keep_alive_max()-mod_cache.add_ignore_session_id(),64.0
http_core.set_keep_alive_max()-http_core.http_create_request(),70.0
http_core.set_keep_alive()-http_core.set_keep_alive_timeout(),31.0
http_core.set_keep_alive()-mod_cache.set_cache_store_nostore(),57.0
http_core.set_keep_alive()-http_core.ap_process_http_async_connection(),71.0
http_core.set_keep_alive()-mod_cache.cache_out_filter(),70.0
http_core.set_keep_alive()-mod_file_cache.mmap_handler(),84.0
http_core.set_keep_alive()-mod_cache.add_cache_disable(),48.0
http_core.set_keep_alive()-mod_file_cache.sendfile_handler(),83.0
http_core.set_keep_alive()-mod_cache.cache_remove_url_filter(),65.0
http_core.set_keep_alive()-mod_cache.add_ignore_session_id(),53.0
http_core.set_keep_alive()-http_core.http_create_request(),73.0
http_core.set_keep_alive()-http_core.set_keep_alive_max(),34.0
mod_file_cache.cachefilemmap()-http_core.set_keep_alive_timeout(),52.0
mod_file_cache.cachefilemmap()-mod_cache.set_cache_store_nostore(),46.0
mod_file_cache.cachefilemmap()-http_core.ap_process_http_async_connection(),86.0
mod_file_cache.cachefilemmap()-mod_cache.cache_out_filter(),83.0
mod_file_cache.cachefilemmap()-mod_file_cache.mmap_handler(),92.0
mod_file_cache.cachefilemmap()-mod_cache.add_cache_disable(),67.0
mod_file_cache.cachefilemmap()-mod_file_cache.sendfile_handler(),92.0
mod_file_cache.cachefilemmap()-mod_cache.cache_remove_url_filter(),75.0
