Files,LevenDistance
outfuncs._outjoinpathinfo()-outfuncs._outbitmapheapscan(),49.0
outfuncs._outaggref()-outfuncs._outbitmapheapscan(),64.0
outfuncs._outaggref()-outfuncs._outjoinpathinfo(),51.0
outfuncs._outvaluesscan()-outfuncs._outbitmapheapscan(),13.0
outfuncs._outvaluesscan()-outfuncs._outjoinpathinfo(),47.0
outfuncs._outvaluesscan()-outfuncs._outaggref(),62.0
outfuncs._outctescan()-outfuncs._outbitmapheapscan(),24.0
outfuncs._outctescan()-outfuncs._outjoinpathinfo(),46.0
outfuncs._outctescan()-outfuncs._outaggref(),58.0
outfuncs._outctescan()-outfuncs._outvaluesscan(),21.0
list.list_copy()-outfuncs._outbitmapheapscan(),77.0
list.list_copy()-outfuncs._outjoinpathinfo(),73.0
list.list_copy()-outfuncs._outaggref(),71.0
list.list_copy()-outfuncs._outvaluesscan(),77.0
list.list_copy()-outfuncs._outctescan(),79.0
readfuncs._readsortgroupclause()-outfuncs._outbitmapheapscan(),84.0
readfuncs._readsortgroupclause()-outfuncs._outjoinpathinfo(),78.0
readfuncs._readsortgroupclause()-outfuncs._outaggref(),76.0
readfuncs._readsortgroupclause()-outfuncs._outvaluesscan(),84.0
readfuncs._readsortgroupclause()-outfuncs._outctescan(),83.0
readfuncs._readsortgroupclause()-list.list_copy(),70.0
readfuncs._readintoclause()-outfuncs._outbitmapheapscan(),81.0
readfuncs._readintoclause()-outfuncs._outjoinpathinfo(),75.0
readfuncs._readintoclause()-outfuncs._outaggref(),73.0
readfuncs._readintoclause()-outfuncs._outvaluesscan(),82.0
readfuncs._readintoclause()-outfuncs._outctescan(),82.0
readfuncs._readintoclause()-list.list_copy(),68.0
readfuncs._readintoclause()-readfuncs._readsortgroupclause(),36.0
outfuncs._outlimit()-outfuncs._outbitmapheapscan(),35.0
outfuncs._outlimit()-outfuncs._outjoinpathinfo(),34.0
outfuncs._outlimit()-outfuncs._outaggref(),54.0
outfuncs._outlimit()-outfuncs._outvaluesscan(),32.0
outfuncs._outlimit()-outfuncs._outctescan(),29.0
outfuncs._outlimit()-list.list_copy(),75.0
outfuncs._outlimit()-readfuncs._readsortgroupclause(),81.0
outfuncs._outlimit()-readfuncs._readintoclause(),78.0
list.list_concat_unique_ptr()-outfuncs._outbitmapheapscan(),69.0
list.list_concat_unique_ptr()-outfuncs._outjoinpathinfo(),71.0
list.list_concat_unique_ptr()-outfuncs._outaggref(),67.0
list.list_concat_unique_ptr()-outfuncs._outvaluesscan(),68.0
list.list_concat_unique_ptr()-outfuncs._outctescan(),67.0
list.list_concat_unique_ptr()-list.list_copy(),60.0
list.list_concat_unique_ptr()-readfuncs._readsortgroupclause(),80.0
list.list_concat_unique_ptr()-readfuncs._readintoclause(),77.0
list.list_concat_unique_ptr()-outfuncs._outlimit(),65.0
readfuncs._readnulltest()-outfuncs._outbitmapheapscan(),76.0
readfuncs._readnulltest()-outfuncs._outjoinpathinfo(),70.0
readfuncs._readnulltest()-outfuncs._outaggref(),70.0
readfuncs._readnulltest()-outfuncs._outvaluesscan(),75.0
readfuncs._readnulltest()-outfuncs._outctescan(),75.0
readfuncs._readnulltest()-list.list_copy(),68.0
readfuncs._readnulltest()-readfuncs._readsortgroupclause(),46.0
readfuncs._readnulltest()-readfuncs._readintoclause(),36.0
readfuncs._readnulltest()-outfuncs._outlimit(),72.0
readfuncs._readnulltest()-list.list_concat_unique_ptr(),71.0
outfuncs._outcreatestmt()-outfuncs._outbitmapheapscan(),61.0
outfuncs._outcreatestmt()-outfuncs._outjoinpathinfo(),42.0
outfuncs._outcreatestmt()-outfuncs._outaggref(),46.0
outfuncs._outcreatestmt()-outfuncs._outvaluesscan(),61.0
outfuncs._outcreatestmt()-outfuncs._outctescan(),58.0
outfuncs._outcreatestmt()-list.list_copy(),76.0
outfuncs._outcreatestmt()-readfuncs._readsortgroupclause(),75.0
outfuncs._outcreatestmt()-readfuncs._readintoclause(),72.0
outfuncs._outcreatestmt()-outfuncs._outlimit(),52.0
outfuncs._outcreatestmt()-list.list_concat_unique_ptr(),72.0
outfuncs._outcreatestmt()-readfuncs._readnulltest(),71.0
list.list_union()-outfuncs._outbitmapheapscan(),72.0
list.list_union()-outfuncs._outjoinpathinfo(),71.0
list.list_union()-outfuncs._outaggref(),65.0
list.list_union()-outfuncs._outvaluesscan(),70.0
list.list_union()-outfuncs._outctescan(),68.0
list.list_union()-list.list_copy(),55.0
list.list_union()-readfuncs._readsortgroupclause(),78.0
list.list_union()-readfuncs._readintoclause(),75.0
list.list_union()-outfuncs._outlimit(),66.0
list.list_union()-list.list_concat_unique_ptr(),16.0
list.list_union()-readfuncs._readnulltest(),69.0
list.list_union()-outfuncs._outcreatestmt(),71.0
outfuncs._outselectstmt()-outfuncs._outbitmapheapscan(),81.0
outfuncs._outselectstmt()-outfuncs._outjoinpathinfo(),71.0
outfuncs._outselectstmt()-outfuncs._outaggref(),64.0
outfuncs._outselectstmt()-outfuncs._outvaluesscan(),81.0
outfuncs._outselectstmt()-outfuncs._outctescan(),81.0
outfuncs._outselectstmt()-list.list_copy(),75.0
outfuncs._outselectstmt()-readfuncs._readsortgroupclause(),76.0
outfuncs._outselectstmt()-readfuncs._readintoclause(),73.0
outfuncs._outselectstmt()-outfuncs._outlimit(),77.0
outfuncs._outselectstmt()-list.list_concat_unique_ptr(),81.0
outfuncs._outselectstmt()-readfuncs._readnulltest(),75.0
outfuncs._outselectstmt()-outfuncs._outcreatestmt(),58.0
outfuncs._outselectstmt()-list.list_union(),80.0
readfuncs._readrowexpr()-outfuncs._outbitmapheapscan(),81.0
readfuncs._readrowexpr()-outfuncs._outjoinpathinfo(),76.0
readfuncs._readrowexpr()-outfuncs._outaggref(),73.0
readfuncs._readrowexpr()-outfuncs._outvaluesscan(),82.0
readfuncs._readrowexpr()-outfuncs._outctescan(),82.0
readfuncs._readrowexpr()-list.list_copy(),68.0
readfuncs._readrowexpr()-readfuncs._readsortgroupclause(),27.0
readfuncs._readrowexpr()-readfuncs._readintoclause(),26.0
readfuncs._readrowexpr()-outfuncs._outlimit(),78.0
readfuncs._readrowexpr()-list.list_concat_unique_ptr(),77.0
readfuncs._readrowexpr()-readfuncs._readnulltest(),38.0
readfuncs._readrowexpr()-outfuncs._outcreatestmt(),72.0
readfuncs._readrowexpr()-list.list_union(),76.0
readfuncs._readrowexpr()-outfuncs._outselectstmt(),74.0
outfuncs._outcasetestexpr()-outfuncs._outbitmapheapscan(),34.0
outfuncs._outcasetestexpr()-outfuncs._outjoinpathinfo(),53.0
outfuncs._outcasetestexpr()-outfuncs._outaggref(),64.0
outfuncs._outcasetestexpr()-outfuncs._outvaluesscan(),32.0
outfuncs._outcasetestexpr()-outfuncs._outctescan(),24.0
outfuncs._outcasetestexpr()-list.list_copy(),80.0
outfuncs._outcasetestexpr()-readfuncs._readsortgroupclause(),85.0
outfuncs._outcasetestexpr()-readfuncs._readintoclause(),83.0
outfuncs._outcasetestexpr()-outfuncs._outlimit(),41.0
outfuncs._outcasetestexpr()-list.list_concat_unique_ptr(),68.0
outfuncs._outcasetestexpr()-readfuncs._readnulltest(),78.0
outfuncs._outcasetestexpr()-outfuncs._outcreatestmt(),63.0
outfuncs._outcasetestexpr()-list.list_union(),71.0
outfuncs._outcasetestexpr()-outfuncs._outselectstmt(),83.0
outfuncs._outcasetestexpr()-readfuncs._readrowexpr(),83.0
list.list_concat_unique()-outfuncs._outbitmapheapscan(),69.0
list.list_concat_unique()-outfuncs._outjoinpathinfo(),69.0
list.list_concat_unique()-outfuncs._outaggref(),67.0
list.list_concat_unique()-outfuncs._outvaluesscan(),68.0
list.list_concat_unique()-outfuncs._outctescan(),66.0
list.list_concat_unique()-list.list_copy(),60.0
list.list_concat_unique()-readfuncs._readsortgroupclause(),79.0
list.list_concat_unique()-readfuncs._readintoclause(),76.0
list.list_concat_unique()-outfuncs._outlimit(),65.0
list.list_concat_unique()-list.list_concat_unique_ptr(),2.0
list.list_concat_unique()-readfuncs._readnulltest(),70.0
list.list_concat_unique()-outfuncs._outcreatestmt(),71.0
list.list_concat_unique()-list.list_union(),14.0
list.list_concat_unique()-outfuncs._outselectstmt(),81.0
list.list_concat_unique()-readfuncs._readrowexpr(),77.0
list.list_concat_unique()-outfuncs._outcasetestexpr(),68.0
outfuncs._outrangetblref()-outfuncs._outbitmapheapscan(),37.0
outfuncs._outrangetblref()-outfuncs._outjoinpathinfo(),58.0
outfuncs._outrangetblref()-outfuncs._outaggref(),68.0
outfuncs._outrangetblref()-outfuncs._outvaluesscan(),35.0
outfuncs._outrangetblref()-outfuncs._outctescan(),38.0
outfuncs._outrangetblref()-list.list_copy(),82.0
outfuncs._outrangetblref()-readfuncs._readsortgroupclause(),87.0
outfuncs._outrangetblref()-readfuncs._readintoclause(),85.0
outfuncs._outrangetblref()-outfuncs._outlimit(),49.0
outfuncs._outrangetblref()-list.list_concat_unique_ptr(),70.0
outfuncs._outrangetblref()-readfuncs._readnulltest(),80.0
outfuncs._outrangetblref()-outfuncs._outcreatestmt(),70.0
outfuncs._outrangetblref()-list.list_union(),73.0
outfuncs._outrangetblref()-outfuncs._outselectstmt(),86.0
outfuncs._outrangetblref()-readfuncs._readrowexpr(),85.0
outfuncs._outrangetblref()-outfuncs._outcasetestexpr(),28.0
outfuncs._outrangetblref()-list.list_concat_unique(),70.0
list.lappend_int()-outfuncs._outbitmapheapscan(),62.0
list.lappend_int()-outfuncs._outjoinpathinfo(),68.0
list.lappend_int()-outfuncs._outaggref(),73.0
list.lappend_int()-outfuncs._outvaluesscan(),60.0
list.lappend_int()-outfuncs._outctescan(),61.0
list.lappend_int()-list.list_copy(),73.0
list.lappend_int()-readfuncs._readsortgroupclause(),85.0
list.lappend_int()-readfuncs._readintoclause(),83.0
list.lappend_int()-outfuncs._outlimit(),63.0
list.lappend_int()-list.list_concat_unique_ptr(),55.0
list.lappend_int()-readfuncs._readnulltest(),76.0
list.lappend_int()-outfuncs._outcreatestmt(),76.0
list.lappend_int()-list.list_union(),59.0
list.lappend_int()-outfuncs._outselectstmt(),87.0
list.lappend_int()-readfuncs._readrowexpr(),84.0
list.lappend_int()-outfuncs._outcasetestexpr(),62.0
list.lappend_int()-list.list_concat_unique(),55.0
list.lappend_int()-outfuncs._outrangetblref(),60.0
list.list_head()-outfuncs._outbitmapheapscan(),62.0
list.list_head()-outfuncs._outjoinpathinfo(),72.0
list.list_head()-outfuncs._outaggref(),78.0
list.list_head()-outfuncs._outvaluesscan(),60.0
list.list_head()-outfuncs._outctescan(),64.0
list.list_head()-list.list_copy(),76.0
list.list_head()-readfuncs._readsortgroupclause(),87.0
list.list_head()-readfuncs._readintoclause(),85.0
list.list_head()-outfuncs._outlimit(),65.0
list.list_head()-list.list_concat_unique_ptr(),65.0
list.list_head()-readfuncs._readnulltest(),79.0
list.list_head()-outfuncs._outcreatestmt(),78.0
list.list_head()-list.list_union(),66.0
list.list_head()-outfuncs._outselectstmt(),88.0
list.list_head()-readfuncs._readrowexpr(),86.0
list.list_head()-outfuncs._outcasetestexpr(),63.0
list.list_head()-list.list_concat_unique(),64.0
list.list_head()-outfuncs._outrangetblref(),62.0
list.list_head()-list.lappend_int(),43.0
readfuncs._readtargetentry()-outfuncs._outbitmapheapscan(),86.0
readfuncs._readtargetentry()-outfuncs._outjoinpathinfo(),80.0
readfuncs._readtargetentry()-outfuncs._outaggref(),76.0
readfuncs._readtargetentry()-outfuncs._outvaluesscan(),86.0
readfuncs._readtargetentry()-outfuncs._outctescan(),86.0
readfuncs._readtargetentry()-list.list_copy(),73.0
readfuncs._readtargetentry()-readfuncs._readsortgroupclause(),28.0
readfuncs._readtargetentry()-readfuncs._readintoclause(),38.0
readfuncs._readtargetentry()-outfuncs._outlimit(),84.0
readfuncs._readtargetentry()-list.list_concat_unique_ptr(),82.0
readfuncs._readtargetentry()-readfuncs._readnulltest(),54.0
readfuncs._readtargetentry()-outfuncs._outcreatestmt(),75.0
readfuncs._readtargetentry()-list.list_union(),81.0
readfuncs._readtargetentry()-outfuncs._outselectstmt(),75.0
readfuncs._readtargetentry()-readfuncs._readrowexpr(),33.0
readfuncs._readtargetentry()-outfuncs._outcasetestexpr(),87.0
readfuncs._readtargetentry()-list.list_concat_unique(),82.0
readfuncs._readtargetentry()-outfuncs._outrangetblref(),89.0
readfuncs._readtargetentry()-list.lappend_int(),87.0
readfuncs._readtargetentry()-list.list_head(),89.0
list.list_union_oid()-outfuncs._outbitmapheapscan(),72.0
list.list_union_oid()-outfuncs._outjoinpathinfo(),70.0
list.list_union_oid()-outfuncs._outaggref(),67.0
list.list_union_oid()-outfuncs._outvaluesscan(),71.0
list.list_union_oid()-outfuncs._outctescan(),70.0
list.list_union_oid()-list.list_copy(),57.0
list.list_union_oid()-readfuncs._readsortgroupclause(),76.0
list.list_union_oid()-readfuncs._readintoclause(),74.0
list.list_union_oid()-outfuncs._outlimit(),67.0
list.list_union_oid()-list.list_concat_unique_ptr(),24.0
list.list_union_oid()-readfuncs._readnulltest(),69.0
list.list_union_oid()-outfuncs._outcreatestmt(),71.0
list.list_union_oid()-list.list_union(),12.0
list.list_union_oid()-outfuncs._outselectstmt(),79.0
list.list_union_oid()-readfuncs._readrowexpr(),74.0
list.list_union_oid()-outfuncs._outcasetestexpr(),73.0
list.list_union_oid()-list.list_concat_unique(),23.0
list.list_union_oid()-outfuncs._outrangetblref(),75.0
list.list_union_oid()-list.lappend_int(),62.0
list.list_union_oid()-list.list_head(),69.0
list.list_union_oid()-readfuncs._readtargetentry(),79.0
list.list_member_int()-outfuncs._outbitmapheapscan(),72.0
list.list_member_int()-outfuncs._outjoinpathinfo(),71.0
list.list_member_int()-outfuncs._outaggref(),68.0
list.list_member_int()-outfuncs._outvaluesscan(),71.0
list.list_member_int()-outfuncs._outctescan(),70.0
list.list_member_int()-list.list_copy(),58.0
list.list_member_int()-readfuncs._readsortgroupclause(),80.0
list.list_member_int()-readfuncs._readintoclause(),78.0
list.list_member_int()-outfuncs._outlimit(),68.0
list.list_member_int()-list.list_concat_unique_ptr(),33.0
list.list_member_int()-readfuncs._readnulltest(),71.0
list.list_member_int()-outfuncs._outcreatestmt(),73.0
list.list_member_int()-list.list_union(),38.0
list.list_member_int()-outfuncs._outselectstmt(),82.0
list.list_member_int()-readfuncs._readrowexpr(),78.0
list.list_member_int()-outfuncs._outcasetestexpr(),71.0
list.list_member_int()-list.list_concat_unique(),32.0
list.list_member_int()-outfuncs._outrangetblref(),72.0
list.list_member_int()-list.lappend_int(),55.0
list.list_member_int()-list.list_head(),64.0
list.list_member_int()-readfuncs._readtargetentry(),83.0
list.list_member_int()-list.list_union_oid(),40.0
readfuncs._readrangevar()-outfuncs._outbitmapheapscan(),83.0
readfuncs._readrangevar()-outfuncs._outjoinpathinfo(),78.0
readfuncs._readrangevar()-outfuncs._outaggref(),71.0
readfuncs._readrangevar()-outfuncs._outvaluesscan(),83.0
readfuncs._readrangevar()-outfuncs._outctescan(),83.0
readfuncs._readrangevar()-list.list_copy(),69.0
readfuncs._readrangevar()-readfuncs._readsortgroupclause(),41.0
readfuncs._readrangevar()-readfuncs._readintoclause(),33.0
readfuncs._readrangevar()-outfuncs._outlimit(),80.0
readfuncs._readrangevar()-list.list_concat_unique_ptr(),78.0
readfuncs._readrangevar()-readfuncs._readnulltest(),45.0
readfuncs._readrangevar()-outfuncs._outcreatestmt(),73.0
readfuncs._readrangevar()-list.list_union(),76.0
readfuncs._readrangevar()-outfuncs._outselectstmt(),73.0
readfuncs._readrangevar()-readfuncs._readrowexpr(),28.0
readfuncs._readrangevar()-outfuncs._outcasetestexpr(),85.0
readfuncs._readrangevar()-list.list_concat_unique(),78.0
readfuncs._readrangevar()-outfuncs._outrangetblref(),86.0
readfuncs._readrangevar()-list.lappend_int(),85.0
readfuncs._readrangevar()-list.list_head(),87.0
readfuncs._readrangevar()-readfuncs._readtargetentry(),34.0
readfuncs._readrangevar()-list.list_union_oid(),76.0
readfuncs._readrangevar()-list.list_member_int(),79.0
readfuncs._readaggref()-outfuncs._outbitmapheapscan(),86.0
readfuncs._readaggref()-outfuncs._outjoinpathinfo(),81.0
readfuncs._readaggref()-outfuncs._outaggref(),76.0
readfuncs._readaggref()-outfuncs._outvaluesscan(),86.0
readfuncs._readaggref()-outfuncs._outctescan(),86.0
readfuncs._readaggref()-list.list_copy(),74.0
readfuncs._readaggref()-readfuncs._readsortgroupclause(),22.0
readfuncs._readaggref()-readfuncs._readintoclause(),37.0
readfuncs._readaggref()-outfuncs._outlimit(),84.0
readfuncs._readaggref()-list.list_concat_unique_ptr(),82.0
readfuncs._readaggref()-readfuncs._readnulltest(),54.0
readfuncs._readaggref()-outfuncs._outcreatestmt(),76.0
readfuncs._readaggref()-list.list_union(),81.0
readfuncs._readaggref()-outfuncs._outselectstmt(),75.0
readfuncs._readaggref()-readfuncs._readrowexpr(),34.0
readfuncs._readaggref()-outfuncs._outcasetestexpr(),87.0
readfuncs._readaggref()-list.list_concat_unique(),82.0
readfuncs._readaggref()-outfuncs._outrangetblref(),88.0
readfuncs._readaggref()-list.lappend_int(),87.0
readfuncs._readaggref()-list.list_head(),89.0
readfuncs._readaggref()-readfuncs._readtargetentry(),32.0
readfuncs._readaggref()-list.list_union_oid(),79.0
readfuncs._readaggref()-list.list_member_int(),83.0
readfuncs._readaggref()-readfuncs._readrangevar(),35.0
readfuncs._readfuncexpr()-outfuncs._outbitmapheapscan(),84.0
readfuncs._readfuncexpr()-outfuncs._outjoinpathinfo(),79.0
readfuncs._readfuncexpr()-outfuncs._outaggref(),74.0
readfuncs._readfuncexpr()-outfuncs._outvaluesscan(),84.0
readfuncs._readfuncexpr()-outfuncs._outctescan(),84.0
readfuncs._readfuncexpr()-list.list_copy(),71.0
readfuncs._readfuncexpr()-readfuncs._readsortgroupclause(),23.0
readfuncs._readfuncexpr()-readfuncs._readintoclause(),35.0
readfuncs._readfuncexpr()-outfuncs._outlimit(),81.0
readfuncs._readfuncexpr()-list.list_concat_unique_ptr(),80.0
readfuncs._readfuncexpr()-readfuncs._readnulltest(),48.0
readfuncs._readfuncexpr()-outfuncs._outcreatestmt(),75.0
readfuncs._readfuncexpr()-list.list_union(),78.0
readfuncs._readfuncexpr()-outfuncs._outselectstmt(),77.0
readfuncs._readfuncexpr()-readfuncs._readrowexpr(),18.0
readfuncs._readfuncexpr()-outfuncs._outcasetestexpr(),85.0
readfuncs._readfuncexpr()-list.list_concat_unique(),80.0
readfuncs._readfuncexpr()-outfuncs._outrangetblref(),87.0
readfuncs._readfuncexpr()-list.lappend_int(),86.0
readfuncs._readfuncexpr()-list.list_head(),87.0
readfuncs._readfuncexpr()-readfuncs._readtargetentry(),34.0
readfuncs._readfuncexpr()-list.list_union_oid(),77.0
readfuncs._readfuncexpr()-list.list_member_int(),81.0
readfuncs._readfuncexpr()-readfuncs._readrangevar(),29.0
readfuncs._readfuncexpr()-readfuncs._readaggref(),23.0
readfuncs._readbooleantest()-outfuncs._outbitmapheapscan(),76.0
readfuncs._readbooleantest()-outfuncs._outjoinpathinfo(),70.0
readfuncs._readbooleantest()-outfuncs._outaggref(),70.0
readfuncs._readbooleantest()-outfuncs._outvaluesscan(),76.0
readfuncs._readbooleantest()-outfuncs._outctescan(),76.0
readfuncs._readbooleantest()-list.list_copy(),68.0
readfuncs._readbooleantest()-readfuncs._readsortgroupclause(),46.0
readfuncs._readbooleantest()-readfuncs._readintoclause(),37.0
readfuncs._readbooleantest()-outfuncs._outlimit(),73.0
readfuncs._readbooleantest()-list.list_concat_unique_ptr(),70.0
readfuncs._readbooleantest()-readfuncs._readnulltest(),4.0
readfuncs._readbooleantest()-outfuncs._outcreatestmt(),70.0
readfuncs._readbooleantest()-list.list_union(),69.0
readfuncs._readbooleantest()-outfuncs._outselectstmt(),74.0
readfuncs._readbooleantest()-readfuncs._readrowexpr(),38.0
readfuncs._readbooleantest()-outfuncs._outcasetestexpr(),78.0
readfuncs._readbooleantest()-list.list_concat_unique(),70.0
readfuncs._readbooleantest()-outfuncs._outrangetblref(),80.0
readfuncs._readbooleantest()-list.lappend_int(),76.0
readfuncs._readbooleantest()-list.list_head(),79.0
readfuncs._readbooleantest()-readfuncs._readtargetentry(),54.0
readfuncs._readbooleantest()-list.list_union_oid(),69.0
readfuncs._readbooleantest()-list.list_member_int(),71.0
readfuncs._readbooleantest()-readfuncs._readrangevar(),45.0
readfuncs._readbooleantest()-readfuncs._readaggref(),55.0
readfuncs._readbooleantest()-readfuncs._readfuncexpr(),49.0
outfuncs._outdefelem()-outfuncs._outbitmapheapscan(),46.0
outfuncs._outdefelem()-outfuncs._outjoinpathinfo(),34.0
outfuncs._outdefelem()-outfuncs._outaggref(),48.0
outfuncs._outdefelem()-outfuncs._outvaluesscan(),43.0
outfuncs._outdefelem()-outfuncs._outctescan(),40.0
outfuncs._outdefelem()-list.list_copy(),75.0
outfuncs._outdefelem()-readfuncs._readsortgroupclause(),79.0
outfuncs._outdefelem()-readfuncs._readintoclause(),77.0
outfuncs._outdefelem()-outfuncs._outlimit(),36.0
outfuncs._outdefelem()-list.list_concat_unique_ptr(),70.0
outfuncs._outdefelem()-readfuncs._readnulltest(),69.0
outfuncs._outdefelem()-outfuncs._outcreatestmt(),44.0
outfuncs._outdefelem()-list.list_union(),69.0
