Ownership,PermissionChange
0.600714286,1.106837607
0.521071429,1.046332046
0.535416667,0.994464945
0.5528,1.018552876
0.524375,1.009107468
0.600625,1.037906137
0.583571429,1.019130435
0.599444444,0.979522184
0.613125,0.975609756
0.576,0.980357143
0.621904762,0.974499089
0.480526316,1.048598131
0.453888889,0.966131907
0.57125,0.994464945
0.579,1.044526902
0.551333333,1.007104796
0.606842105,1.021164021
0.576842105,0.920552677
0.566,0.986866792
0.5705,0.990494297
0.509375,1.021113244
0.668888889,0.992481203
0.608888889,0.981060606
0.614166667,1.028957529
0.589090909,0.994371482
0.721363636,0.986792453
0.74875,0.963671128
0.506875,1.055555556
0.605,1.009398496
0.717,1
0.597777778,1.009310987
0.5775,0.996309963
0.476,1.003703704
0.516521739,1.016605166
0.575,1.029038113
0.619,0.962962963
0.577,1.005494505
0.505789474,1.012750455
0.568421053,1.01618705
0.6025,1
0.627142857,1.033628319
0.501304348,0.984589041
0.606111111,1.012173913
0.615714286,1.012027491
0.56826087,1.006791171
0.601,1.008431703
0.560416667,0.994983278
0.554166667,0.996638655
0.583157895,1.005059022
0.584117647,1.021812081
0.5325,1.016420361
0.497647059,1.003231018
0.583809524,1.01610306
0.642083333,1.009508716
0.594210526,0.993720565
0.648888889,1.012638231
0.542,0.981279251
0.544736842,1.015898251
0.527142857,1.039123631
0.409090909,0.996987952
0.496470588,1
0.581578947,1.049848943
0.524666667,1.011510791
0.638823529,1
0.59,0.991465149
0.55125,1.025824964
0.486875,0.99020979
0.565,1.007062147
0.492,0.948106592
0.607142857,1.014792899
0.540833333,1.008746356
0.583333333,1
0.49,0.976878613
0.54125,1.031065089
0.450714286,0.979913917
0.502631579,1.045387994
0.554117647,0.984593838
0.492666667,0.967283073
0.515625,1.020588235
0.54,0.974063401
0.5775,1.035502959
0.453333333,0.965714286
0.415,1.013313609
0.48,1.026277372
0.713333333,1
0.474545455,1.045519203
0.598333333,1.00952381
0.574,0.990566038
0.641333333,1.010884354
0.618,0.995962315
0.464166667,1.004054054
0.565,0.924629879
0.632,1.126637555
0.644,1.009043928
0.61375,1.052496799
0.692857143,1.04379562
0.619,1.020979021
0.5825,0.98173516
0.446666667,1.023255814
0.581428571,1
0.533333333,1
0.5625,0.965909091
0.5475,1.054117647
0.591666667,1.004464286
0.64875,0.991111111
0.538571429,0.995515695
0.5025,0.961711712
0.588333333,1.039812646
0.608,1.004504505
0.525,1.028026906
0.526666667,1.065430752
0.62,1
0.48,0.940634596
0.39,1
0.461666667,1
0.395,0.994559304
0.445,1.00547046
0.562,1.011969532
0.604444444,1.080645161
0.685,0.995024876
