rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
1612,Books & Reference,2.8,1000,51,76,9,5644,,,2,21
1710,Books & Reference,2.5,5000,51,117,3,14980,,,12,26
2017,Books & Reference,2.4,5000,51,117,3,14987,,,3,26
2810,Books & Reference,2,10000,51,117,3,14980,,,4,26
2815,Books & Reference,2.9,5000,51,117,3,14986,,,18,26
3116,Books & Reference,2.5,1000,51,233,3660,28039,1,5,4,90
3881,Books & Reference,2.4,1000,51,118,3663,8421,,,4,27
3901,Books & Reference,2.6,10000,51,49,3,2530,,,4,7
3917,Books & Reference,2.3,10000,51,117,3,14987,,,1,26
19695,Books & Reference,2.9,1000,51,391,9,39033,,,2,164
19704,Books & Reference,2.3,10000,51,227,3354,20416,,6,6,69
20041,Books & Reference,2.8,1000,51,763,9,78350,3,2,5,218
22857,Books & Reference,2.6,1000,51,1442,9,119700,2,1,17,343
27486,Books & Reference,2.7,1000,95,844,9,116335,7,2,12,237
30367,Books & Reference,2.9,10000,51,123,6,11940,,2,5,54
30727,Books & Reference,1,1000,51,6,3,131,,,1,0
47166,Books & Reference,2.6,5000,50,476,3,37411,,2,9,132
49590,Books & Reference,2.9,10000,50,1668,12,118179,4,2,5,347
54364,Books & Reference,2.9,100000,51,2985,9,291879,1,1,3,1154
58315,Books & Reference,2.8,100000,52,2159,15,184220,4,3,7,527
58371,Books & Reference,2.9,50000,51,67,3,7156,,,21,22
66565,Books & Reference,1.7,1000,0,33,3,3076,,2,6,12
67114,Books & Reference,2.5,10000,50,1718,21,176492,4,2,3,850
67305,Books & Reference,2.9,50000,51,2602,85,297016,1,2,7,605
68549,Books & Reference,2.4,5000,51,213,9,24992,,2,5,82
68826,Books & Reference,2.5,1000,92,1147,6,190564,,3,2,431
69897,Books & Reference,2.9,100000,51,111,6,10537,,1,4,27
70461,Books & Reference,2.9,5000,0,13,3,493,,,2,1
71940,Books & Reference,2.8,100000,83,3413,15,280959,4,3,8,698
81411,Books & Reference,2.4,10000,0,12,3,914,,,,1
104192,Books & Reference,1,1000,51,24,3,1489,,,,2
121787,Books & Reference,2.2,10000,51,54,6,3317,,,,3
133092,Books & Reference,2.9,500000,83,3411,15,281467,4,3,,692
141368,Books & Reference,1,1000,0,286,3,27086,,1,,87
153977,Books & Reference,2.8,10000,51,434,6,38814,,1,,102
156713,Books & Reference,2.8,1000,92,13,6,1707,1,,,0
159588,Books & Reference,2.7,1000,100,,,,4,1,,
159672,Books & Reference,2.8,10000,51,1323,6,112994,,7,,341
165790,Books & Reference,2.7,1000,50,1357,12,177173,1,,,764
165901,Books & Reference,2.9,1000,51,846,6,69031,3,3,,199
167413,Books & Reference,2.5,1000,51,,,,2,1,,
167510,Books & Reference,2.9,5000,92,1983,6,193541,,5,,393
168075,Books & Reference,2.9,100000,100,,,,2,4,,
170852,Books & Reference,2.2,1000,51,28,3,1500,1,,,3
171608,Books & Reference,2.8,1000,0,,,,2,1,,
173036,Books & Reference,2.2,5000,51,,,,1,3,,
173042,Books & Reference,2.4,50000,51,,,,2,,,
177336,Books & Reference,2.8,50000,50,17,3,1181,1,,,3
177445,Books & Reference,2.3,1000,51,,,,,,,
179835,Books & Reference,2.7,1000,100,,,,,2,,
180984,Books & Reference,1.9,5000,51,,,,,,,
180991,Books & Reference,2.9,10000,50,,,,,5,,
182763,Books & Reference,2.5,1000,51,,,,,,,
185115,Books & Reference,2.8,10000,51,,,,3,3,,
187558,Books & Reference,2.6,50000,51,1323,6,112994,,7,,341
187561,Books & Reference,2.6,50000,51,,,,,2,,
187565,Books & Reference,2.6,100000,51,,,,,3,,
193054,Books & Reference,2.9,100000,51,2997,9,294196,,1,,1149
194681,Books & Reference,2.6,10000,51,341,3,25453,,4,,106
212714,Books & Reference,2.7,1000,51,25,3,1744,,,,6
212759,Books & Reference,2.9,1000,51,270,3,27051,4,1,,83
217811,Books & Reference,2.9,1000,51,475,6,56399,,1,,116
226061,Books & Reference,2.9,1000,92,397,6,43479,,3,,142
227652,Books & Reference,2.2,10000,51,271,6,28462,3,,,113
229428,Books & Reference,2.6,1000,51,75,3,8059,,1,,33
231731,Books & Reference,2.9,1000,51,251,6,25668,,,,68
