rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
1514,Business,2.5,1000,0,19,3,3483,,,4,1
2535,Business,2,1000,51,549,6,61685,,1,3,156
4506,Business,2.3,1000,51,471,272,55494,,,19,443
5164,Business,2.8,1000,51,386,3,29005,,5,11,127
5224,Business,2.6,1000,50,1275,6,175450,3,2,4,200
5682,Business,2.9,10000,51,164,9,15280,3,,3,45
6228,Business,2.3,1000,51,63,9,4856,,1,6,14
6688,Business,2.7,100000,50,683,12,59730,1,,3,169
9490,Business,2.1,1000,51,549,6,61689,,1,2,156
10141,Business,2.4,1000,51,499,348,60686,1,,10,470
10743,Business,2.7,100000,50,683,12,59743,1,,8,169
11148,Business,2.8,1000,50,972,12,86237,9,1,8,245
11395,Business,2.2,10000,0,36,6,4891,,,17,5
13396,Business,2.4,1000,51,10,3,802,,,7,0
13967,Business,2.2,1000,51,84,3,5012,1,1,8,14
22555,Business,2.6,1000,50,1284,6,176266,3,2,3,201
28883,Business,2.6,1000,51,215,6,22833,,,18,54
29799,Business,2.6,5000,51,243,6,22691,,,4,98
30266,Business,2.9,1000,51,233,3660,28039,1,5,9,90
30447,Business,2.8,1000,50,1239,12,113374,3,1,3,274
45697,Business,2.3,1000,50,52,6,4692,1,,11,31
45772,Business,2.8,1000,51,309,6,22531,,4,9,92
47782,Business,2.9,1000,50,1182,10,104145,2,1,3,422
50769,Business,2.8,1000,92,2876,9,327565,1,1,3,414
51890,Business,2.9,1000,51,989,15,57854,,,7,174
52405,Business,1,1000,0,7,3,209,,,6,0
57625,Business,2.9,50000,50,623,9,70829,3,,16,348
66203,Business,2.9,5000,50,1185,10,104227,2,1,14,407
68583,Business,2.3,1000,51,85,3,5130,1,1,3,15
69029,Business,2.5,5000,51,105,6,10953,,1,1,17
73602,Business,2.5,1000,50,191,6,16316,1,,10,29
73622,Business,2.8,1000,51,1948,9,202844,1,5,2,596
74210,Business,2.6,1000,50,83,3,11662,5,1,3,41
74278,Business,2.8,50000,51,127,9,16836,,6,4,62
75059,Business,1.8,1000,51,54,3,5366,1,,5,2
75342,Business,2.6,1000,95,2719,12,288191,2,3,15,613
80024,Business,2.3,1000,0,12,3,594,,1,,0
80415,Business,1.6,10000,51,130,3,12044,2,,,89
103879,Business,2.9,5000,50,1185,10,104251,2,1,,415
103880,Business,2.8,1000,51,257,9,35370,,5,,121
105036,Business,1,1000,51,94,6,8686,,,,17
106302,Business,2.6,1000,51,90,9,9500,,2,,26
