rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
301,Education,2,1000,51,28,3,1775,2,1,5,3
615,Education,2.5,1000,51,97,12,10613,,6,17,43
636,Education,2,5000,50,353,3,24155,6,1,5,61
878,Education,2.8,1000,92,13,6,1707,2,,6,0
3552,Education,2.7,1000,51,975,24,118547,,7,4,338
5175,Education,2.9,100000,51,1386,12,117734,1,1,6,316
5789,Education,2.3,1000,51,459,9,48434,2,5,8,129
8511,Education,1,1000,51,279,3390,22644,1,,2,55
11512,Education,2,1000,51,114,6,8104,,1,2,24
12590,Education,2.4,1000,51,323,6,64982,1,1,10,515
17063,Education,2.9,5000,51,38,6,4069,1,,5,21
19003,Education,2.6,1000,51,180,6,21276,1,2,5,90
22562,Education,2.7,5000,0,260,6,24526,,3,1,52
23081,Education,2.3,1000,51,402,12,47276,3,,2,159
28982,Education,2.3,1000,92,242,9,23674,,9,3,78
29769,Education,2.7,10000,51,238,15,22295,3,,8,91
30348,Education,2.5,5000,0,280,9,26208,,6,9,74
31414,Education,2.8,5000,92,1996,18,267936,,6,3,458
31508,Education,2.9,10000,51,86,6,9318,3,,2,23
47418,Education,2.6,10000,0,41,9,4355,,,17,34
47493,Education,2.2,1000,51,109,3,11785,,,1,45
52348,Education,2.8,1000,51,323,6,65018,1,1,13,517
57383,Education,1.5,50000,51,2197,15,300707,,6,5,643
58054,Education,2.8,1000,0,17,6,565,,1,4,1
67405,Education,2.9,10000,51,4700,12,471391,2,1,13,1215
67457,Education,2.5,100000,51,317,9,36091,1,1,15,98
68762,Education,2.8,1000,51,69,3,7353,,1,13,38
69668,Education,2.9,5000,51,79,6,8092,,1,3,32
70505,Education,2.4,1000,0,38,3,2960,,,6,14
71533,Education,2.8,1000,51,301,6,26281,,3,2,49
82018,Education,2.4,1000,51,38,6,4069,1,,,21
82019,Education,2.9,1000,51,38,6,4069,1,,,21
82882,Education,2.7,1000,50,1546,18,165951,2,1,,299
94727,Education,1,1000,51,15,3,717,,,,4
94792,Education,2.7,5000,51,16,3,737,,,,4
104191,Education,1,1000,51,24,3,1489,,,,2
104497,Education,2.5,100000,51,836,12,85170,2,2,,190
105426,Education,2,1000,51,84,3,5903,1,,,6
118624,Education,2.4,10000,51,742,6,73472,1,3,,141
118730,Education,2.7,10000,92,710,9,89056,,3,,167
119766,Education,1.8,1000,100,4381,30,549111,,4,,1196
121093,Education,2.7,10000,0,105,6,7610,,1,,18
122815,Education,1,1000,50,723,9,79448,1,4,,278
123181,Education,2.8,1000,92,647,9,81331,1,1,,170
124633,Education,1.2,1000,51,105,5111,11797,,,,24
124941,Education,2,5000,50,70,6,11889,3,3,,33
125906,Education,2.2,5000,100,78,3,4583,5,,,15
126063,Education,2.4,10000,92,534,9,70849,,1,,140
126773,Education,2.8,1000,0,11,6,425,1,,,0
127947,Education,2.8,10000,51,70,3,5578,,1,,25
130059,Education,1.5,10000,51,117,6,14262,1,2,,49
131465,Education,2.8,1000,50,301,6,28565,3,1,,91
132034,Education,1.9,1000,0,19,3,998,,,,0
132149,Education,2.8,5000,51,55,3,3422,,,,5
132689,Education,2.7,10000,51,1000,9,109085,1,1,,311
134985,Education,1.8,1000,51,115,9,13921,1,1,,37
136659,Education,2.2,10000,0,75,3,4373,,1,,11
