rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
646,Entertainment,2.9,50000,51,53,6,3723,,,5,14
749,Entertainment,2.2,5000,51,104,9,10440,,,17,40
950,Entertainment,2.6,1000,92,597,6,86225,,,1,151
1253,Entertainment,2.3,10000,51,459,6,45390,,4,2,88
1300,Entertainment,2,1000,51,67,3,9239,,7,1,35
1327,Entertainment,2.7,1000,92,6112,24,710193,,7,2,1605
1398,Entertainment,1.8,5000,0,61,6,7084,,1,2,19
1515,Entertainment,2.8,1000,51,111,3,12191,,,10,45
1560,Entertainment,2.2,10000,51,362,9,30740,2,,5,95
1677,Entertainment,2.9,5000,50,175,12,17746,,,7,35
2268,Entertainment,2.7,1000,92,627,9,82590,,2,7,186
2491,Entertainment,2.3,10000,51,112,5111,10110,,1,3,30
2721,Entertainment,2.4,10000,51,167,6,14627,,1,1,58
2782,Entertainment,2.5,1000,0,26,3,1700,,,3,4
3069,Entertainment,1.5,100000,51,7,3,1189,,,17,0
3765,Entertainment,2.9,1000,51,111,3,12191,,,3,45
4785,Entertainment,2.4,10000,51,55,3660,5493,,,2,26
4792,Entertainment,2.8,5000,0,11,3,554,,1,3,0
5128,Entertainment,2,1000,50,90,3,11251,3,1,7,23
5333,Entertainment,2.3,1000,51,93,3,5631,1,1,3,18
5481,Entertainment,2.8,1000,51,24,3,2212,,,4,5
5643,Entertainment,2.9,50000,0,9,3,253,,1,38,0
6094,Entertainment,2.7,5000,51,131,5095,9745,,,8,41
6103,Entertainment,2.8,1000,51,111,3,12191,,,8,45
6166,Entertainment,2.8,1000,51,104,3,13931,,,21,28
6182,Entertainment,2.2,5000,50,75,12,7878,5,,3,42
6198,Entertainment,2.1,1000,51,111,3,12191,,,14,45
9998,Entertainment,1.6,1000,51,116,3,10323,,1,5,36
10850,Entertainment,2.5,10000,51,63,3,5544,,,3,28
11111,Entertainment,2.5,1000,50,1398,15,116719,1,4,16,399
11116,Entertainment,2.8,1000,95,809,5105,76656,6,1,13,268
11293,Entertainment,2.6,10000,51,377,3,38081,1,3,3,117
11448,Entertainment,2.2,50000,0,15,3,736,,,5,3
11774,Entertainment,2.8,1000,51,17,3,1176,,1,7,4
12851,Entertainment,2.8,1000,51,133,3676,8469,1,,9,48
13360,Entertainment,2.9,10000,51,78,3,8600,,1,12,35
13365,Entertainment,2.9,100000,51,1032,12,104283,1,1,2,353
15554,Entertainment,2.9,50000,92,3425,15,362014,1,5,8,784
16180,Entertainment,2,1000,51,286,6,31814,4,4,2,125
16546,Entertainment,2.7,100000,92,1212,6,197131,,2,5,448
16602,Entertainment,2.3,1000,51,479,9,44825,,2,7,115
17094,Entertainment,2.7,1000,50,196,6,19525,4,2,2,58
17127,Entertainment,2.8,50000,51,62,3,6920,1,1,12,17
17180,Entertainment,2.7,1000,0,18,3,877,,,2,0
17906,Entertainment,2.8,1000,51,64,5114,6551,,,6,21
18170,Entertainment,2.9,1000,51,366,6,33977,,1,7,66
18672,Entertainment,2.8,1000,51,1450,269570,143209,,3,3,422
19674,Entertainment,2.4,10000,92,574,12,65703,1,7,2,260
19941,Entertainment,2.8,5000,51,145,6,11571,,1,16,57
20558,Entertainment,2.2,1000,50,191,6,12835,1,1,14,40
22503,Entertainment,2.9,10000,51,732,9,77323,8,1,3,208
27428,Entertainment,2.8,1000,50,114,9,12007,1,4,3,44
28495,Entertainment,2.8,5000,51,1266,15,281267,,10,6,1243
29079,Entertainment,2.9,1000,92,627,9,82588,,2,8,186
30423,Entertainment,2.9,1000,51,118,3,6997,1,1,4,26
30744,Entertainment,2.8,5000,0,8,3,205,,,1,0
30764,Entertainment,1.8,10000,51,6,3,161,,,1,0
30930,Entertainment,2.9,50000,51,962,3393,85687,,1,7,158
32851,Entertainment,2.3,1000,92,627,9,82588,,2,4,186
38816,Entertainment,2.7,1000,100,1160,6,92659,,2,3,235
45326,Entertainment,2.8,1000,51,1214,9,118706,,1,1,300
45988,Entertainment,2.8,5000,0,9,3,311,,1,1,0
46623,Entertainment,2.7,1000,51,1705,18,188685,1,5,4,570
46675,Entertainment,2.7,50000,0,8,3,215,,1,3,0
46752,Entertainment,2.8,1000,0,16,3,981,,,3,0
46899,Entertainment,2,1000,51,1073,12,88650,,1,2,214
47152,Entertainment,2.6,10000,51,521,9,49894,,4,4,123
47154,Entertainment,2.7,10000,50,232,3,22276,2,1,2,95
47431,Entertainment,2.8,1000,0,12,3,656,,,1,0
47522,Entertainment,2.4,10000,51,34,3,3742,,1,12,8
47900,Entertainment,2.5,1000,50,96,3,10220,2,1,3,38
50100,Entertainment,1.8,1000,51,116,3,10323,,1,13,36
50983,Entertainment,2.1,5000,51,16,3,1875,3,1,2,7
51512,Entertainment,2.7,1000,0,8,3,256,,1,1,0
52722,Entertainment,2.1,1000,51,479,9,44825,,2,2,115
55344,Entertainment,2.6,5000,51,335,6,32520,,2,3,140
66496,Entertainment,2.2,5000,51,109,3,11785,,,3,45
66574,Entertainment,2.8,1000,51,56,3660,5580,,1,12,26
66680,Entertainment,2.4,50000,51,16,3,900,,,2,4
67761,Entertainment,2.7,50000,51,93,6,12871,2,1,4,65
68217,Entertainment,2.9,100000,51,108,3,11741,,,2,45
68453,Entertainment,2.8,100000,51,89,3679,10815,1,,3,54
68975,Entertainment,2.6,1000,51,111,3,12040,2,,12,45
69166,Entertainment,2.6,1000,0,13,3,386,,1,11,1
69672,Entertainment,2.4,1000,51,7,3,170,,,8,0
69827,Entertainment,2.9,100000,51,939,12,93883,,,3,258
70462,Entertainment,2.2,1000,51,110,3,11758,,,1,44
70463,Entertainment,2.4,1000,51,53,3660,5642,,,4,26
70929,Entertainment,2.6,1000,51,588,3,65922,,2,2,253
70984,Entertainment,1.9,1000,51,10,3,322,,,12,0
72622,Entertainment,2.9,1000,0,295,6,26113,,3,15,45
72651,Entertainment,2.9,1000,51,853,6,83863,,3,1,203
75075,Entertainment,2.8,10000,51,260,9,21262,,2,4,80
75505,Entertainment,2.9,1000,,1439,44457,259502,,1,5,523
75819,Entertainment,2.3,1000,0,290,6,25377,1,3,10,45
80650,Entertainment,2.4,1000,51,92,6,4290,,,,4
80795,Entertainment,1.7,1000,50,189,3354,15411,2,1,,43
81228,Entertainment,2.8,50000,50,1356,9,133736,2,3,,347
81354,Entertainment,2.9,1000,51,11,3,1060,2,,,5
90891,Entertainment,1.8,10000,51,55,3,3513,,,,14
94618,Entertainment,2.8,100000,92,241,3,43084,1,2,,90
103406,Entertainment,2.8,5000,51,804,12,79373,,3,,215
103723,Entertainment,2.8,1000,92,938,6,119610,,2,,237
106244,Entertainment,2.7,1000,51,133,3676,8469,1,,,48
106297,Entertainment,2.5,1000,50,458,9,50198,1,5,,124
106308,Entertainment,2.8,10000,51,87,5095,8633,1,1,,29
106328,Entertainment,2.6,1000,51,10,3,346,,,,0
106662,Entertainment,2.4,50000,51,575,9,53831,,1,,81
107297,Entertainment,2,10000,51,58,3,3756,1,,,10
117849,Entertainment,2.8,500000,92,1032,9,146979,,7,,322
118930,Entertainment,2.5,50000,100,246,12,24755,6,2,,58
120126,Entertainment,2.7,10000,51,734,12,71184,,2,,301
124202,Entertainment,2.2,10000,0,13,6,492,,,,0
125285,Entertainment,1.7,1000,51,337,9,76168,4,1,,121
126685,Entertainment,1.3,5000,51,115,6,8704,,1,,15
126766,Entertainment,2.8,1000,50,11,3,1444,,,,0
126849,Entertainment,2.8,10000,51,64,6,7306,,,,18
127297,Entertainment,2.5,1000,50,220,3483,24632,4,2,,82
127594,Entertainment,2.9,1000,0,9,3,382,1,,,1
128847,Entertainment,2.6,1000,51,116,3,10309,,1,,36
130549,Entertainment,2.3,1000,51,146,6,12861,,1,,63
134413,Entertainment,2.8,1000,51,67,3,3578,1,1,,3
135576,Entertainment,2.6,1000,51,139,3,14821,,,,47
136249,Entertainment,2.5,1000,51,479,9,44825,,2,,115
136335,Entertainment,2.7,1000,92,1523,15,327133,,10,,1314
136336,Entertainment,2.9,5000,51,510,6,47332,,4,,84
139155,Entertainment,2.8,1000,51,126,6,16825,,5,,62
139194,Entertainment,2.5,1000,51,53,6,4350,,,,10
139729,Entertainment,2.5,100000,92,2370,9,275244,,1,,342
140841,Entertainment,2.9,1000,92,13,6,1707,1,,,0
141669,Entertainment,1,1000,50,437,14,60014,1,,,152
141822,Entertainment,2,1000,50,2118,15,208331,2,3,,456
143094,Entertainment,2.8,10000,51,734,12,71207,,2,,300
144141,Entertainment,2.8,1000,92,692,12,83098,,1,,163
144144,Entertainment,2.7,5000,51,67,6,8543,1,1,,22
144614,Entertainment,1.9,1000,51,999,266390,121136,,1,,495
145194,Entertainment,1.7,1000,50,1837,12,192431,2,2,,523
151915,Entertainment,2.4,10000,92,1912,15,197644,2,1,,537
152773,Entertainment,2.7,10000,92,168,6,18841,,7,,50
152934,Entertainment,2.8,10000,0,736,18,81680,,10,,256
154341,Entertainment,2.6,100000,51,,,,1,4,,
154554,Entertainment,2.4,10000,0,27,3,1104,,,,5
154608,Entertainment,2.2,1000,51,1175,6,110413,3,3,,294
154612,Entertainment,2.4,10000,51,,,,3,3,,
156552,Entertainment,1.6,1000,51,26,6,1987,,,,2
157999,Entertainment,2.8,10000,51,1266,15,281261,,10,,1243
158904,Entertainment,2.9,100000,100,,,,1,2,,
159218,Entertainment,2.9,10000,92,1700,9,205076,4,2,,218
161510,Entertainment,1.3,1000,50,547,12,55068,1,2,,161
162658,Entertainment,2.7,1000,0,,,,,2,,
163965,Entertainment,2.9,100000,51,950,9,78626,2,,,204
164073,Entertainment,2.1,1000,51,705,3,74235,,4,,301
164145,Entertainment,2.5,10000,51,,,,,9,,
164639,Entertainment,2.4,5000,92,3043,6,351471,,3,,497
165120,Entertainment,2.6,1000,51,80,6,7851,,1,,33
165870,Entertainment,2.7,5000,51,111,3,11953,,1,,44
166426,Entertainment,2.8,500000,92,,,,1,2,,
167030,Entertainment,2.8,5000,51,,,,,,,
167072,Entertainment,2.8,10000,100,17,3,1177,3,,,2
167104,Entertainment,2.6,5000,51,,,,,5,,
167417,Entertainment,2.8,10000,51,100,6,9937,,1,,41
167568,Entertainment,2.9,50000,51,444,6,40022,1,2,,104
168147,Entertainment,2.5,10000,51,103,9,9871,1,1,,49
168244,Entertainment,2.6,5000,92,1830,9,213215,1,3,,531
169789,Entertainment,2.8,5000,51,1111,6,165671,1,3,,414
170170,Entertainment,2.9,10000,51,,,,1,5,,
170928,Entertainment,2.7,1000,51,,,,,,,
171527,Entertainment,2.9,1000,51,,,,1,1,,
171813,Entertainment,2.5,100000,51,2961,33,369142,7,2,,1453
172928,Entertainment,1.8,5000,51,,,,4,1,,
173201,Entertainment,2.6,5000,51,,,,,4,,
174118,Entertainment,2.8,5000,92,,,,,3,,
175810,Entertainment,2.8,5000,50,,,,1,4,,
176769,Entertainment,2.4,10000,0,13,3,442,,1,,0
177206,Entertainment,2.7,100000,51,293,3679,39768,,5,,142
177258,Entertainment,2.4,5000,51,,,,,,,
178235,Entertainment,2.8,500000,92,,,,1,2,,
181176,Entertainment,2.7,5000,100,2619,12,318422,,2,,544
181302,Entertainment,2.9,1000,51,,,,,,,
181857,Entertainment,2.8,5000,51,,,,1,1,,
182366,Entertainment,2.6,5000,51,76,6,7961,2,1,,32
182544,Entertainment,2.2,50000,100,,,,2,3,,
183022,Entertainment,2.9,1000,51,,,,1,1,,
183502,Entertainment,2.9,10000,92,,,,,1,,
183801,Entertainment,2.8,5000,50,,,,4,,,
185042,Entertainment,1,1000,0,,,,1,,,
185537,Entertainment,2.9,10000,92,,,,,2,,
185633,Entertainment,2.5,100000,92,,,,,1,,
186140,Entertainment,2.6,1000,51,,,,,,,
186363,Entertainment,2.7,10000,51,576,3663,44260,,2,,77
186872,Entertainment,1.8,1000,51,72,6,7344,,1,,32
187425,Entertainment,2.5,5000,51,,,,6,1,,
187426,Entertainment,2.8,5000,51,69,3,7159,,3,,19
187725,Entertainment,2.6,10000,51,69,3,7231,,1,,36
187807,Entertainment,2,1000,51,,,,,1,,
188014,Entertainment,2.9,5000,92,,,,,3,,
