rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
682,Music & Audio,2.6,1000,0,325,6,29724,,2,18,53
1800,Music & Audio,2.7,1000,51,23,21,1206,3,1,4,4
1804,Music & Audio,2.5,10000,51,23,21,1204,3,1,2,4
3095,Music & Audio,2.9,1000,51,590,9,57418,,2,3,167
3097,Music & Audio,2.6,1000,50,546,9,55477,,2,14,165
4921,Music & Audio,2.8,5000,51,24,3,1540,2,,1,2
5328,Music & Audio,2.4,1000,51,109,3,9328,4,1,5,10
5339,Music & Audio,2.8,1000,0,325,6,29724,,2,8,53
13679,Music & Audio,2.9,5000000,50,4983,12,502133,7,4,2,1504
19602,Music & Audio,2.4,50000,100,553,6,72775,,2,9,146
29178,Music & Audio,2.9,1000,92,1694,5123,172785,3,2,1,369
29310,Music & Audio,2.7,1000,51,17,3,1497,,1,2,2
30485,Music & Audio,2.8,5000,50,202,6,22969,2,,3,106
53153,Music & Audio,2.8,1000,50,1851,15,180135,,3,1,451
54146,Music & Audio,2.9,1000,51,944,9,102080,,6,17,217
57006,Music & Audio,2.8,50000,50,270,5117,31426,,1,7,114
105048,Music & Audio,2.7,100000,92,155,6,18079,,6,,47
106239,Music & Audio,2.8,100000,51,112,3,12147,,,,44
106246,Music & Audio,1.5,5000,51,1406,15,308210,,9,,1248
124124,Music & Audio,2.8,1000,92,3045,25,335543,,7,,903
124485,Music & Audio,2.9,5000000,50,5166,18,518904,7,4,,1648
125905,Music & Audio,2.7,5000,51,32,3,2215,,1,,9
126830,Music & Audio,2.4,1000,51,73,10,5397,,,,12
126939,Music & Audio,2.9,100000,0,17,3,1118,,1,,2
127716,Music & Audio,2.2,5000,51,133,6,10912,,1,,55
141875,Music & Audio,2.8,10000,51,47,3,2609,,1,,11
142719,Music & Audio,2.5,10000,51,195,9,23173,,1,,125
143032,Music & Audio,2.8,100000,50,106,3,4698,2,3,,18
148965,Music & Audio,2.2,50000,51,128,5098,11462,,3,,43
151207,Music & Audio,2.5,50000,92,2361,9,279784,,1,,464
153955,Music & Audio,2.7,10000,0,50,3,3840,,1,,15
156071,Music & Audio,2.8,1000,51,783,17,98829,,1,,325
157748,Music & Audio,2.8,1000,50,,,,3,,,
164890,Music & Audio,2.9,5000000,50,5166,18,518923,7,4,,1654
168418,Music & Audio,2.6,1000,0,,,,,2,,
168419,Music & Audio,2.7,1000,92,167,6,25299,,2,,107
170782,Music & Audio,2.9,1000,92,516,9,69247,,2,,134
170786,Music & Audio,2,5000,51,,,,,2,,
175579,Music & Audio,2.7,10000,50,484,12,43839,3,1,,112
176457,Music & Audio,2.7,1000,50,36,3,4268,,1,,11
177144,Music & Audio,2.8,100000,51,,,,,1,,
178609,Music & Audio,2.6,1000,50,,,,5,,,
181578,Music & Audio,2.3,1000000,51,,,,,3,,
183021,Music & Audio,2.5,1000,92,,,,3,2,,
184826,Music & Audio,2.5,1000,51,,,,,2,,
185273,Music & Audio,2.7,50000,92,,,,,1,,
187093,Music & Audio,2.8,5000,51,494,9,57900,1,1,,123
187100,Music & Audio,1.8,1000,51,,,,,1,,
189328,Music & Audio,2.6,1000,50,673,9,61877,1,1,,225
192160,Music & Audio,2.6,1000,50,2106,15,204839,2,3,,478
195369,Music & Audio,2.3,5000,0,95,3,7211,,,,17
202008,Music & Audio,2.2,1000,92,4108,6,442778,,5,,641
209548,Music & Audio,2.9,1000000,92,2683,6,321311,2,4,,495
217596,Music & Audio,2.9,10000,92,6771,15,548162,,11,,1475
219347,Music & Audio,2.9,10000,51,95,3512,7434,1,,,30
223323,Music & Audio,2.8,1000,0,1148,6,119612,,4,,229
230968,Music & Audio,2.8,10000,51,53,3660,5512,1,1,,26
231245,Music & Audio,2.9,1000,0,340,6,31076,,3,,68
