rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
422,Tools,2.4,100000,51,106,3,12212,,1,2,45
779,Tools,2.5,10000,51,1667,9,97354,,,8,438
1210,Tools,2.6,5000,0,28,3,2701,,2,13,5
1521,Tools,2.6,10000,51,120,3,13063,1,,17,45
1838,Tools,2.8,1000,0,161,6,11835,1,,2,45
2036,Tools,2.6,10000,51,158,6,13612,,1,14,57
2735,Tools,2.2,10000,0,10,6,1163,,,15,0
2762,Tools,2.6,1000,51,110,3,12002,,,3,46
2813,Tools,2.5,5000,92,181,6,26052,,1,5,81
2918,Tools,2,10000,51,23,3,1625,,,8,7
3838,Tools,2.6,1000,0,50,6,8159,,1,5,35
3951,Tools,2.9,100000,51,66,5095,6771,,,5,29
4150,Tools,2.9,1000,50,239,6,25816,8,,7,85
4832,Tools,2.9,50000,0,12,3,498,,,4,1
6160,Tools,2.8,1000,50,84,6,10293,,,2,30
6234,Tools,2.7,1000,0,16,3,758,,,2,1
6237,Tools,2.5,10000,51,45,9,3672,,,4,3
8885,Tools,2.5,10000,51,2325,12,159035,,1,3,602
10797,Tools,2,1000,50,186,3357,15381,3,1,5,42
10798,Tools,2.3,1000,0,36,3,3280,,1,13,5
10941,Tools,2.9,50000,0,11,3,618,,,3,1
11513,Tools,1.4,1000,51,51,115,7345,,,3,20
11626,Tools,2.9,10000,50,67,6,7887,2,,8,23
11635,Tools,2.5,10000,51,50,6,4597,,,9,6
12505,Tools,2.7,1000,,75,3,4569,,1,8,30
13191,Tools,2.3,1000,0,27,3,1977,,,15,2
17176,Tools,2.4,5000,51,52,115,7386,,,17,21
17189,Tools,2.7,1000,50,68,3,7938,2,,18,20
17444,Tools,2.9,50000,51,1322,15,297213,1,10,6,1300
17621,Tools,2.8,1000000,92,216,6,41501,,1,13,83
20059,Tools,2.4,10000,50,591,9,58554,2,1,5,109
20387,Tools,2.6,100000,51,634,9,55512,3,3,5,168
21468,Tools,2.3,1000,0,6,3,129,,,7,0
26466,Tools,1.8,10000,50,829,9,71394,5,,11,179
26469,Tools,1.4,10000,50,1030,16,125900,5,4,2,285
27408,Tools,2.7,1000,50,319,6,23141,,3,2,97
27837,Tools,2,1000,51,446,9,50390,1,1,8,198
28889,Tools,2.8,5000,51,22,3,1842,,,5,2
30745,Tools,2.1,1000,51,7,3,534,,,1,0
30746,Tools,2.9,1000,0,7,3,231,,,1,1
31875,Tools,2.2,10000,51,6,3,132,1,,1,0
33496,Tools,2.5,10000,51,2325,12,159056,,1,5,602
36498,Tools,1.4,10000,50,1031,16,126253,5,4,2,288
38707,Tools,2.9,1000,92,1424,9,201910,1,1,8,222
45154,Tools,2.2,10000,51,50,3676,5208,2,,3,20
45997,Tools,2.4,10000,0,33,3,2110,2,,8,5
