rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
23,Lifestyle,4,1000,92,493,6,66430,,1,2,126
313,Lifestyle,4.3,10000,50,1851,15,180140,,3,10,451
401,Lifestyle,3.4,1000,51,772,12,79487,1,1,5,274
452,Lifestyle,4.4,5000,92,222,3,41210,,1,1,86
499,Lifestyle,3.9,50000,51,2525,30,284982,,5,2,949
583,Lifestyle,4.1,1000,51,73,5111,7034,,1,15,23
587,Lifestyle,4.3,100000,92,1330,7003,256634,1,2,8,325
640,Lifestyle,3.9,10000,50,286,9,31737,2,5,10,64
824,Lifestyle,3.9,1000,92,524,6,70187,,1,8,134
846,Lifestyle,3.8,50000,92,3609,9,448337,,4,14,824
884,Lifestyle,4.6,10000,92,583,6,78430,1,3,14,148
892,Lifestyle,4.1,1000000,50,4686,15,591350,2,1,4,1416
899,Lifestyle,4.1,100000,51,505,3663,44648,2,,2,91
903,Lifestyle,4.8,100000,100,3916,12,437049,1,2,9,832
977,Lifestyle,4.7,1000,51,829,9,75652,1,1,5,187
1126,Lifestyle,4.4,5000000,91,3243,21,347050,3,1,3,801
1227,Lifestyle,3.2,10000,51,99,3,6131,1,1,2,24
1323,Lifestyle,4.5,10000,0,93,3,10732,,8,6,42
1388,Lifestyle,4.2,1000,51,105,5095,10025,,1,2,27
1406,Lifestyle,3.4,1000,51,41,3,2262,3,,2,10
1455,Lifestyle,3.3,5000,51,188,3378,14997,,,1,38
1596,Lifestyle,3.9,5000,51,123,15,12746,,1,1,32
1610,Lifestyle,3.6,10000,51,24,3,1959,,,3,3
1699,Lifestyle,3.7,10000,92,1549,12,134270,1,2,4,573
1707,Lifestyle,3.8,1000,51,163,9,13695,,1,8,57
1811,Lifestyle,3.4,1000,92,708,9,87878,,3,1,166
1827,Lifestyle,3.7,100000,50,1986,15,209756,3,2,2,506
1846,Lifestyle,4.4,10000,51,85,9,6976,,1,3,22
1853,Lifestyle,4.1,10000,51,80,6,8293,,1,2,35
2248,Lifestyle,4.8,100000,0,13,3,1208,,,3,3
2257,Lifestyle,4.8,1000,100,1955,12,253218,1,1,2,316
2388,Lifestyle,3.9,50000,52,2764,9,358192,6,2,16,1182
2501,Lifestyle,4.2,500000,51,732,9,55067,1,3,11,168
2539,Lifestyle,3.8,1000,50,2169,15,209721,2,3,10,476
2572,Lifestyle,4.5,1000,100,1434,9,176717,,3,5,518
2594,Lifestyle,3.6,1000,50,924,15,95315,1,2,1,370
2608,Lifestyle,4.2,10000,50,1065,12,103188,2,3,15,258
2897,Lifestyle,4.1,10000,51,300,6,23124,,1,5,79
2956,Lifestyle,4.1,10000,0,381,6,37293,,4,2,67
2974,Lifestyle,4.2,10000,0,4,3,83,,,13,0
3030,Lifestyle,3.5,100000,51,366,21,47920,,1,7,108
3076,Lifestyle,4.1,1000,80,2313,12,227053,14,2,11,596
3442,Lifestyle,3.2,1000,51,2028,309,211030,,5,6,600
3482,Lifestyle,4.2,10000,53,2783,15,358784,11,2,4,967
3743,Lifestyle,4.7,5000,51,52,3,4549,,,4,20
3757,Lifestyle,3,1000,50,13,6,1707,,,2,0
3758,Lifestyle,4.7,1000,0,25,3,1286,,,2,0
3834,Lifestyle,4.4,50000,92,1880,6,226880,2,1,1,288
3848,Lifestyle,4.5,100000,51,95,9,10431,,6,1,41
3877,Lifestyle,4.7,1000,51,89,3466,6552,,,5,40
3919,Lifestyle,4.3,5000,51,246,5114,24066,1,2,2,66
3938,Lifestyle,3.4,10000,51,91,3,8557,,1,2,44
3940,Lifestyle,3.4,10000,0,19,3,853,,2,3,4
4108,Lifestyle,4.5,5000,50,782,3,60735,,2,5,155
4135,Lifestyle,4.8,10000,51,163,6,13374,1,,4,47
4178,Lifestyle,3.8,10000,51,18,6,2668,1,,6,5
4254,Lifestyle,4.4,100000,51,1690,18,192665,9,,23,534
4305,Lifestyle,4.7,100000,95,2308,15,214279,6,6,2,627
4466,Lifestyle,4.2,1000,51,810,6,72467,2,1,2,132
