rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
94,Personalization,4.3,100000,0,24,3,1295,,1,4,2
103,Personalization,3.9,100000,91,675,6,86237,8,1,4,227
105,Personalization,3.9,100000,92,2229,9,262445,2,2,7,459
109,Personalization,4.1,100000,51,333,3,42537,,1,5,135
113,Personalization,4.1,100000,51,333,3,42537,,1,4,135
123,Personalization,4.4,100000,92,321,6,57124,,3,5,132
130,Personalization,4.1,50000,92,558,3,86154,,6,4,247
146,Personalization,4.3,10000,83,2251,6,239376,13,2,10,621
154,Personalization,4.4,50000,92,321,6,57162,,3,2,132
155,Personalization,4.5,10000,51,1613,3,179996,3,,9,186
178,Personalization,4.3,10000,92,321,6,57142,,3,1,132
180,Personalization,3.9,10000,100,212,6,40827,4,1,14,81
183,Personalization,4.4,5000,92,1663,9,204546,2,1,7,238
187,Personalization,4.2,10000,0,85,3,5789,1,2,3,24
194,Personalization,3.8,10000,0,8,3,291,,1,20,0
201,Personalization,4.4,10000,51,1697,3,192878,2,1,17,212
212,Personalization,4.7,10000,92,321,6,57146,,3,1,132
222,Personalization,4.3,10000,92,321,6,57144,,3,2,132
232,Personalization,4.4,50000,92,321,6,57126,,3,5,132
241,Personalization,4,50000,92,1153,9,167880,1,1,10,184
245,Personalization,4.2,50000,92,3531,6,447997,1,3,8,837
248,Personalization,4.5,10000,92,1663,9,204546,2,1,5,238
252,Personalization,4,100000,100,2557,6,290534,5,1,2,553
364,Personalization,4.3,500000,51,36,3,4102,,,1,10
366,Personalization,4.4,100000,0,85,3,5809,1,2,10,24
385,Personalization,4.1,1000000,92,1065,15,110050,7,3,19,276
396,Personalization,4.5,1000000,0,299,6,28459,,2,8,88
565,Personalization,3.2,1000,51,854,6,83289,2,2,2,239
750,Personalization,3.9,1000,92,815,12,114601,1,1,27,260
822,Personalization,4.1,1000000,51,437,9,49390,3,3,8,166
886,Personalization,3.6,100000,100,686,3,89547,,2,11,197
912,Personalization,4,1000000,0,181,3,19514,,3,2,70
1000,Personalization,4.5,10000,92,321,6,57126,,3,2,132
1032,Personalization,4.7,1000,92,3234,9,446553,1,1,2,869
1086,Personalization,4.1,10000,51,359,9,21996,,,9,79
1124,Personalization,4.1,1000,51,709,6,63520,2,3,11,138
1152,Personalization,4.3,1000,51,426,6,36873,8,,2,68
1170,Personalization,4.2,50000,51,794,6,77050,,1,11,299
1216,Personalization,4.1,10000,50,146,9,18488,,1,2,71
1219,Personalization,4.4,1000,0,51,6,5060,,4,2,11
1221,Personalization,4.3,10000,92,1542,9,198218,,3,2,290
1229,Personalization,4.4,10000,92,1542,9,198200,,3,2,290
1232,Personalization,4.1,1000,92,1641,6,202296,,2,2,227
1246,Personalization,4.4,1000,92,1872,9,176186,,7,7,545
1454,Personalization,4.4,1000,0,6,3,122,,,8,0
1512,Personalization,4.5,1000,0,51,6,5060,,4,5,11
