rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
34,Puzzle,3.8,100000,51,78,5095,10641,,,4,26
47,Puzzle,4.5,10000000,92,3998,12,444207,,9,12,907
49,Puzzle,4.2,10000000,92,3934,9398,438287,1,6,8,1281
127,Puzzle,3.9,100000,51,70,6,4892,,1,9,5
133,Puzzle,4,100000,51,70,6,4852,,1,4,5
147,Puzzle,3.7,100000,51,57,6,9838,,,2,27
159,Puzzle,4.2,10000,51,874,6,77946,1,4,4,182
162,Puzzle,4,50000,51,497,6,43675,1,2,6,109
198,Puzzle,4.4,10000,50,1938,12,162793,1,1,14,602
203,Puzzle,3.7,10000,0,258,9,35441,,8,4,121
213,Puzzle,4.4,10000,0,26,6,2695,,1,5,6
218,Puzzle,3.7,10000,92,358,6,36883,,9,5,116
231,Puzzle,3.8,50000,51,564,9,55286,,2,4,139
238,Puzzle,4.1,50000,100,1849,12,196546,4,1,6,516
309,Puzzle,4,10000,51,1426,18,140060,,3,5,399
363,Puzzle,4.5,500000,51,103,12,9341,,2,5,43
374,Puzzle,4,100000,92,3883,9,445183,,4,8,909
391,Puzzle,4.5,1000000,51,104,12,9354,,2,2,43
413,Puzzle,4.1,10000,51,245,3,27398,1,,5,78
446,Puzzle,4.1,5000,92,3034,6,431960,1,2,3,719
448,Puzzle,3.6,1000,51,76,3663,7250,,1,1,29
485,Puzzle,3.9,10000,51,262,3354,20781,,,6,63
487,Puzzle,3.2,50000,51,153,6,17335,,1,1,59
521,Puzzle,4.2,50000,92,2020,9,208925,,6,9,640
585,Puzzle,3.6,10000,0,54,3,4302,,,5,25
648,Puzzle,3.6,10000,51,726,12,68425,,2,3,194
691,Puzzle,3.8,100000,92,3214,12,338034,1,3,4,965
706,Puzzle,3.2,10000,100,986,6,122563,,5,11,290
915,Puzzle,3.5,100000,50,489,7,67287,,3,2,457
1220,Puzzle,4.3,10000,51,1306,6,153492,1,7,2,369
1238,Puzzle,3,5000,51,247,6,19879,,2,2,95
1290,Puzzle,3.4,50000,0,394,9,39445,,6,5,100
1369,Puzzle,4.1,1000,51,408,9,41003,1,2,3,113
1392,Puzzle,3.7,1000,51,247,6,19887,,2,2,95
1401,Puzzle,4,1000,0,44,3,3337,,,2,5
1409,Puzzle,3.8,1000,51,118,3,6995,1,1,2,26
1563,Puzzle,3.8,1000,100,4563,30,570548,,4,5,1265
1578,Puzzle,5,1000,92,59,6,5524,1,,26,16
1664,Puzzle,4.4,1000,100,4563,30,570548,,4,2,1265
1730,Puzzle,3.3,1000,92,1342,12,157120,1,7,5,457
1817,Puzzle,3.8,10000,51,1276,12,125646,,5,8,433
1826,Puzzle,4.1,50000,51,460,6,43943,1,1,4,151
1841,Puzzle,3.4,5000,0,63,3,8881,,8,1,35
1855,Puzzle,4.1,10000,51,81,5095,7337,,,3,26
1998,Puzzle,3.7,100000,51,1149,12,118246,,8,2,375
2049,Puzzle,4.1,10000,0,28,6,1290,,1,2,2
2089,Puzzle,3.7,1000,51,276,5114,41752,,4,7,67
2224,Puzzle,4.4,50000,51,1239,9,186499,,3,5,395
2457,Puzzle,3.1,1000,51,630,9,60738,,1,4,173
2525,Puzzle,4.3,100000,51,163,9,15829,,6,4,84
2577,Puzzle,4.2,10000,51,670,6,70689,,3,3,203
2659,Puzzle,4.3,500000,92,1008,18,109274,,4,3,251
2712,Puzzle,3.7,1000,51,134,3,9698,,,2,8
2717,Puzzle,3.9,10000,0,30,3,1753,,,3,2
2763,Puzzle,3.5,1000,0,56,3,5854,,8,11,28
2766,Puzzle,5,1000,51,203,3354,16381,,,4,44
2831,Puzzle,3.4,5000,0,24,3,3202,,,5,74
2863,Puzzle,4.4,500000,92,1146,6,131009,,3,5,474
2883,Puzzle,4.1,500000,51,524,5120,85077,,2,30,125
2886,Puzzle,3.6,50000,51,370,21,35525,1,1,4,134
2922,Puzzle,3.3,10000,51,69,5098,7134,,,8,27
2950,Puzzle,4.1,100000,51,1234,12,101514,,7,8,219
2951,Puzzle,4.3,10000,0,15,3,700,,,3,3
3019,Puzzle,4.2,1000,92,330,6,51243,,2,13,122
3048,Puzzle,4.5,1000,92,1408,12,136940,,4,12,274
3049,Puzzle,4.1,10000,92,1049,6,118320,1,3,4,277
3050,Puzzle,4.2,10000,92,3124,15,324786,2,6,4,650
3061,Puzzle,3.6,10000,92,284,3,48843,1,2,5,130
3063,Puzzle,4,10000,92,1925,6,235666,,5,7,582
3065,Puzzle,4.2,5000,92,1315,9,127322,2,1,5,405
3066,Puzzle,4.4,10000,0,352,6,33643,,1,8,110
3067,Puzzle,4.1,50000,51,897,12,68402,,7,7,152
3068,Puzzle,4.3,100000,51,114,5114,11688,,,9,26
3072,Puzzle,3.8,50000,92,1405,6,145303,,3,18,287
3495,Puzzle,4.5,50000,51,244,6,22365,1,1,6,107
3771,Puzzle,4.5,5000,0,770,6,57903,,4,8,256
3933,Puzzle,4.2,10000,0,29,3,1962,,,6,3
4089,Puzzle,4.1,100000,51,312,21,48100,,,6,240
4103,Puzzle,3.8,50000,92,170,6,19327,,10,8,52
4107,Puzzle,4.4,50000,51,310,6,24598,,1,5,106
4130,Puzzle,3.7,10000,100,4563,30,570577,,4,2,1265
4136,Puzzle,4.3,10000,51,286,6,26789,,1,2,123
4162,Puzzle,3.5,10000,92,545,12,74998,,9,17,167
4179,Puzzle,4.4,1000,51,84,3,13406,,1,12,90
4193,Puzzle,4.1,1000,100,4563,30,570577,,4,6,1265
4194,Puzzle,3.7,1000,100,4561,30,570511,,5,5,1265
4238,Puzzle,3.6,10000,92,545,12,74998,,9,1,167
4306,Puzzle,4.1,100000,51,96,3,13335,,,2,36
4311,Puzzle,4.2,1000000,92,893,12,103415,,3,3,549
4318,Puzzle,4.1,100000,51,745,6,72659,1,1,19,161
4390,Puzzle,3.6,10000,92,1576,6,224880,,3,1,311
