rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
1816,Communication,2.7,5000,50,27,3,7644,1,1,9,10
10877,Communication,2.7,10000,51,49,6,4492,,,1,11
12438,Communication,2.8,1000,50,800,6,97060,1,,3,310
27120,Communication,1.8,1000,50,146,12,10707,4,3,4,17
29326,Communication,2.7,5000,51,31,3,4712,4,,11,15
30833,Communication,2.8,10000,92,1573,9,177110,,1,1,438
32108,Communication,2.9,1000,51,1311,15,285921,2,11,8,1227
45600,Communication,2.8,1000,51,459,6,42154,4,,2,111
45927,Communication,2.3,1000,51,74,3,6253,1,,4,11
45967,Communication,2,1000,51,77,3663,7599,,,6,27
45991,Communication,2.9,1000,51,96,3663,9432,,,5,51
46380,Communication,2.4,1000,51,450,6,30829,1,2,44,106
46444,Communication,2.9,100000,88,2243,9,269188,6,8,11,362
46768,Communication,2.6,1000,50,73,6,8553,2,,8,17
46956,Communication,2.8,5000,51,459,6,42176,4,,5,111
47751,Communication,2.8,1000,51,696,18,80775,,2,11,421
47755,Communication,2.7,1000,50,48,3,4093,2,,26,13
67403,Communication,2.8,10000,51,545,6,59354,4,,19,132
67671,Communication,2.8,1000,51,53,3,4343,7,,5,11
75085,Communication,2.7,1000,92,3148,9,353343,,2,2,467
103405,Communication,2.9,100000,88,2243,9,269188,6,8,,362
106628,Communication,2.6,1000,0,38,6,2767,,,,1
125814,Communication,2.9,5000,50,99,6,8657,,,,33
125823,Communication,2.9,5000,51,115,3,12254,,1,,45
125895,Communication,2.4,5000,51,42,3,8974,19,,,17
127952,Communication,2.9,1000,51,1007,9,84527,4,3,,284
134336,Communication,2.2,1000,51,473,6,49138,,,,103
138277,Communication,2.9,100000,51,47,3,2752,5,1,,14
150829,Communication,2.8,1000,80,1343,9,152674,9,1,,314
163830,Communication,1.8,1000,51,440,12,51594,,6,,100
164844,Communication,2.9,1000,51,22,3,1369,,,,2
169479,Communication,2.7,1000,50,,,,10,4,,
169902,Communication,2.9,1000,51,1057,9,107612,1,2,,237
170201,Communication,2.9,1000,50,84,6,12787,3,,,37
171954,Communication,2.7,10000,91,,,,5,,,
174239,Communication,2.4,1000,50,,,,1,3,,
180565,Communication,2.9,10000,51,,,,3,,,
180576,Communication,2.7,10000,51,100,3,6829,2,,,12
182660,Communication,2.8,10000,51,193,31731,14572,,,,62
196398,Communication,2.7,10000,51,759,12,82842,1,2,,187
200561,Communication,2.8,10000,92,2153,15,285973,,2,,758
202154,Communication,2.4,100000,51,65,3,7658,,,,20
205548,Communication,2.1,5000,50,1626,15,177657,,4,,494
209645,Communication,1.7,1000,51,43,3,4772,,1,,11
212104,Communication,2.9,50000,50,1218,12,119888,17,2,,493
217147,Communication,2.6,5000,50,37,6,4887,6,1,,10
218093,Communication,2.9,1000,50,31,3,7881,10,,,3
220999,Communication,2,1000,0,748,6,81226,,4,,160
223362,Communication,2.4,1000,51,1077,9,107118,4,1,,245
223363,Communication,2.9,1000,51,1077,9,107115,4,1,,245
223364,Communication,2.7,1000,51,1093,9,108652,,11,,252
226448,Communication,2.3,10000,51,72,9,6163,,,,17
229464,Communication,2.8,10000,50,2080,18,230015,,5,,652
229616,Communication,2.3,10000,50,1156,12,132207,,15,,547
