rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
834,Personalization,2.8,1000,92,901,79,111230,1,1,16,256
2927,Personalization,2,1000,0,11,3,2435,,,3,3
12386,Personalization,2.9,10000,51,67,3,7684,3,,8,37
28490,Personalization,2.7,5000,92,943,12,121199,1,2,4,222
47836,Personalization,2.4,1000,51,141,6,13922,,1,4,27
53901,Personalization,2.7,5000,92,3037,12,355291,1,2,9,716
71384,Personalization,2.5,10000,51,1425,9,145751,2,1,5,395
124245,Personalization,2.9,10000,100,2982,9,346931,2,3,,665
131309,Personalization,2.8,5000,0,21,12,1695,,,,23
143930,Personalization,2.9,1000,51,725,6,60847,1,,,196
148298,Personalization,2.8,1000,51,341,3,25453,,4,,102
152936,Personalization,2.9,10000,50,328,6,52274,,1,,85
177904,Personalization,2.8,1000,51,,,,,2,,
188402,Personalization,2.3,1000,51,,,,,3,,
195856,Personalization,2.9,50000,92,208,6,40546,,1,,100
214609,Personalization,2.9,1000,92,1822,9,195496,2,1,,432
222260,Personalization,2.1,10000,50,435,9,45641,1,3,,97
