rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
3869,Puzzle,1.6,1000,51,22,3,3510,,,4,6
5411,Puzzle,2.7,1000,51,21,3,1376,2,,22,0
6126,Puzzle,2.6,5000,51,23,3,1877,1,,13,2
6220,Puzzle,2.5,10000,0,84,3,5687,,,3,34
6936,Puzzle,1.2,1000,0,14,3,1719,,,19,0
7128,Puzzle,1,1000,51,107,5117,15066,,,11,25
10809,Puzzle,2.5,1000,51,60,5095,6122,,,3,26
11606,Puzzle,2.8,5000,51,65,6,7755,,,8,17
12260,Puzzle,2.6,1000,50,201,77,20161,,1,17,53
12393,Puzzle,2.8,10000,92,992,15,119989,,5,2,358
12549,Puzzle,2.9,1000,51,45,3,5255,,,11,9
13891,Puzzle,1,1000,51,113,5098,16520,,1,2,66
16563,Puzzle,2.5,5000,51,215,6,20310,,2,10,68
16598,Puzzle,2.6,5000,51,316,6,34728,,4,2,112
17183,Puzzle,2.9,5000,0,9,3,330,,,7,2
17372,Puzzle,2.4,1000,51,553,9,50269,,1,17,113
17943,Puzzle,2.9,5000,92,513,9,46668,1,6,7,189
17952,Puzzle,2.7,1000,51,843,6,74244,1,3,9,175
18057,Puzzle,2.7,1000,51,47,3,6252,,,2,25
18269,Puzzle,1.8,1000,51,40,6,2976,,6,5,4
18805,Puzzle,2.8,50000,92,860,72,123677,,7,8,322
23003,Puzzle,2.9,1000,92,554,5098,48608,1,1,4,166
26304,Puzzle,2.5,10000,100,2377,9,237923,1,2,6,738
29154,Puzzle,2.1,1000,0,345,6,30752,1,3,4,59
30455,Puzzle,2.8,1000,92,348,9,53501,,1,6,119
30997,Puzzle,2.8,1000,0,38,6,3155,,1,2,15
32559,Puzzle,1.7,1000,51,65,3666,8216,,1,16,47
33334,Puzzle,2.8,1000,50,12,3,1487,,,9,0
45907,Puzzle,2.8,10000,0,33,3,2884,,,9,10
46250,Puzzle,2.6,1000,51,72,3663,6634,,,4,30
46808,Puzzle,2.9,10000,51,23,3,2613,,,8,2
46996,Puzzle,2.7,5000,51,694,9,83949,,3,8,201
47551,Puzzle,2.6,50000,51,84,3,7489,,,1,20
51518,Puzzle,2.8,1000,0,826,6,115172,,5,6,247
54342,Puzzle,2.3,1000,51,170,3,14624,,2,15,61
57863,Puzzle,2.6,10000,50,63,3,6137,,,8,21
66453,Puzzle,2.9,10000,51,119,6,13096,,,2,51
66634,Puzzle,2.9,10000,51,114,3,12188,,,10,45
66779,Puzzle,2.6,100000,51,275,9,32211,,2,1,59
66857,Puzzle,2.5,1000,50,70,3,8759,,1,1,22
68579,Puzzle,2.8,1000,92,562,5098,61315,2,2,17,218
68978,Puzzle,2.5,1000,51,56,6,3911,,,3,9
71281,Puzzle,2.5,5000,51,1559,15,88537,,2,2,168
74517,Puzzle,1,1000,51,200,3378,16867,,1,4,47
