rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
112,Business,3.8,100000,51,835,6,160288,,3,5,476
196,Business,4.3,10000,92,1160,6,92640,,4,4,235
454,Business,4.7,1000,51,1921,12,254227,,4,2,652
693,Business,4.2,5000,51,365,6,32029,11,1,5,58
835,Business,3.4,1000,51,699,21,80094,9,1,2,313
916,Business,4.1,5000000,92,3796,12,372117,13,,2,856
953,Business,4.5,10000,51,145,6,19120,7,1,3,40
1497,Business,4.2,10000000,92,3796,12,372124,13,,4,856
1516,Business,4.8,1000,51,109,6,11795,,,5,45
1585,Business,4,50000000,51,2238,6,423749,,2,12,1187
1630,Business,4.3,1000,51,457,6,42637,,3,3,75
1796,Business,4.5,1000,0,21,3,3801,,,4,4
2159,Business,4.6,1000000,51,2521,12,182920,,1,7,492
2523,Business,4.1,5000,50,509,9,45153,,1,4,82
2542,Business,4.1,1000,51,557,9,59756,1,7,2,226
2599,Business,5,1000,51,401,6,36495,3,,8,63
2680,Business,3.7,500000,51,800,3,112303,6,1,13,256
2687,Business,4.2,10000,51,55,9,4806,,1,2,4
2726,Business,3.7,10000,51,30,3,1716,1,,3,0
2781,Business,5,1000,0,164,6,13594,,,8,55
2797,Business,3.3,1000,0,58,3,5689,1,,4,8
2854,Business,4.7,1000,51,23,6,1375,5,,5,4
3020,Business,4.7,10000,92,1133,18,134281,1,1,5,351
3088,Business,4.7,1000,51,955,12,80356,1,2,4,267
3092,Business,4,50000,50,1688,13,286971,3,1,11,637
3447,Business,3.6,1000,51,261,6,35565,1,2,11,121
3526,Business,4,1000,50,1085,12,104425,5,2,5,273
3565,Business,4.5,10000,50,970,6,84199,6,,5,240
3589,Business,4.4,1000,51,180,6,14744,1,1,14,49
3590,Business,4.3,1000,51,201,6,15705,1,1,17,49
3593,Business,4.7,1000,51,12,6,480,,,2,0
3713,Business,3.8,100000,50,1712,9,295571,2,1,8,772
3732,Business,4.1,10000,92,12,3,1487,1,,4,0
3746,Business,3.2,1000,92,12,3,1487,1,,2,0
3766,Business,4.3,1000,51,32,3,4158,,,5,1
3769,Business,4,5000,51,182,3354,15408,,,3,41
3795,Business,3.8,100000,92,1970,12,211794,1,4,4,805
3806,Business,3.7,100000,51,1085,9,102510,,3,2,470
3847,Business,3,500000,86,1459,9,149482,7,3,4,515
3874,Business,4.4,100000,51,663,6,58119,1,1,3,152
3908,Business,4.5,1000000,50,5861,22,457735,2,4,1,1200
3996,Business,4.2,1000,50,261,9,24666,2,1,17,73
4170,Business,3.6,10000,51,265,6,35272,1,,4,276
4368,Business,3.4,100000,51,755,3,71087,3,2,2,267
