"android.permission.GET_ACCOUNTS","9.68","1183","12215"
"android.permission.READ_EXTERNAL_STORAGE","9.28","1134","12215"
"android.permission.CALL_PHONE","7.02","857","12215"
"android.permission.ACCESS_WIFI_STATE","6.73","822","12215"
"android.permission.SYSTEM_ALERT_WINDOW","5.96","728","12215"
"android.permission.READ_PHONE_STATE","5.14","628","12215"
"android.permission.WRITE_CONTACTS","4.04","493","12215"
"android.permission.WRITE_EXTERNAL_STORAGE","3.89","475","12215"
"android.permission.CHANGE_NETWORK_STATE","3.84","469","12215"
"android.permission.GET_TASKS","3.63","443","12215"
"android.permission.READ_SMS","3.08","376","12215"
"android.permission.ACCESS_NETWORK_STATE","3.02","369","12215"
"android.permission.MOUNT_UNMOUNT_FILESYSTEMS","2.91","356","12215"
"android.permission.WRITE_SETTINGS","2.91","355","12215"
"android.permission.WAKE_LOCK","2.87","351","12215"
"android.permission.CAMERA","2.76","337","12215"
"android.permission.CHANGE_WIFI_STATE","2.76","337","12215"
"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS","2.69","328","12215"
"android.permission.MODIFY_AUDIO_SETTINGS","2.42","296","12215"
"android.permission.RECEIVE_BOOT_COMPLETED","2.3","281","12215"
"android.permission.ACCESS_FINE_LOCATION","2.24","274","12215"
"com.android.browser.permission.READ_HISTORY_BOOKMARKS","2.19","267","12215"
"android.permission.RECEIVE_SMS","2.13","260","12215"
"android.permission.ACCESS_COARSE_LOCATION","2.06","252","12215"
"android.permission.FLASHLIGHT","2.01","246","12215"
"android.permission.BROADCAST_STICKY","1.92","234","12215"
"android.permission.VIBRATE","1.87","228","12215"
"android.permission.RESTART_PACKAGES","1.79","219","12215"
"android.permission.WRITE_SMS","1.76","215","12215"
"android.permission.CHANGE_CONFIGURATION","1.67","204","12215"
"android.permission.DISABLE_KEYGUARD","1.65","202","12215"
"android.permission.READ_CALENDAR","1.58","193","12215"
"android.permission.INTERNET","1.47","180","12215"
"android.permission.WRITE_CALENDAR","1.42","174","12215"
"android.permission.USE_CREDENTIALS","1.42","173","12215"
"android.permission.READ_CALL_LOG","1.27","155","12215"
"android.permission.RECORD_AUDIO","1.22","149","12215"
"android.permission.NFC","1.21","148","12215"
"android.permission.SEND_SMS","1.21","148","12215"
"android.permission.BLUETOOTH","1.15","141","12215"
"com.android.browser.permission.WRITE_HISTORY_BOOKMARKS","1.04","127","12215"
"android.permission.ACCESS_MOCK_LOCATION","1.02","125","12215"
"android.permission.READ_LOGS","1.01","123","12215"
"android.permission.KILL_BACKGROUND_PROCESSES","0.97","119","12215"
"android.permission.EXPAND_STATUS_BAR","0.86","105","12215"
"android.permission.BLUETOOTH_ADMIN","0.83","101","12215"
"android.permission.WRITE_CALL_LOG","0.83","101","12215"
"android.permission.GET_PACKAGE_SIZE","0.79","97","12215"
"android.permission.READ_SYNC_SETTINGS","0.79","96","12215"
"android.permission.BATTERY_STATS","0.77","94","12215"
"android.permission.PROCESS_OUTGOING_CALLS","0.77","94","12215"
"android.permission.MODIFY_PHONE_STATE","0.76","93","12215"
"android.permission.READ_CONTACTS","0.74","91","12215"
"android.permission.SET_WALLPAPER","0.71","87","12215"
"android.permission.MANAGE_ACCOUNTS","0.7","85","12215"
"android.permission.READ_PROFILE","0.69","84","12215"
"android.permission.READ_OWNER_DATA","0.65","80","12215"
"android.permission.ACCESS_GPS","0.64","78","12215"
"android.permission.WRITE_OWNER_DATA","0.61","74","12215"
"android.permission.CLEAR_APP_CACHE","0.59","72","12215"
"android.permission.ACCESS_SUPERUSER","0.54","66","12215"
"android.permission.UPDATE_DEVICE_STATS","0.54","66","12215"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","0.52","64","12215"
"android.permission.WRITE_INTERNAL_STORAGE","0.52","64","12215"
