"Communication","2036","475","4.29"
"Productivity","1265","411","3.08"
"Social","770","275","2.8"
"Business","466","175","2.66"
"Travel & Local","642","286","2.24"
"Role Playing","160","78","2.05"
"Tools","2636","1309","2.01"
"Lifestyle","885","477","1.86"
"Casino","200","111","1.8"
"Transportation","251","141","1.78"
"Shopping","251","142","1.77"
"Finance","418","242","1.73"
"Word","124","76","1.63"
"Media & Video","486","314","1.55"
"Personalization","867","592","1.46"
"Photography","354","248","1.43"
"Music & Audio","782","552","1.42"
"Entertainment","1254","891","1.41"
"Adventure","115","83","1.39"
"Card","242","193","1.25"
"Strategy","124","99","1.25"
"Arcade","567","495","1.15"
"Simulation","93","81","1.15"
"Music","35","31","1.13"
"News & Magazines","303","272","1.11"
"Books & Reference","507","489","1.04"
"Libraries & Demo","25","24","1.04"
"Action","191","187","1.02"
"Family","49","48","1.02"
"Medical","92","90","1.02"
"Sports","369","374","0.99"
"Health & Fitness","222","226","0.98"
"Education","764","806","0.95"
"Weather","106","126","0.84"
"Casual","422","559","0.75"
"Puzzle","532","746","0.71"
"Trivia","49","75","0.65"
"Racing","109","181","0.6"
"Board","38","81","0.47"
"Educational","38","85","0.45"
"Comics","19","69","0.28"
