"Communication","3","366","475","77"
"Social","3","194","275","71"
"Business","4","119","175","68"
"Role Playing","3","53","78","68"
"Travel & Local","2","191","286","67"
"Casino","2","72","111","65"
"Shopping","1","91","142","64"
"Productivity","2","256","411","62"
"Transportation","3","88","141","62"
"Lifestyle","4","280","477","59"
"Adventure","2","47","83","56.99999999999999"
"Finance","2","139","242","56.99999999999999"
"Simulation","1","46","81","56.99999999999999"
"Photography","2","139","248","56.00000000000001"
"Strategy","3","54","99","55.00000000000001"
"News & Magazines","2","143","272","53"
"Sports","4","199","374","53"
"Action","1","95","187","51"
"Tools","4","662","1309","51"
"Media & Video","2","158","314","50"
"Music & Audio","8","274","552","50"
"Entertainment","2","438","891","49"
"Word","4","37","76","49"
"Family","3","23","48","48"
"Medical","3","43","90","48"
"Music","1","15","31","48"
"Libraries & Demo","2","11","24","46"
"Card","4","87","193","45"
"Education","1","364","806","45"
"Health & Fitness","3","101","226","45"
"Arcade","1","217","495","44"
"Books & Reference","8","197","489","40"
"Casual","1","225","559","40"
"Personalization","2","224","592","38"
"Racing","1","68","181","38"
"Weather","8","48","126","38"
"Trivia","1","27","75","36"
"Puzzle","1","257","746","34"
"Board","1","22","81","27"
"Educational","3","23","85","27"
"Comics","1","11","69","16"
