"Communication","698","953","73.2"
"Shopping","496","697","71.2"
"Business","1198","1716","69.8"
"Social","421","615","68.5"
"Role Playing","60","94","63.800000000000004"
"Travel & Local","665","1053","63.2"
"Lifestyle","947","1503","63"
"Transportation","235","376","62.5"
"Finance","610","1016","60"
"Simulation","52","92","56.49999999999999"
"Adventure","60","107","56.10000000000001"
"Medical","193","349","55.300000000000004"
"Casino","92","167","55.1"
"Family","40","74","54.1"
"Productivity","433","809","53.5"
"Strategy","66","126","52.400000000000006"
"News & Magazines","471","904","52.1"
"Music & Audio","977","1890","51.7"
"Photography","178","345","51.6"
"Entertainment","1111","2223","50"
"Music","20","40","50"
"Health & Fitness","320","642","49.8"
"Media & Video","317","641","49.5"
"Action","117","238","49.2"
"Education","1080","2307","46.800000000000004"
"Word","46","99","46.5"
"Tools","1140","2517","45.300000000000004"
"Books & Reference","739","1638","45.1"
"Sports","364","807","45.1"
"Card","126","288","43.7"
"Arcade","286","669","42.8"
"Racing","77","203","37.9"
"Casual","318","883","36"
"Libraries & Demo","23","64","35.9"
"Personalization","448","1310","34.2"
"Trivia","41","130","31.5"
"Board","37","122","30.3"
"Weather","58","195","29.7"
"Puzzle","528","1791","29.5"
"Educational","50","198","25.3"
"Comics","28","129","21.7"
