AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
???????FP3? 2014?5???- ??? -,Education,4,10000,1,0,22,6,4090,0,0,7
??? - ?? ???? ?? ??? ?? ??,Education,4.5,1000000,1,92,639,18,226328,1,3,2
PHP Programs / Guide,Education,3.6,10000,1,92,128,3,58022,1,2,6
Where's mom? - first words,Education,4,50000,1,92,178,9,90471,0,3,4
ABC Coloring Book(Alphabet),Education,4.2,50000,1,92,84,9,45549,1,2,3
TanGo,Education,4.1,100000,1,51,90,12,24358,0,1,8
Dog Painting,Education,3.9,50000,1,92,188,6,92354,0,2,3
Japanese Conversation Master,Education,3.9,50000,1,92,317,12,121254,3,2,26
Chinese Conversation Master,Education,4,50000,1,92,317,12,121233,3,2,10
???? ????? ????,Education,4.2,10000,1,92,371,6,138077,0,1,7
[Magichanja] Hanja Edu,Education,4.4,50000,1,51,153,9,59768,2,2,4
Kids Piano Lite,Education,4.2,1000000,1,92,102,6,50878,1,1,2
Second Grade Kids Math Lite,Education,3.9,10000,1,0,54,3,12531,0,1,6
Ti?ng anh giao ti?p 30 ngÖy,Education,4.1,10000,1,51,8,6,4877,0,1,1
First Grade Kids Math Lite,Education,4.2,50000,1,0,38,3,9797,0,1,5
My Maths Tables,Education,3.5,10000,1,51,27,5095,7062,0,1,11
???? ???? (??? ?? ?),Education,4.3,100000,1,92,329,9,121397,2,3,7
[??????????]?????????[12000?],Education,3.5,10000,1,51,217,12,58577,0,9,3
??? ?? ????,Education,3.3,100000,1,51,789,9,196881,2,1,2
Asma ul Husna (Names of ALLAH),Education,4.7,50000,1,51,25,5098,6167,0,0,3
AP Exam Prep,Education,3.6,10000,1,51,147,9,55440,0,2,4
Matrix Calculator (Advanced),Education,3.2,10000,1,92,122,6,49928,1,1,13
Opositest temario comun,Education,3.5,10000,1,51,42,6,10451,0,7,18
New Math Practice,Education,3.6,10000,1,92,248,9,86481,2,4,4
