AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
Bubble Bubble oops,Puzzle,3.8,100000,1,51,26,5095,10641,0,0,4
2048 Number puzzle game,Puzzle,4.5,10000000,1,92,907,12,444207,0,9,12
Draw Something Free,Puzzle,4.2,10000000,1,92,1281,9398,438287,1,6,8
The 1min Show 2,Puzzle,3.9,100000,1,51,5,6,4892,0,1,9
The 1min Show,Puzzle,4,100000,1,51,5,6,4852,0,1,4
Pentomino Puzzle Game,Puzzle,3.7,100000,1,51,27,6,9838,0,0,2
2048,Puzzle,4.2,10000,1,51,182,6,77946,1,4,4
KBC 7 Crore,Puzzle,4,50000,1,51,109,6,43675,1,2,6
Colored Seeds HD,Puzzle,4.4,10000,1,50,602,12,162793,1,1,14
2048 undo unlimited,Puzzle,3.7,10000,1,0,121,9,35441,0,8,4
Stockfish Chess,Puzzle,4.4,10000,1,0,6,6,2695,0,1,5
escape games -Joy 31,Puzzle,3.7,10000,1,92,116,6,36883,0,9,5
Logo Quiz,Puzzle,3.8,50000,1,51,139,9,55286,0,2,4
??:????? (???PC ????),Puzzle,4.1,50000,1,100,516,12,196546,4,1,6
Spot! A Difference Quest,Puzzle,4,10000,1,51,399,18,140060,0,3,5
war of reproduction Ex,Puzzle,4.5,500000,1,51,43,12,9341,0,2,5
Super Bubble,Puzzle,4,100000,1,92,909,9,445183,0,4,8
War of Reproduction,Puzzle,4.5,1000000,1,51,43,12,9354,0,2,2
Sweep,Puzzle,4.1,10000,1,51,78,3,27398,1,0,5
CountDown Calculation Lite,Puzzle,3.9,10000,1,51,63,3354,20781,0,0,6
Cifras y Letras (quiz),Puzzle,3.2,50000,1,51,59,6,17335,0,1,1
Treasure Quest,Puzzle,4.2,50000,1,92,640,9,208925,0,6,9
Sudoko,Puzzle,3.6,10000,1,0,25,3,4302,0,0,5
Horrorology - Horror Trivia,Puzzle,3.6,10000,1,51,194,12,68425,0,2,3
Market Mania - Hidden Objects,Puzzle,3.8,100000,1,92,965,12,338034,1,3,4
Mind Reader,Puzzle,3.2,10000,1,100,290,6,122563,0,5,11
Tower Bloxx? Revolution,Puzzle,3.5,100000,1,50,457,7,67287,0,3,2
Gravity Bounds FREE,Puzzle,4.3,10000,1,51,369,6,153492,1,7,2
Times Table Grid Game,Puzzle,3.4,50000,1,0,100,9,39445,0,6,5
Shuriken Showdown,Puzzle,3.8,10000,1,51,433,12,125646,0,5,8
Woodebox Puzzle FREE,Puzzle,4.1,50000,1,51,151,6,43943,1,1,4
Hiragana Quiz,Puzzle,4.1,10000,1,51,26,5095,7337,0,0,3
180 Puzzles for Preschool Kids,Puzzle,3.7,100000,1,51,375,12,118246,0,8,2
"GraphiLogic Free 4"" Puzzles""",Puzzle,4.1,10000,1,0,2,6,1290,0,1,2
Guess The Pic-1 Pic 99 Squares,Puzzle,4.4,50000,1,51,395,9,186499,0,3,5
BUTSURIS,Puzzle,4.3,100000,1,51,84,9,15829,0,6,4
Car Jigsaw Puzzles,Puzzle,4.2,10000,1,51,203,6,70689,0,3,3
KALAQULI R - room escape game,Puzzle,4.3,500000,1,92,251,18,109274,0,4,3
Human Calculator,Puzzle,3.9,10000,1,0,2,3,1753,0,0,3
Balls (Lines),Puzzle,4.4,500000,1,92,474,6,131009,0,3,5
The most difficult question,Puzzle,4.1,500000,1,51,125,5120,85077,0,2,30
Escape: Delusional Love,Puzzle,3.6,50000,1,51,134,21,35525,1,1,4
Tic Tac Toe (Free),Puzzle,3.3,10000,1,51,27,5098,7134,0,0,8
Pika Angel,Puzzle,4.1,100000,1,51,219,12,101514,0,7,8
Tic Tac Toe,Puzzle,4.3,10000,1,0,3,3,700,0,0,3
Line 98 - Lines Classic,Puzzle,4.1,10000,1,92,277,6,118320,1,3,4
Magic Line,Puzzle,4.2,10000,1,92,650,15,324786,2,6,4
Line 98 Minimalist,Puzzle,3.6,10000,1,92,130,3,48843,1,2,5
Lines 98 2K,Puzzle,4,10000,1,92,582,6,235666,0,5,7
Lines 98,Puzzle,4.4,10000,1,0,110,6,33643,0,1,8
Lines 98,Puzzle,4.1,50000,1,51,152,12,68402,0,7,7
Lines 98,Puzzle,4.3,100000,1,51,26,5114,11688,0,0,9
Monster Blocks (superb game),Puzzle,3.8,50000,1,92,287,6,145303,0,3,18
Patchworkz,Puzzle,4.5,50000,1,51,107,6,22365,1,1,6
FillDoku Lite,Puzzle,4.2,10000,1,0,3,3,1962,0,0,6
Chess for All,Puzzle,4.1,100000,1,51,240,21,48100,0,0,6
Shogi Problem Paradise,Puzzle,3.8,50000,1,92,52,6,19327,0,10,8
Sudoku lite,Puzzle,4.4,50000,1,51,106,6,24598,0,1,5
Deer Shooting Hunter,Puzzle,3.7,10000,1,100,1265,30,570577,0,4,2
Yafi - Internet Chess,Puzzle,4.3,10000,1,51,123,6,26789,0,1,2
Kids Puzzle - City Cars,Puzzle,3.5,10000,1,92,167,12,74998,0,9,17
Kids Puzzle - 4 Wheels,Puzzle,3.6,10000,1,92,167,12,74998,0,9,1
ShisenShoStd V2,Puzzle,4.1,100000,1,51,36,3,13335,0,0,2
Mobialia Chess Free,Puzzle,4.2,1000000,1,92,549,12,103415,0,3,3
Chess,Puzzle,4.1,100000,1,51,161,6,72659,1,1,19
‚Ó???‡Ì?‡  ????? ????Î‡,Puzzle,3.6,10000,1,92,311,6,224880,0,3,1
ScummVM plugin: teenagent,Puzzle,3.6,10000,1,0,1,3,93,0,0,9
Guess The Band - Logo Quiz,Puzzle,4.2,50000,1,92,232,9,102368,1,2,4
Fruit Worlds,Puzzle,3.9,50000,1,50,192,9,49652,4,1,4
Jigsaw Puzzles,Puzzle,3.1,100000,1,51,129,3663,58484,1,6,13
Early Bird,Puzzle,3.9,500000,1,51,639,6,150312,0,9,3
????,Puzzle,3.7,100000,1,50,1,6,320,10,0,3
Shark Dash Free,Puzzle,4.4,1000000,1,51,699,9,197400,0,3,11
Factory96 - Room Escape Game,Puzzle,3.8,100000,1,51,81,6,22562,0,2,13
Blokis - Match 3 Block Explode,Puzzle,3.9,10000,1,51,136,12,65361,0,4,5
Impossible Quest,Puzzle,3.9,10000,1,51,92,3,11385,0,1,3
Bubble Pop Read Free Kids Game,Puzzle,3.8,10000,1,0,15,6,12060,0,1,28
Train Puzzle?Shinkansen,Puzzle,4.1,10000,1,50,293,5114,94268,0,2,5
4 Pics 1 Word: More Words,Puzzle,4.6,1000000,1,51,146,6,35053,1,2,7
GlowPuzzle,Puzzle,4.5,1000000,1,92,808,12,329712,0,6,17
Where's my Water 2 Walkthrough,Puzzle,3.7,100000,1,92,461,6,312018,0,5,23
Enigma Trial - Cryptograms,Puzzle,3.1,10000,1,0,10,3,9031,0,1,3
Katakana Quiz,Puzzle,3.9,10000,1,51,26,5095,7327,0,0,18
Trainz Trouble,Puzzle,3.8,100000,1,51,246,6,56269,0,4,4
Escape_Game3,Puzzle,4.5,10000,1,51,99,12,52671,0,0,1
Glozzle - Puzzle Game,Puzzle,3.6,10000,1,51,295,6,121641,0,5,2
[??] ????? - ????? ???,Puzzle,4.3,50000,1,51,74,6,35268,0,1,4
Tic Tac Toe,Puzzle,3.4,100000,1,0,20,3,687,0,0,8
X-Physics FREE,Puzzle,3.2,100000,1,92,166,9,55217,0,4,2
Dr. Plaguey's Brain Tuner,Puzzle,2.5,10000,1,0,34,3,5687,0,0,3
Bubble Breaker,Puzzle,3.6,10000,1,51,17,3,8558,0,0,10
????????. ?????. ????? ??????,Puzzle,3.6,10000,1,51,560,12,211598,0,2,2
Room Escape - 100,Puzzle,3.7,100000,1,92,215,5101,66804,0,7,3
TT CASH,Puzzle,4,10000,1,92,530,6,357842,2,1,3
PixelWorld #2,Puzzle,3.7,10000,1,92,73,6,27875,0,9,2
Djoha games (????? ???),Puzzle,3.9,10000,1,50,73,6,17296,7,1,4
Kids learning games,Puzzle,4,50000,1,51,385,9,156489,1,1,11
Find 1 to 50 (New to50),Puzzle,4.4,500000,1,100,428,15,135071,2,2,4
Mastermind (4 to 8 pegs),Puzzle,4.1,50000,1,92,156,6,76089,0,4,13
D E X T E R I T Y + Child Lock,Puzzle,3.6,50000,1,51,271,6,78304,0,3,13
Bad Piggies,Puzzle,4.4,10000000,1,100,892,6,280103,1,5,4
Chess for All ONLINE,Puzzle,3.6,10000,1,51,165,3,16847,0,0,1
Sudoku Free,Puzzle,4.6,5000000,1,51,274,9,72695,0,3,1
??????????????500???,Puzzle,4,50000,1,50,448,21,152646,2,1,11
500 Movie Quiz: emoji icon pop,Puzzle,3.9,10000,1,0,33,9,7198,0,1,2
500 Brand : Logo Quiz english,Puzzle,4.3,10000,1,0,33,9,7198,0,1,4
500 ???????,Puzzle,4,10000,1,92,139,6,73198,0,2,3
Mezopuzzle,Puzzle,3.9,10000,1,51,160,12,35141,0,1,4
Pop Candy,Puzzle,3.8,500000,1,50,3,3,290,8,0,7
Escape: The Phoenix,Puzzle,4.1,100000,1,51,131,21,34099,1,1,3
Help Me Fly,Puzzle,4.1,10000,1,92,678,15,370441,0,8,1
The most difficult question,Puzzle,4.1,500000,1,51,193,9,127919,0,3,3
Magic Line,Puzzle,4.2,10000,1,0,0,0,0,0,0,6
Line 98 Minimalist,Puzzle,3.6,10000,1,92,130,3,48845,1,2,4
Yafi - Internet Chess,Puzzle,4.4,10000,1,51,206,9,44085,0,2,4
Mobialia Chess Free,Puzzle,4.2,1000000,1,92,543,12,103685,0,3,8
????,Puzzle,3.7,100000,1,50,1,6,320,10,0,9
Killer Sharks,Puzzle,3.6,10000,1,50,1325,24,597952,0,4,10
Sharks Killers,Puzzle,3.7,10000,1,50,1386,24,622971,0,4,6
???,Puzzle,3.9,10000,1,0,318,12,116410,7,5,11
Quadrogon 3D (Plumber +),Puzzle,4.5,10000,1,51,187,6,68682,1,6,3
Lavish Bedroom Escape,Puzzle,3.9,50000,1,100,64,9,37100,4,0,6
escape games -Joy 46,Puzzle,3.9,10000,1,92,116,6,36883,0,9,17
Simon Says Yes,Puzzle,4,10000,1,51,26,5095,8682,0,0,14
Lines Strategy Pro,Puzzle,3.7,50000,1,92,219,9,190041,0,5,5
Walkabout Lite,Puzzle,3.9,100000,1,51,58,6,12266,0,6,8
Lines Strategy Game - free,Puzzle,3.8,100000,1,50,309,3,78249,0,2,9
Hiversaires,Puzzle,3.4,10000,1,51,13,9,1972,2,1,11
????? ??????????????,Puzzle,4.1,100000,1,51,241,9,31272,2,2,13
Words Rumble - FREE,Puzzle,3.5,500000,1,51,174,6,33107,0,5,4
Curvy Free!,Puzzle,4.5,50000,1,51,59,3663,9140,0,0,1
Dream of Pixels,Puzzle,3.8,100000,1,92,1208,30,502811,0,3,10
National Park Jigsaw Puzzle,Puzzle,4.2,100000,1,92,138,12,54560,0,2,5
Master of unlocking,Puzzle,2.8,10000,1,92,358,15,119989,0,5,2
3Numbers,Puzzle,3.8,50000,1,51,164,6,63264,0,1,11
Tic Tac Toe,Puzzle,3.6,10000,1,0,20,3,4006,0,8,3
Word Finder Scrabble Solver,Puzzle,3.8,50000,1,92,86,6,42444,0,1,2
Guess The 2000s,Puzzle,4.3,50000,1,92,560,9,310876,0,2,5
Find It 2? Find the Difference,Puzzle,4.2,1000000,1,100,304,6,120335,1,2,2
EmojiGeo - guess the place!,Puzzle,4.2,100000,1,51,756,16,209517,0,4,4
Odd Escape Ever 2,Puzzle,4.2,100000,1,92,522,18,197012,0,8,6
Can You Escape This House 2,Puzzle,3.6,100000,1,51,400,12,118886,1,7,2
Treasures of Montezuma 2 Gold,Puzzle,3.7,100000,1,51,465,6,82624,0,4,4
Puzzle fun for kids 2,Puzzle,3.7,100000,1,92,260,12,65907,0,9,4
Clever Blocks 2,Puzzle,4.3,100000,1,92,116,3,53444,0,1,6
Treasures of Montezuma 2 Free,Puzzle,4,1000000,1,92,1357,84432,395665,1,5,2
Help the Rabbit,Puzzle,4.1,50000,1,92,456,12,156183,0,5,7
Jigsaw Puzzles Mania Game,Puzzle,4.4,50000,1,92,425,12,149743,0,7,10
Ai LÖ Th†nh Troll (Version 2),Puzzle,4.5,100000,1,51,380,12,127194,0,5,2
Andoku Sudoku 2 Free,Puzzle,4.5,1000000,1,92,297,9,85070,0,5,3
Animals Jigsaw Puzzles,Puzzle,3.7,10000,1,51,127,6,48270,0,2,4
Word search,Puzzle,4,10000000,1,92,204,12,102707,1,1,6
Bubble Blast 2,Puzzle,4.6,10000000,1,92,517,6,186059,0,6,7
Words Puzzle,Puzzle,3.2,10000,1,51,31,3660,8183,0,0,2
Hardest Game RSP 2.0,Puzzle,3.4,50000,1,92,397,6,190106,0,3,8
Jigsaw Puzzles Saga,Puzzle,4.2,100000,1,92,425,12,153252,0,7,4
Cute Animals Memory Games,Puzzle,4,10000,1,51,97,6,25133,0,2,8
Doors&Rooms,Puzzle,4.5,1000000,1,92,808,9,280847,1,2,2
Speed Parking 4D,Puzzle,3.9,1000000,1,51,174,6,1942,0,6,16
Hidden Object: Mystery Estate,Puzzle,4.1,1000000,1,92,2139,12,714955,8,0,13
100 Doors : RUNAWAY,Puzzle,4.2,5000000,1,51,203,6,64660,0,3,4
Dominoes Dominoid Lite,Puzzle,3.7,10000,1,51,290,9,132057,0,5,3
FREE Quiz Competition,Puzzle,4.1,50000,1,50,124,5117,43639,0,1,2
ShardWars Dungeons,Puzzle,3.4,10000,1,51,131,6,28010,1,2,1
Bubble Poke?,Puzzle,4.1,10000000,1,92,423,15,139942,0,5,3
100 Doors of Revenge 2014,Puzzle,4.4,5000000,1,51,267,6,75064,0,3,12
Can You Escape 2,Puzzle,4.3,5000000,1,92,454,16,182208,0,6,12
NikkiUp2U,Puzzle,4.1,10000,1,51,220,18,85753,4,3,2
LINE JELLY,Puzzle,4.1,5000000,1,92,1966,15,286212,2,3,3
Movie Quiz,Puzzle,4,50000,1,92,434,12,154816,0,7,4
NEKOWAKE,Puzzle,3.9,10000,1,51,230,5107,76506,1,1,1
100 Doors 2013,Puzzle,4.3,10000000,1,51,285,6,73301,0,4,10
Shoot the Apple 2,Puzzle,4.3,1000000,1,51,479,9,159173,0,2,4
Trap Balls,Puzzle,4,100000,1,51,297,6,75301,0,4,2
Candy Saga Deluxe,Puzzle,4.1,50000,1,92,0,0,0,3,0,1
LINE Pokopang,Puzzle,4.2,10000000,1,92,2708,15,593125,2,4,5
Apalabrate. Trucos apalabrados,Puzzle,3.8,100000,1,92,454,12,157660,0,6,1
Diamond Deluxe,Puzzle,4.3,50000,1,92,0,0,0,3,0,8
Pou Fruit Splash,Puzzle,3.8,100000,1,51,498,5095,136443,1,4,5
10,Puzzle,3.5,100000,1,51,153,3,23012,0,1,10
Cute Animals Memory,Puzzle,4,100000,1,51,92,9,23531,0,2,10
LINE Bubble!,Puzzle,3.9,10000000,1,92,261,9,80946,5,0,4
LINE POP,Puzzle,3.9,10000000,1,92,2187,15,305810,1,4,8
Pop Music Trivia,Puzzle,3.9,50000,1,50,156,6,47400,0,3,12
2013 Vehicle Trivia Challenge,Puzzle,4.4,10000,1,51,313,12,91978,0,7,2
Circle Pie Cross - Flow Game,Puzzle,4.1,10000,1,92,355,6,27108,0,1,5
Fit It Puzzles,Puzzle,4.3,100000,1,92,112,3,79414,1,2,4
Circle Pie -  Free Flow Game,Puzzle,4.1,100000,1,92,297,6,26263,1,1,10
Tap to ON,Puzzle,4.3,500000,1,92,581,6,203628,0,6,10
Blendoku,Puzzle,4.4,1000000,1,92,581,6,180313,1,5,6
Pipes with Bridges,Puzzle,4.1,500000,1,51,105,6,35623,0,3,1
1990s Movie Trivia,Puzzle,3.7,50000,1,51,202,6,56111,0,3,2
90's Fun Music Game Lite,Puzzle,4.1,50000,1,51,117,6,47054,0,1,18
1990s TV Trivia,Puzzle,3.8,100000,1,51,202,6,56111,0,3,2
1990's TV Theme Music Trivia,Puzzle,3.4,50000,1,51,313,12,91978,0,7,3
1990s Movie Trivia: Actors,Puzzle,3.8,100000,1,51,202,6,56111,0,3,6
Bubble Pop Math Kids Game Free,Puzzle,3.5,10000,1,0,16,6,8978,0,1,6
Dolphins Memory Game,Puzzle,3.8,10000,1,51,35,6,14598,1,1,4
Twisted Ways,Puzzle,4.8,10000,1,92,688,9,347533,0,4,5
1990s Music Trivia,Puzzle,3.9,100000,1,51,202,6,56111,0,3,10
êszkerÇk,Puzzle,3.7,50000,1,92,141,9,37748,0,2,6
90s Movie Quote Trivia,Puzzle,3.1,10000,1,0,52,3,32846,0,0,2
Push Box - Sokoban,Puzzle,4.4,50000,1,51,74,6,40120,1,0,9
Wookieelicious Star Wars Quiz!,Puzzle,4.1,10000,1,0,1,6,2388,0,0,6
Numbers - Math Game (Free),Puzzle,4.3,10000,1,50,483,12,123928,0,4,3
Sudoku,Puzzle,4.4,10000,1,92,212,12,103825,1,1,13
Finger SUDOKU,Puzzle,3.6,50000,1,50,79,3669,18105,1,0,13
Sudoku,Puzzle,4,100000,1,92,132,3,60942,0,4,2
???? for Kakao,Puzzle,4.4,100000,1,51,606,9,163377,1,2,13
Bible Trivia,Puzzle,4.4,10000,1,100,267,9,122745,0,1,5
Sudoku Free,Puzzle,3.3,50000,1,51,77,6,18620,0,1,2
Photo Spot Kids,Puzzle,3.9,50000,1,92,230,12,104597,3,2,4
??? ?? ??2 for Kakao,Puzzle,4.7,10000000,1,92,829,5120,264557,3,4,12
Sacra Terra Angelic Night Free,Puzzle,4,50000,1,51,428,9,134499,1,3,13
Bad Girl 2: Prom Night,Puzzle,3.8,100000,1,92,217,6,115203,0,6,2
Diamonds Blaze,Puzzle,4.4,1000000,1,51,242,15796,126766,5,5,14
Sudoku Free,Puzzle,4.2,1000000,1,100,1185,15,506678,2,4,20
Four In A Line Online,Puzzle,3.6,100000,1,100,435,9,139997,1,5,8
Connect-All Bridges,Puzzle,4.2,50000,1,51,104,9,22610,2,1,2
Plumber,Puzzle,4.2,10000000,1,92,451,9,179581,0,5,8
Ball BreakAR,Puzzle,3.2,50000,1,51,103,6,14503,1,2,6
Majestic Horses  game,Puzzle,3.9,100000,1,50,309,3,124803,0,1,14
Puzzle Wild Animals,Puzzle,4.1,10000,1,50,309,3,124803,0,1,3
Tractor Heavy  Game,Puzzle,3.8,100000,1,50,309,3,124803,0,1,3
Sudoku Number Place,Puzzle,4.6,10000,1,51,312,6,123785,0,3,9
Car Super Sports 1,Puzzle,4.1,10000,1,50,309,3,124803,0,1,4
Sudoku Brainiak Free,Puzzle,4,10000,1,50,633,12,224727,0,5,17
Car Hot Road,Puzzle,3.9,10000,1,50,309,3,124803,0,1,4
Tractor Drag Pulling,Puzzle,3.5,10000,1,50,309,3,124803,0,1,15
Slide,Puzzle,4.2,10000,1,92,316,154866,52875,0,2,8
Quick Touch Multiplayer,Puzzle,4.5,10000,1,51,96,9,31155,0,2,8
Puzzle ATV,Puzzle,4.4,10000,1,50,309,3,124803,0,1,18
Puzzle Harley Davidson 2,Puzzle,4.2,10000,1,50,309,3,124803,0,1,7
MineSweeper Super,Puzzle,3.9,10000,1,51,264,5111,75280,0,2,6
Jewels Maze!,Puzzle,4.4,1000000,1,92,316,270,68279,1,1,2
Tangram HD,Puzzle,4.4,5000000,1,92,101,6,49851,0,1,6
Coach memory! Brain trainer,Puzzle,4.4,1000000,1,92,381,15,245522,0,5,3
???-???_??,Puzzle,3.6,10000,1,50,478,9,33083,5,1,8
Puzzle Fantasy Girl,Puzzle,3.8,10000,1,50,309,3,124803,0,1,11
Puzzle strange shoes,Puzzle,3.8,10000,1,50,309,3,124803,0,1,33
Racing Bikes,Puzzle,4.1,50000,1,50,309,3,124803,0,1,19
Color Lines,Puzzle,4.1,10000,1,0,53,6,15620,0,1,13
Mini Bikes 1,Puzzle,3.9,50000,1,50,309,3,124803,0,1,13
"Agora Go Free - Weiqi, Baduk",Puzzle,4.3,10000,1,51,61,6,25195,0,1,8
Motorcycle Sport 1,Puzzle,4.1,10000,1,50,309,3,124803,0,1,24
Magic Square (Beyond Sudoku),Puzzle,4.5,10000,1,51,229,6,66049,0,2,5
Sudoku++ (free),Puzzle,4,10000,1,51,50,6,14722,0,1,3
Sudoku,Puzzle,4.2,1000000,1,92,458,12,154807,0,6,20
Mathdoku+ Sudoku Style Puzzle,Puzzle,4.2,10000,1,51,1311,15,519307,0,6,1
Balls and Lines,Puzzle,4.2,10000,1,51,218,9,85219,0,2,3
Balls of Nations,Puzzle,3.8,10000,1,92,151,6,79432,0,2,23
Blobs,Puzzle,3.6,10000,1,51,79,9,22384,0,2,11
Real Truck Parking 3D,Puzzle,4.1,5000000,1,51,362,6,94673,0,5,13
Minesweeper Victory,Puzzle,3.7,10000,1,51,353,12,73075,0,5,16
Classical Lines,Puzzle,3.6,10000,1,51,110,9,40653,0,1,16
Tractor Dragsters,Puzzle,3.8,50000,1,50,309,3,124803,0,1,6
AE Sudoku,Puzzle,4.3,10000,1,51,267,9,91448,1,3,11
Connect the Dots - Summer,Puzzle,3.8,10000,1,51,324,3,109234,0,5,2
Candy Star,Puzzle,3.9,5000000,1,100,1002,9,325505,1,3,4
Sudoku Shelf,Puzzle,4.4,50000,1,51,123,9,26314,0,1,8
Tractors Game,Puzzle,4,100000,1,50,309,3,124803,0,1,9
Jigsaw Aquarium Game,Puzzle,3.7,10000,1,50,309,3,124803,0,1,3
Superfast Cars Game,Puzzle,3.8,50000,1,50,309,3,124803,0,1,2
??????????????????????????????,Puzzle,4.6,100000,1,51,54,9,30672,0,2,6
Sudoku bout,Puzzle,4.1,100000,1,92,502,9,280227,2,3,6
Flow Electric Free,Puzzle,4.3,10000,1,92,434,12,154873,0,7,13
16x16 Sudoku Challenge HD,Puzzle,3.7,10000,1,92,109,6,48759,0,2,8
Easy Sudoku,Puzzle,3.6,10000,1,92,379,6,246044,3,1,3
Sudoku Game (Free & Fun),Puzzle,3.9,100000,1,51,192,9,68448,0,1,8
MineSweeper,Puzzle,3.5,10000,1,51,251,6,135231,0,5,2
Magic Jigsaw Puzzle Free,Puzzle,3.7,10000,1,0,19,6,6150,0,0,13
Various Flow,Puzzle,3.7,100000,1,51,254,6,107471,2,3,13
Blocks! All In One,Puzzle,4.1,10000,1,92,288,6,259427,0,3,3
ThinkInvisible - The Game,Puzzle,3.7,10000,1,51,434,15,142605,1,4,12
Car Puzzle,Puzzle,4,10000,1,50,318,9,106154,2,2,7
Dalmax Men's Morris,Puzzle,3.8,50000,1,51,747,12,233923,0,2,17
Bubble Bird Rescue,Puzzle,4.1,1000000,1,92,261,33,64100,1,1,6
Sudoku,Puzzle,3.3,10000,1,0,21,6,5579,0,0,4
Sudoku Classics,Puzzle,3.8,100000,1,100,651,12,219455,1,7,7
Play Free Sudoku,Puzzle,3.6,10000,1,51,32,9,8620,0,2,1
Games in the box,Puzzle,3.6,10000,1,51,419,6,160205,0,2,4
Connect it,Puzzle,4.5,100000,1,92,267,9,232251,0,3,2
Sudoku,Puzzle,3.7,50000,1,92,757,24165,287573,0,6,3
Jogo da Velha - Online,Puzzle,3.7,100000,1,92,764,24165,288067,0,5,12
Bubble Blast Boxes,Puzzle,4.3,1000000,1,92,374,9,141481,0,6,4
Four In A Line,Puzzle,3.8,5000000,1,100,435,9,139997,1,5,8
Minesweeper pico,Puzzle,3.6,10000,1,51,74,9,17447,0,2,7
Minesweeper Classic,Puzzle,3.9,100000,1,92,175,6,90279,0,3,10
Slide It Puzzle,Puzzle,4.1,10000,1,51,59,3381,18447,0,1,3
TIC TAC TOE,Puzzle,4,500000,1,51,142,6,56969,0,3,4
Chess Clock for Android,Puzzle,4.2,100000,1,51,17,6,6930,0,0,15
KAMI free,Puzzle,4.2,50000,1,92,492,6,162640,0,10,2
Bubble Match Birzzle Full Free,Puzzle,4.4,100000,1,100,993,25,267772,1,4,6
Pudding Monsters,Puzzle,4.5,5000000,1,92,1419,9,475744,0,8,16
Brain Age Test Free,Puzzle,4.2,10000000,1,92,537,15,297554,0,3,6
??? ????? for Kakao,Puzzle,4.6,1000000,1,51,819,4353,211845,3,2,2
Greedy Spiders Free,Puzzle,4.5,1000000,1,51,226,9,93381,1,3,2
Crazy Fruit,Puzzle,3.8,1000000,1,92,468,9,228523,0,5,3
Blade Master,Puzzle,4.5,1000000,1,51,166,18,70773,0,4,10
Dumb words 1000 + .,Puzzle,3.9,1000000,1,92,1180,15,466978,0,8,11
Slice Ice!,Puzzle,4.4,1000000,1,100,858,6,463287,0,3,5
