AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
A2 - Area Measurement DEMO,Tools,3.6,50000,1,51,5,9,7148,0,0,1
Password Generator,Tools,3.9,50000,1,51,34,3663,11101,0,0,3
Apps Lock Protected your apps,Tools,3.9,100000,1,92,487,6,294549,3,1,10
Lock screen(live wallpaper),Tools,4.3,100000,1,92,188,6,49969,3,1,3
My Speed Meter,Tools,3.5,500000,1,100,477,10,261197,1,3,3
Auto Screen On Off(Smart Cover,Tools,4,100000,1,0,12,3,2841,2,1,4
LEDBlinker Notifications Lite,Tools,3.6,100000,1,100,283,18,130237,6,2,7
Alarm Clock 3 - music alarm,Tools,4.4,100000,1,0,71,9,36005,1,4,13
NOTIFICATION FLASH,Tools,4.2,10000,1,100,249,6,142425,5,1,5
99Taxis (para taxista),Tools,4.3,50000,1,50,427,6,233590,54,0,4
Force2SD lite [root],Tools,4,100000,1,0,9,6,2875,0,0,4
Fake iOS 7 LockScreen,Tools,4,10000,1,100,290,6,135143,1,4,2
Galaxy S5 LockScreen,Tools,4,10000,1,100,290,6,135143,1,4,9
Pashto Keyboard / Pashtu,Tools,4.2,10000,1,0,0,6,215,0,0,9
HD Contact Photos,Tools,4,50000,1,92,203,9,212579,1,0,2
Hide SMS,Tools,3.6,100000,1,51,91,6,26675,3,2,6
CT Lock Screen,Tools,3.7,50000,1,92,399,41332,134358,1,3,6
Wallpapers,Tools,4,100000,1,100,556,9,245421,2,1,17
MK802 4.0.4 CWM Recovery,Tools,3.9,100000,1,51,46,9,22848,2,6,15
???? (Unit Converter Free),Tools,4.4,500000,1,51,57,3,16302,0,1,11
2014?????,Tools,3.9,10000,1,50,344,12,111423,7,4,18
Music Skully Pro,Tools,4.2,500000,1,92,391,9,158075,1,3,15
Smart Distance,Tools,3.6,1000000,1,92,233,9,99207,1,3,3
Ultimate Rotation Control,Tools,4.1,500000,1,51,261,22681,49951,2,1,1
Mobile Tracker for Android,Tools,4.2,1000000,1,50,62,3,15584,0,0,3
Samsung IR - Universal Remote,Tools,3.7,1000000,1,92,189,9,94529,2,2,9
Unit Converter,Tools,3.7,50000,1,51,20,5117,14955,0,0,2
LCD Density Modder,Tools,2.4,100000,1,51,45,3,12212,0,1,2
Dialog WiFi,Tools,4,10000,1,50,174,12,65414,2,2,9
Ultimate Decision Maker (Free),Tools,4.1,10000,1,51,27,5114,11059,0,0,3
