rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
58,Books & Reference,4.6,1000,51,247,3378,23604,1,,4,53
63,Books & Reference,4.4,10000,100,1204,12,145769,4,2,5,387
184,Books & Reference,4.4,10000,100,1969,6,253109,3,2,10,380
235,Books & Reference,4.7,50000,0,789,9,84562,1,3,6,185
303,Books & Reference,3.8,1000,92,1518,12,180982,,6,5,462
306,Books & Reference,4.4,1000,0,442,9,41702,,4,5,79
310,Books & Reference,4.1,10000,92,1518,12,180984,,6,5,462
314,Books & Reference,4.2,50000,92,286,6,46949,,1,22,91
315,Books & Reference,4.3,100000,51,239,6,20370,,1,7,66
327,Books & Reference,3.7,1000,50,308,6,22445,,4,2,91
445,Books & Reference,4.1,10000,92,384,534,63670,2,1,3,122
484,Books & Reference,3.1,50000,51,357,9,30012,,3,11,58
512,Books & Reference,4.9,1000,92,240,6,42317,1,1,2,85
522,Books & Reference,3.3,100000,51,3264,69,281164,1,2,6,1045
653,Books & Reference,4.5,5000,92,232,53112,28433,4,1,21,84
711,Books & Reference,4.6,1000,92,857,6,96778,,1,8,205
751,Books & Reference,4.7,1000,0,99,9,12040,,6,3,51
789,Books & Reference,3.9,1000,92,1205,6,195789,1,2,5,443
841,Books & Reference,4.7,1000,0,298,6,26974,,2,7,47
982,Books & Reference,4.2,1000000,92,1518,12,180973,,6,1,462
1088,Books & Reference,4.4,10000,92,963,9,109515,,3,10,238
1154,Books & Reference,3.6,5000,50,997,9,116414,1,2,3,271
1160,Books & Reference,4.5,10000,92,741,9,88033,,2,5,215
1199,Books & Reference,4.2,1000,92,220,3,43630,1,1,6,83
1206,Books & Reference,4.6,100000,0,27,3,1682,,1,6,3
1213,Books & Reference,4.3,10000,0,26,6,1382,,1,20,3
1234,Books & Reference,3.7,5000,92,453,6,62082,,7,2,129
1236,Books & Reference,4.4,5000,0,26,6,1382,,1,2,3
