rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
143,Communication,3.9,100000,50,465,9,42056,3,,4,113
195,Communication,4.1,10000,51,326,6,30326,2,3,3,53
243,Communication,4.4,100000,0,29,3,2092,,,6,1
274,Communication,3.8,100000,100,238,3,29589,6,,9,90
291,Communication,4.2,10000,51,162,6,16188,1,,3,87
378,Communication,4.2,1000000,51,226,4961,22080,,1,4,81
437,Communication,4.1,10000,52,2156,21,245741,6,,11,740
450,Communication,4,10000,53,788,6,81860,11,,3,255
526,Communication,3.4,50000,53,457,147,52799,10,,3,717
531,Communication,4.2,10000,51,372,3,27789,,5,6,121
580,Communication,4.1,10000,0,323,42,27739,2,,12,60
591,Communication,4.4,50000,51,87,6,9430,,,3,52
703,Communication,4.3,1000000,50,904,15,89941,6,2,15,386
839,Communication,3.8,5000,51,405,6,37316,1,2,3,149
1155,Communication,4.8,10000,50,1404,6,153208,5,,5,404
1299,Communication,3.4,1000,51,254,6,17185,,,2,20
1372,Communication,4.3,1000000000,51,606,3,75163,3,1,12,227
1462,Communication,3.6,5000,50,13,3,443,5,,4,2
1517,Communication,3.9,5000,50,15,3,968,,,2,0
1606,Communication,3.9,5000,51,8,3,245,1,,4,0
1711,Communication,5,1000,0,37,3,5687,,2,6,9
1720,Communication,4.1,1000,51,48,3,4785,,1,9,13
1836,Communication,4.2,10000,92,1822,9,251373,1,2,6,524
1902,Communication,3.9,50000,52,1087,331,95047,8,1,3,689
2032,Communication,4.5,10000,51,70,3663,10833,,1,6,49
2045,Communication,4.1,100000,0,47,3,3659,,5,4,9
2047,Communication,4,100000,0,124,3,7872,2,,4,8
2056,Communication,3.7,100000,50,97,3,14351,1,2,1,31
2102,Communication,4.8,5000,51,193,9,22837,2,,9,154
2125,Communication,4.1,50000,52,1092,29,95187,8,1,3,693
2141,Communication,4.1,100000,51,530,9,63002,1,1,8,285
2233,Communication,4.2,1000,52,666,6,71651,6,,8,157
2258,Communication,3.5,5000,50,782,6,96455,2,2,4,160
2391,Communication,4,10000,51,360,6,32378,,1,1,62
2520,Communication,4.7,1000,,95,3,5070,,,14,0
2567,Communication,4.7,1000,52,428,29,48363,8,1,1,698
2603,Communication,4,1000,51,136,6,14842,,1,1,67
2620,Communication,3.8,5000000,100,1639,191727,101057,34,,5,3498
2679,Communication,4.1,100000,50,1489,6,123903,3,6,14,298
2695,Communication,4.4,100000000,51,362,41630,54358,2,1,2,320
2710,Communication,3.5,10000,51,103,3676,9070,1,,3,30
2730,Communication,3.9,1000000,100,3784,12,455191,9,,5,1061
2759,Communication,4.2,100000,50,1224,9,186514,4,3,3,442
2846,Communication,4.4,5000,50,59,6,3060,,,4,10
2847,Communication,3.8,10000,50,36,3,2934,,,8,2
2877,Communication,4,10000,50,67,6,7568,1,,18,17
2888,Communication,3.1,10000,50,47,3,7962,,1,3,18
2899,Communication,4,10000,0,26,3,1312,2,,4,4
2915,Communication,4.4,10000,51,110,3,11894,1,,5,46
2917,Communication,3.9,10000,0,8,6,4040,,1,1,0
2971,Communication,4.2,10000,0,8,3,431,,,3,0
2982,Communication,4.4,100000,51,68,6,6946,,1,8,52
3071,Communication,3.8,10000,100,2683,12,290109,10,,6,841
3390,Communication,4.1,10000,51,1727,9,152585,3,2,8,458
3393,Communication,3.9,10000,100,1159,6,92560,,2,1,234
3420,Communication,3.8,1000000,,710,6,120151,,18,3,639
3474,Communication,3.5,10000,50,465,6,49205,4,1,16,112
3591,Communication,3.8,100000,52,1568,9,174494,7,1,5,515
3664,Communication,3.1,5000,50,21,3,1018,,,14,5
3730,Communication,4.6,10000,51,50,9,4567,,1,6,12
3763,Communication,4.7,1000,50,100,6,10555,5,,1,37
3767,Communication,4.2,1000,50,13,6,671,2,,4,2
3783,Communication,4.1,100000,50,1254,4933,101518,8,1,4,278
3784,Communication,3.1,1000,51,186,3357,15074,,,6,41
3884,Communication,4.1,5000,50,34,3,13658,2,,2,11
3885,Communication,4,5000,0,37,3,5687,,2,1,9
3886,Communication,4.1,5000,51,135,6,12858,,,1,36
3906,Communication,4.5,1000000,51,873,9,60699,4,,1,196
3915,Communication,3.8,10000,50,65,3,4343,2,,10,16
3928,Communication,3.6,1000,51,169,6,15178,,1,8,62
3929,Communication,3.8,10000,50,63,9,5109,2,,16,9
3948,Communication,4.4,10000,50,51,6,6381,4,,3,13
3980,Communication,4.2,1000000,0,37,3,3286,3,1,14,5
4319,Communication,4.4,1000000,100,1426,2992,113911,5,5,2,812
