rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
25,Entertainment,3.5,10000,92,677,6,96616,1,1,21,195
67,Entertainment,4.5,10000,51,1664,15,144594,,1,10,463
99,Entertainment,3.9,100000,92,2609,12,291317,,3,2,769
106,Entertainment,4.2,100000,51,1390,9,135766,1,3,77,348
108,Entertainment,4,100000,51,546,6,52763,1,3,7,143
117,Entertainment,4.2,100000,50,1558,5795,157350,2,3,2,404
119,Entertainment,4.4,100000,51,615,6,66115,,7,3,150
121,Entertainment,3.3,100000,100,3549,35606,294565,2,6,4,920
128,Entertainment,4.1,100000,51,546,6,52763,1,3,2,143
132,Entertainment,3.9,100000,51,546,6,52763,1,3,5,143
139,Entertainment,4.2,100000,51,536,6,52437,1,3,10,145
152,Entertainment,4.1,50000,51,536,6,52437,1,3,6,145
153,Entertainment,4.1,100000,51,615,6,66115,,7,5,150
163,Entertainment,4.3,50000,51,546,6,52763,1,3,6,143
166,Entertainment,4.4,50000,51,536,6,52437,1,3,7,145
179,Entertainment,4.5,10000,51,536,6,52437,1,3,10,145
191,Entertainment,4.1,10000,51,692,6,79159,1,,12,182
192,Entertainment,3.8,50000,51,536,6,52437,1,3,14,145
193,Entertainment,4.7,10000,51,536,6,52437,1,3,11,145
197,Entertainment,4.3,10000,51,536,6,52437,1,3,4,145
205,Entertainment,4.1,50000,51,852,6,76111,1,1,5,212
207,Entertainment,4.6,10000,51,536,6,52437,1,3,3,145
208,Entertainment,4.3,10000,51,615,6,66141,,7,5,150
223,Entertainment,4.1,10000,50,568,9,51058,4,3,3,85
224,Entertainment,3.8,50000,0,322,3,23989,,,5,7
226,Entertainment,4.4,10000,51,536,6,52437,1,3,11,145
228,Entertainment,4.4,10000,51,536,6,52437,1,3,12,145
229,Entertainment,4,50000,51,546,6,52763,1,3,1,143
246,Entertainment,3.9,10000,92,897,9,122202,,4,6,261
247,Entertainment,4.1,100000,51,536,6,52437,1,3,3,145
253,Entertainment,4.2,100000,92,691,6,97261,,1,5,208
