rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
1,Tools,3.6,50000,51,96,9,7148,,,1,5
2,Education,4,10000,0,47,6,4090,,,7,22
3,Productivity,4.3,10000,0,30,3,5210,,1,3,10
8,Music,4.1,5000000,92,1560,6,146028,,3,8,481
9,Music,3.8,1000000,51,359,6,31522,,,2,99
11,Casual,4,1000000,92,584,9,79861,,3,3,254
12,Casual,3.7,1000000,92,1375,6,159084,3,6,2,503
13,Casual,3,1000000,51,1648,12,134373,,5,3,494
15,Word,4.1,500000,92,1770,3,158511,,7,7,714
18,Education,4.5,1000000,92,1586,18,226328,1,3,2,639
19,Tools,3.9,5000,51,240,6,22222,,2,2,69
21,Tools,3.9,50000,51,114,3663,11101,,,3,34
23,Lifestyle,4,1000,92,493,6,66430,,1,2,126
25,Entertainment,3.5,10000,92,677,6,96616,1,1,21,195
27,Casual,3.4,50000,51,102,3592,9391,1,2,11,37
30,Productivity,4.1,1000000,50,1096,3,117407,,1,2,294
33,Education,3.6,5000,92,170,6,19327,,9,11,52
34,Puzzle,3.8,100000,51,78,5095,10641,,,4,26
35,Education,3.6,10000,92,311,3,58022,1,2,6,128
44,Word,4.3,10000000,95,6842,15,573957,12,,1,1978
47,Puzzle,4.5,10000000,92,3998,12,444207,,9,12,907
49,Puzzle,4.2,10000000,92,3934,9398,438287,1,6,8,1281
50,Educational,3.7,10000000,51,1069,6,108101,3,5,20,393
51,Educational,3.7,100000,92,4007,9,402286,3,3,19,1037
55,Media & Video,4.5,10000,50,1578,6,183921,,2,5,480
56,Social,4.3,100000000,50,4241,12,700198,11,,12,1193
58,Books & Reference,4.6,1000,51,247,3378,23604,1,,4,53
63,Books & Reference,4.4,10000,100,1204,12,145769,4,2,5,387
66,Trivia,3.6,100000,51,166,6,16239,,1,6,59
67,Entertainment,4.5,10000,51,1664,15,144594,,1,10,463
68,Health & Fitness,4.2,1000000,50,3447,6,337965,,2,11,1270
69,News & Magazines,3.4,1000,100,6135,12,674800,3,4,4,1754
70,Finance,3.9,50000,51,151,3,14609,,,7,13
71,Card,3.4,10000,92,683,12,88756,3,1,5,176
73,Tools,3.9,100000,92,2544,6,294549,3,1,10,487
75,Finance,4.3,5000,92,981,6,74984,,1,7,288
89,Casual,3.8,100000,51,170,6,25392,1,5,3,56
90,Music & Audio,4,100000,92,798,9,109557,1,2,4,217
91,Music & Audio,4.1,100000,,1223,322783,187026,,,2,363
92,Tools,4.3,100000,92,460,6,49969,3,1,3,188
93,Weather,4.5,100000,0,238,6,21794,,3,2,46
94,Personalization,4.3,100000,0,24,3,1295,,1,4,2
95,Music & Audio,3.9,100000,50,220,3,27710,2,1,9,111
96,Shopping,4.4,500000,50,2177,9,184657,,4,6,482
97,Casual,3.5,100000,100,1531,9,201542,3,1,5,432
98,Finance,4.5,100000,92,2314,15,321908,,3,28,1009
99,Entertainment,3.9,100000,92,2609,12,291317,,3,2,769
100,Tools,3.5,500000,100,2145,10,261197,1,3,3,477
102,Tools,4,100000,0,39,3,2841,2,1,4,12
103,Personalization,3.9,100000,91,675,6,86237,8,1,4,227
104,Finance,4.1,100000,50,602,6,46657,1,3,6,72
105,Personalization,3.9,100000,92,2229,9,262445,2,2,7,459
106,Entertainment,4.2,100000,51,1390,9,135766,1,3,77,348
107,Social,3.8,100000,100,2495,9,304216,1,3,2,614
108,Entertainment,4,100000,51,546,6,52763,1,3,7,143
109,Personalization,4.1,100000,51,333,3,42537,,1,5,135
110,Casual,4,100000,92,650,6,92308,,2,4,188
111,Weather,4.2,100000,51,349,3,43625,,1,4,139
112,Business,3.8,100000,51,835,6,160288,,3,5,476
113,Personalization,4.1,100000,51,333,3,42537,,1,4,135
114,Music & Audio,4.2,100000,92,1351,9,158075,1,3,10,391
115,Educational,3.9,100000,92,196,3,28416,,1,14,87
116,Social,3.6,100000,92,1159,6,92560,,4,4,234
117,Entertainment,4.2,100000,50,1558,5795,157350,2,3,2,404
118,Tools,3.6,100000,100,1042,18,130237,6,2,7,283
119,Entertainment,4.4,100000,51,615,6,66115,,7,3,150
121,Entertainment,3.3,100000,100,3549,35606,294565,2,6,4,920
122,Weather,4,100000,0,13,3,582,,1,7,1
123,Personalization,4.4,100000,92,321,6,57124,,3,5,132
124,Weather,4,50000,92,530,3,82665,,6,8,216
125,Tools,4.4,100000,0,359,9,36005,1,4,13,71
126,Weather,4,100000,0,30,3,1915,,2,14,4
127,Puzzle,3.9,100000,51,70,6,4892,,1,9,5
