rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
2,Education,4,10000,0,47,6,4090,,,7,22
18,Education,4.5,1000000,92,1586,18,226328,1,3,2,639
33,Education,3.6,5000,92,170,6,19327,,9,11,52
35,Education,3.6,10000,92,311,3,58022,1,2,6,128
165,Education,4,50000,92,721,9,90471,,3,4,178
171,Education,4.2,50000,92,242,9,45549,1,2,3,84
177,Education,4.1,100000,51,285,12,24358,,1,8,90
181,Education,3.9,50000,92,650,6,92354,,2,3,188
186,Education,3.9,50000,92,904,12,121254,3,2,26,317
225,Education,4,50000,92,904,12,121233,3,2,10,317
237,Education,4.2,10000,92,1342,6,138077,,1,7,371
335,Education,4.4,50000,51,554,9,59768,2,2,4,153
380,Education,4.2,1000000,92,291,6,50878,1,1,2,102
430,Education,3.9,10000,0,151,3,12531,,1,6,54
497,Education,4.1,10000,51,80,6,4877,,1,1,8
503,Education,4.2,50000,0,137,3,9797,,1,5,38
520,Education,4.4,1000,0,15,6,693,,1,12,6
528,Education,3.5,10000,51,73,5095,7062,,1,11,27
579,Education,4.3,100000,92,1112,9,121397,2,3,7,329
620,Education,4.2,1000,51,97,12,10613,,6,5,43
650,Education,3.5,10000,51,509,12,58577,,9,3,217
651,Education,3.3,100000,51,2125,9,196881,2,1,2,789
698,Education,4.1,1000,0,737,6,79951,,4,7,151
737,Education,4.7,50000,51,61,5098,6167,,,3,25
743,Education,4,1000,51,97,12,10613,,6,6,43
754,Education,4.7,1000,51,1417,12,148489,,4,11,394
756,Education,3.7,1000,92,559,6,73090,1,1,8,141
759,Education,4.2,1000,51,257,6,35373,,6,6,122
766,Education,3.6,10000,51,510,9,55440,,2,4,147
782,Education,4.3,1000,51,229,6,21049,1,2,5,146
787,Education,3.5,5000,92,225,3,41768,1,1,31,85
790,Education,3.2,10000,92,235,6,49928,1,1,13,122
791,Education,3.5,10000,51,87,6,10451,,7,18,42
796,Education,3.6,10000,92,957,9,86481,2,4,4,248
801,Education,4.2,10000,50,1445,6,152686,2,3,15,420
804,Education,3.7,50000,92,220,3,41359,1,1,13,81
818,Education,4,100000,92,310,9,34470,,2,1,96
833,Education,3.1,5000,92,13,6,1707,2,,14,0
838,Education,3.2,10000,92,13,6,1707,2,,2,0
843,Education,4.7,1000,0,753,6,80722,,4,1,162
847,Education,4.5,50000,0,55,3,3682,,1,4,12
882,Education,4.4,50000,0,67,3,4394,,1,8,14
885,Education,4.2,50000,92,2065,6,230171,,2,3,598
902,Education,4.5,100000,50,669,9,62123,3,3,1,197
911,Education,4.6,100000,92,447,6,65545,2,3,2,145
1002,Education,4.4,10000,92,844,18,94967,,1,6,221
1031,Education,4.6,5000,51,155,6,14814,,,9,24
1033,Education,4.5,10000,51,174,6,11611,1,,1,41
1174,Education,3.9,500000,50,1534,12,137430,,1,4,264
1191,Education,3.9,5000,51,33,6,4215,,,2,8
1197,Education,3.9,1000,51,54,3676,5515,,,4,20
1207,Education,4.1,100000,51,254,9,25531,,6,13,101
1304,Education,4,1000,0,11,3,2133,,,3,0
1375,Education,3.4,1000,100,559,6,51374,,9,2,173
1489,Education,4.5,1000,51,394,6,37107,,2,12,82
1501,Education,3.7,1000,100,403,3,55965,,5,4,156
1502,Education,4.5,1000,100,559,6,51374,,9,2,173
1564,Education,4.1,1000,92,275,9,28922,,9,4,89
1667,Education,3.8,5000,50,1163,33,122481,5,1,11,285
1671,Education,3.6,10000,51,354,12,38275,,3,4,131
1672,Education,4.2,5000,92,275,9,28922,,9,8,89
1694,Education,4.5,10000,92,1462,9,144221,,2,10,416
1717,Education,4.6,1000,50,12,3,1487,1,,13,0
1759,Education,3.9,10000,51,958,12,85151,1,1,4,208
1768,Education,3.8,10000,51,226,3,19233,1,,8,61
1809,Education,4.5,1000,50,380,3,46820,,4,8,198
1814,Education,3.8,1000,92,549,9,71515,,2,9,147
1828,Education,4,50000,51,577,9,55680,1,5,2,118
1831,Education,4.3,50000,0,1134,18,107541,,2,4,269
1908,Education,3.5,100000,51,958,12,85155,1,1,4,208
1948,Education,4.7,5000,0,1116,6,61301,,3,5,53
1949,Education,4.5,10000,51,749,6,69265,,2,2,218
1950,Education,4.6,10000,92,2022,9,240262,,3,1,236
1951,Education,4.3,1000,51,526,6,42423,2,2,4,135
2034,Education,3.8,50000,51,40,3,4472,,,8,7
2077,Education,4.4,500000,92,1915,12,214971,,1,4,694
2140,Education,4.2,50000,92,3908,6,456795,1,4,8,931
2210,Education,4.4,5000,51,527,9,47058,,2,4,132
2215,Education,4.6,10000,92,1165,6,191893,,3,11,432
2217,Education,4.4,10000,92,582,6,77941,,3,10,148
2226,Education,4.4,10000,50,746,12,67600,2,7,7,233
2241,Education,4.7,10000,92,3295,12,441637,,4,7,799
2250,Education,4.6,10000,0,137,3,13207,,2,9,35
2363,Education,4.4,1000,51,309,6,22575,,4,12,92
2370,Education,3.9,10000,92,1230,12,145313,,5,14,382
2386,Education,5,1000,51,180,6,21278,1,2,8,90
2399,Education,4,1000,0,802,6,85688,,4,3,161
2416,Education,3.8,50000,51,2468,25,291355,4,2,11,602
2494,Education,4,10000,50,671,12,49607,2,1,7,125
2524,Education,3.9,10000,51,523,9,56461,,2,10,146
2602,Education,3,1000,51,675,6,69716,,,4,190
2654,Education,4.5,5000,92,2735,9,244412,,4,35,696
2669,Education,4.2,1000,51,1305,15,285942,,11,2,1260
2702,Education,3.9,10000,50,12,3,1487,1,,2,0
2768,Education,4.2,50000,92,832,6,73251,2,2,1,132
2788,Education,4.4,100000,51,986,9,89241,1,4,3,312
2798,Education,3,1000,51,119,6,9009,,1,5,28
2803,Education,4,100000,92,979,9,101642,2,2,2,208
2823,Education,4.3,500000,92,1192,15,185728,1,2,3,522
2871,Education,4,5000,0,23,3,1134,,,2,13
2872,Education,3.5,10000,0,30,3,1933,,1,4,3
2902,Education,3.9,500000,51,190,5111,21625,,,4,74
2949,Education,4.4,10000,92,1921,9,326807,,4,21,696
2975,Education,4.3,10000,0,778,6,81413,,4,7,151
3102,Education,4.8,1000,92,1921,9,326807,,4,2,696
3103,Education,4.8,1000,92,1921,9,326807,,4,10,696
3365,Education,4.4,1000,50,257,6,35370,5,1,18,122
3386,Education,3.4,1000,51,165,3,13515,,,9,41
3389,Education,3.1,1000,51,165,3,13515,,,6,41
3392,Education,3.7,10000,51,165,3,13515,,,3,41
3394,Education,3.6,50000,51,165,3,13515,,,6,41
3401,Education,4.3,10000,92,1921,9,326807,,4,10,696
3402,Education,4.5,10000,92,1921,9,326807,,4,8,696
3403,Education,3.2,10000,51,1211,15,132666,,5,5,371
3410,Education,3.5,50000,0,44,3,4115,,,3,3
3413,Education,3.5,100000,51,1211,15,132659,,5,9,371
3462,Education,4.2,10000,51,591,9,60078,1,2,12,147
3551,Education,4.3,1000,51,1722,9,163684,,1,3,364
3554,Education,3.9,1000,51,975,24,118547,,7,5,338
3559,Education,4.8,1000,92,768,3,69376,,1,18,155
3561,Education,3.5,5000,92,1195,27,160970,,6,1,424
3579,Education,5,1000,51,116,6,9211,,1,6,23
3592,Education,3.6,10000,0,398,6,38295,,4,4,72
3641,Education,3.2,5000,0,37,6,3081,,2,17,2
3663,Education,3.6,10000,51,1275,18,144715,,6,14,441
3698,Education,4.3,1000,51,39,6,3627,,,4,2
3770,Education,4.1,100000,92,1603,6,176539,2,5,1,466
3772,Education,3.4,1000,0,23,3,3201,,,2,9
3827,Education,4.1,50000,92,624,9,84146,,6,38,194
3828,Education,4.3,100000,51,254,6,27161,3,2,4,82
3841,Education,4.3,100000,92,3876,12,424274,,3,6,734
3853,Education,4.8,1000,50,1608,15,177784,,,3,623
3907,Education,4.2,50000,0,30,3,1839,,1,2,11
3922,Education,3.6,10000,51,40,3,3275,,,5,2
3926,Education,4.6,10000000,51,4618,12,512108,1,5,12,1347
4093,Education,3.5,10000,92,577,6,77798,,2,1,148
4110,Education,3.9,50000,92,626,15,89845,,3,4,206
4124,Education,4,50000,0,145,9,18522,,1,17,32
4125,Education,4.1,10000,51,131,3,16930,1,1,9,31
4131,Education,4.8,10000,92,1875,6,232907,1,3,5,234
4169,Education,3.6,5000,51,587,6,63557,,1,17,152
4176,Education,4,10000,0,23,3,1850,2,,7,9
4226,Education,3.9,50000,50,252,15,25307,2,3,2,177
4352,Education,3,1000,51,295,6,25687,,1,1,47
4413,Education,3.8,1000,51,1406,15,308000,1,10,2,1248
4440,Education,3.6,5000,0,35,3,3122,,1,2,5
4443,Education,4.3,10000,51,1296,18,110108,,3,9,245
4471,Education,5,1000,50,4712,24,506401,,4,3,1194
