rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
1,Tools,3.6,50000,51,96,9,7148,,,1,5
19,Tools,3.9,5000,51,240,6,22222,,2,2,69
21,Tools,3.9,50000,51,114,3663,11101,,,3,34
73,Tools,3.9,100000,92,2544,6,294549,3,1,10,487
92,Tools,4.3,100000,92,460,6,49969,3,1,3,188
100,Tools,3.5,500000,100,2145,10,261197,1,3,3,477
102,Tools,4,100000,0,39,3,2841,2,1,4,12
118,Tools,3.6,100000,100,1042,18,130237,6,2,7,283
125,Tools,4.4,100000,0,359,9,36005,1,4,13,71
151,Tools,4.2,10000,100,876,6,142425,5,1,5,249
156,Tools,4.3,50000,50,1972,6,233590,54,,4,427
160,Tools,4,100000,0,42,6,2875,,,4,9
169,Tools,4,10000,100,1172,6,135143,1,4,2,290
185,Tools,4,10000,100,1172,6,135143,1,4,9,290
209,Tools,4.2,10000,0,10,6,215,,,9,0
221,Tools,4,50000,92,1552,9,212579,1,,2,203
234,Tools,3.6,100000,51,248,6,26675,3,2,6,91
236,Tools,3.7,50000,92,1263,41332,134358,1,3,6,399
262,Tools,4,100000,100,2400,9,245421,2,1,17,556
263,Tools,3.9,100000,51,225,9,22848,2,6,15,46
270,Tools,4.4,500000,51,178,3,16302,,1,11,57
286,Tools,3.9,10000,50,1310,12,111423,7,4,18,344
339,Tools,4.2,500000,92,1351,9,158075,1,3,15,391
359,Tools,3.6,1000000,92,975,9,99207,1,3,3,233
361,Tools,4.1,500000,51,502,22681,49951,2,1,1,261
377,Tools,4.2,1000000,50,192,3,15584,,,3,62
389,Tools,3.7,1000000,92,671,9,94529,2,2,9,189
421,Tools,3.7,50000,51,87,5117,14955,,,2,20
425,Tools,4,10000,50,618,12,65414,2,2,9,174
429,Tools,4.1,10000,51,109,5114,11059,,,3,27
435,Tools,4.4,10000,92,847,15,104032,,2,5,283
443,Tools,4.2,10000,100,4545,20,555093,3,3,4,1128
458,Tools,4.1,10000,0,81,4958,13119,,2,8,28
461,Tools,4.2,10000,92,931,9,108047,4,2,11,226
472,Tools,3.8,50000,51,36,6,5303,2,,13,3
486,Tools,4.1,10000,50,2838,12,212933,2,4,6,552
496,Tools,3.6,100000,92,233,6,43743,,3,2,96
498,Tools,4.3,50000,92,928,15,126166,,2,7,324
502,Tools,4.4,50000,50,151,5114,13387,1,1,7,38
532,Tools,3.8,100000,92,929,9,110710,4,5,11,225
631,Tools,4.3,10000,0,9,6,1227,,,2,6
643,Tools,3.9,10000,51,130,3406,7666,1,,5,27
657,Tools,4.3,50000,0,52,6,4363,,,14,16
658,Tools,3.9,100000,51,248,3,37291,1,3,5,89
690,Tools,3.7,500000,51,1999,9,193199,1,2,3,579
701,Tools,4.1,50000,0,30,3,2558,,1,2,1
800,Tools,4.5,10000,51,725,6,86172,,3,5,157
806,Tools,4.2,10000,0,20,6,1190,,,4,3
821,Tools,4.2,500000,50,442,6,39117,13,1,9,150
823,Tools,4.4,10000000,100,4604,9,430125,18,3,4,1314
837,Tools,4.3,5000,51,195,9,15674,3,,7,48
881,Tools,4.9,1000,92,204,3,40361,1,1,6,82
890,Tools,4.1,100000,50,938,6,99250,2,3,1,243
891,Tools,4,50000,92,719,9,88538,,3,4,166
896,Tools,4,5000,92,1417,15,141050,,4,3,424
1005,Tools,3.3,500000,50,180,9,23130,,2,5,96
1054,Tools,3.4,5000,51,42,3,5029,1,,6,16
1083,Tools,3,1000,0,268,9,24319,,7,3,84
1127,Tools,4.5,100000,92,199,3,27368,,1,8,83
1176,Tools,3.9,1000,50,67,5098,7775,2,,18,28
1218,Tools,4,1000,51,111,6,12021,1,,2,45
1338,Tools,4.2,1000,51,61,6,5157,,,3,36
1353,Tools,4.3,1000,0,14,6,1271,,1,12,0
1371,Tools,4.7,10000000,,2079,6,210627,,3,14,730
1399,Tools,3.8,1000,51,73,6,8240,,,2,30
1457,Tools,4.3,1000,50,86,3679,10569,3,1,1,46
1520,Tools,3.3,5000,51,104,3,8833,,,6,24
1598,Tools,3.5,5000,51,68,3,7454,,,12,18
1600,Tools,4.2,5000,51,162,6,13921,,1,2,56
1601,Tools,3.8,5000,51,167,6,14972,,1,4,58
1603,Tools,4,1000,51,114,6,9983,,1,2,48
1605,Tools,3.9,5000,51,103,4953,8938,6,1,26,23
1613,Tools,4.3,5000,0,47,6,2756,,,16,3
1614,Tools,4.7,5000,0,9,3,218,,,1,1
1704,Tools,4,5000,51,105,5117,10681,,,10,39
1709,Tools,4.4,5000,0,53,3,5392,1,2,3,13
1716,Tools,4.3,1000,0,75,3,6666,3,2,11,12
1719,Tools,4.1,1000,51,76,6,8204,2,,10,22
1771,Tools,4.2,10000,50,3892,20,464535,2,,9,1414
1834,Tools,3.7,1000,51,114,6,8241,6,,15,38
1842,Tools,4.2,10000,51,52,6,6919,1,,2,34
1845,Tools,3.9,10000,0,117,6,10040,,,2,42
1847,Tools,3.9,10000,0,17,3,822,,,4,1
1849,Tools,3.8,10000,0,12,6,846,,,4,0
1885,Tools,4.8,1000,92,704,12,92794,,1,4,179
1975,Tools,4.2,1000,51,453,9,41830,,1,2,108
2008,Tools,4.5,1000000,51,623,6,56223,5,,5,221
2016,Tools,3.7,10000,0,65,3,5937,1,1,14,17
2019,Tools,4.4,10000,92,205,6,40665,,1,2,81
2020,Tools,3.9,5000,51,52,3535,4763,,,7,22
2022,Tools,4.8,5000,51,64,6,13560,1,,4,7
2028,Tools,4.1,50000,51,40,6,2515,1,,3,11
2030,Tools,4.5,10000,0,16,3,832,,,9,1
2055,Tools,4.8,1000000,50,86,6,7562,4,,2,16
2057,Tools,4.5,50000,50,84,9,7930,1,,3,36
2065,Tools,3.5,100000,50,2294,9,331663,11,3,2,701
2150,Tools,4,500000,92,747,9,105076,,3,8,297
2372,Tools,4.4,100000,50,333,9,33081,2,,4,167
2398,Tools,3.6,50000,51,14,6,805,1,,3,0
2422,Tools,4.5,1000000,86,3538,15,345343,12,4,2,1169
2458,Tools,4.4,1000,50,133,6,22675,,4,4,27
2544,Tools,4.4,10000,51,252,6,20083,1,,1,95
2545,Tools,3.8,10000,50,840,12,72779,1,2,2,221
2580,Tools,3.9,50000,0,164,6,14464,,,5,59
2691,Tools,4,10000,50,98,4891,9442,1,,5,41
2698,Tools,3.5,10000,0,34,3,2292,,,2,2
2699,Tools,4.8,1000,0,12,6,763,,,3,1
2700,Tools,3.8,10000,51,65,5098,6857,1,1,7,27
2707,Tools,4.3,10000000,92,1190,12,115114,1,1,4,295
2708,Tools,4.6,1000000,51,318,6,28499,,2,8,65
2715,Tools,3.9,5000,51,97,6,10533,2,1,2,37
2733,Tools,4.6,1000,51,35,3,3348,5,2,4,6
2736,Tools,4.5,100000,92,298,6,32654,3,5,2,86
2737,Tools,4.1,500000,92,4454,13,498517,2,3,4,1349
2743,Tools,3.6,1000,51,170,6,15279,1,1,9,62
2756,Tools,4.3,1000,51,41,3,3151,,,2,5
2760,Tools,4.6,100000,51,51,6,6823,,2,3,15
2773,Tools,3,1000,51,78,5095,7158,3,,6,27
2784,Tools,3.8,1000,51,110,3,12002,,,3,46
2792,Tools,3.8,1000,51,124,3,13873,,1,12,42
2812,Tools,3.5,1000,51,18,3,1413,2,,5,8
2816,Tools,3.5,1000,51,187,9,13668,,,2,65
2830,Tools,3.5,1000,51,110,3,12002,,,7,46
2836,Tools,3,1000,51,172,9,15368,,1,4,62
2842,Tools,3.9,100000,51,1594,9,154199,,2,14,476
2849,Tools,4.2,1000,51,67,3,5547,2,1,2,13
2855,Tools,3,10000,92,1667,6,206722,,5,9,188
2869,Tools,4.1,5000,51,169,3,14891,,1,2,60
2873,Tools,4.4,1000,0,54,3,8591,,,2,6
2875,Tools,3.2,5000,50,108,5098,10271,1,,11,28
2890,Tools,4.4,5000,0,14,6,436,1,,4,0
2895,Tools,4.1,10000,51,71,6,7995,,3,11,33
2908,Tools,3.7,10000,51,16,6,1251,1,,8,1
