rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
3898,Entertainment,3.9,1000,0,8,6,156,0,0,2,0
30764,Entertainment,1.8,10000,51,6,3,161,0,0,1,0
69672,Entertainment,2.4,1000,51,7,3,170,0,0,8,0
3744,Entertainment,4,10000,0,8,3,199,0,1,18,0
30744,Entertainment,2.8,5000,0,8,3,205,0,0,1,0
46675,Entertainment,2.7,50000,0,8,3,215,0,1,3,0
5643,Entertainment,2.9,50000,0,9,3,253,0,1,38,0
51512,Entertainment,2.7,1000,0,8,3,256,0,1,1,0
2826,Entertainment,3,5000,51,9,3,297,0,0,4,0
2780,Entertainment,4.5,1000,51,9,3,310,0,0,2,0
45988,Entertainment,2.8,5000,0,9,3,311,0,1,1,0
70984,Entertainment,1.9,1000,51,10,3,322,0,0,12,0
106328,Entertainment,2.6,1000,51,10,3,346,0,0,0,0
127594,Entertainment,2.9,1000,0,9,3,382,1,0,0,1
69166,Entertainment,2.6,1000,0,13,3,386,0,1,11,1
176769,Entertainment,2.4,10000,0,13,3,442,0,1,0,0
124202,Entertainment,2.2,10000,0,13,6,492,0,0,0,0
2448,Entertainment,3.4,1000,51,10,3,505,0,1,4,0
4126,Entertainment,4.6,10000,0,11,6,519,0,0,13,2
4174,Entertainment,4.2,5000,0,11,6,519,0,0,18,2
4161,Entertainment,4.4,5000,0,11,6,523,0,0,2,2
4792,Entertainment,2.8,5000,0,11,3,554,0,1,3,0
1844,Entertainment,3.7,10000,0,14,3,563,0,0,5,1
47431,Entertainment,2.8,1000,0,12,3,656,0,0,1,0
1305,Entertainment,3.4,1000,51,22,3,659,0,0,5,1
209072,Entertainment,2.6,1000,0,18,3,688,0,0,0,0
11448,Entertainment,2.2,50000,0,15,3,736,0,0,5,3
17180,Entertainment,2.7,1000,0,18,3,877,0,0,2,0
66680,Entertainment,2.4,50000,51,16,3,900,0,0,2,4
2690,Entertainment,4.2,10000,0,10,3,913,0,0,2,1
46752,Entertainment,2.8,1000,0,16,3,981,0,0,3,0
81354,Entertainment,2.9,1000,51,11,3,1060,2,0,0,5
154554,Entertainment,2.4,10000,0,27,3,1104,0,0,0,5
11774,Entertainment,2.8,1000,51,17,3,1176,0,1,7,4
167072,Entertainment,2.8,10000,100,17,3,1177,3,0,0,2
2857,Entertainment,4.3,5000,51,25,6,1179,0,0,2,0
3069,Entertainment,1.5,100000,51,7,3,1189,0,0,17,0
3751,Entertainment,4.1,1000,0,22,3,1436,0,0,7,6
126766,Entertainment,2.8,1000,50,11,3,1444,0,0,0,0
1602,Entertainment,3.9,5000,50,12,3,1487,0,0,2,0
4196,Entertainment,4,1000,0,27,6,1667,0,0,14,5
2782,Entertainment,2.5,1000,0,26,3,1700,0,0,3,4
140841,Entertainment,2.9,1000,92,13,6,1707,1,0,0,0
3840,Entertainment,3.5,1000,51,27,3,1754,0,0,40,2
230358,Entertainment,1.8,5000,0,19,3,1801,0,0,0,2
50983,Entertainment,2.1,5000,51,16,3,1875,3,1,2,7
156552,Entertainment,1.6,1000,51,26,6,1987,0,0,0,2
5481,Entertainment,2.8,1000,51,24,3,2212,0,0,4,5
2948,Entertainment,3.4,10000,0,23,3,2720,0,0,6,9
4234,Entertainment,4.3,10000,0,42,6,2923,0,0,2,10
516,Entertainment,3,1000,51,45,6,3510,0,0,5,14
90891,Entertainment,1.8,10000,51,55,3,3513,0,0,0,14
654,Entertainment,4.1,50000,51,51,6,3577,0,0,15,14
134413,Entertainment,2.8,1000,51,67,3,3578,1,1,0,3
646,Entertainment,2.9,50000,51,53,6,3723,0,0,5,14
47522,Entertainment,2.4,10000,51,34,3,3742,0,1,12,8
107297,Entertainment,2,10000,51,58,3,3756,1,0,0,10
80650,Entertainment,2.4,1000,51,92,6,4290,0,0,0,4
139194,Entertainment,2.5,1000,51,53,6,4350,0,0,0,10
2894,Entertainment,3.1,10000,51,57,6,4934,1,2,4,15
4785,Entertainment,2.4,10000,51,55,3660,5493,0,0,2,26
10850,Entertainment,2.5,10000,51,63,3,5544,0,0,3,28
2985,Entertainment,4.3,500000,51,54,6,5548,3,1,10,25
2033,Entertainment,3.1,10000,51,66,6,5563,1,0,7,14
66574,Entertainment,2.8,1000,51,56,3660,5580,0,1,12,26
5333,Entertainment,2.3,1000,51,93,3,5631,1,1,3,18
70463,Entertainment,2.4,1000,51,53,3660,5642,0,0,4,26
203572,Entertainment,2.4,10000,51,58,3660,5687,0,0,0,25
201318,Entertainment,2.8,10000,51,60,5098,6095,0,1,0,25
199134,Entertainment,2.3,10000,51,61,5095,6161,1,1,0,26
196172,Entertainment,2.9,500000,51,59,3663,6438,0,0,0,28
17906,Entertainment,2.8,1000,51,64,5114,6551,0,0,6,21
2959,Entertainment,4.2,10000,50,47,3,6613,3,1,4,9
1464,Entertainment,4.8,1000,50,50,6,6650,3,1,4,9
17127,Entertainment,2.8,50000,51,62,3,6920,1,1,12,17
655,Entertainment,4.2,50000,51,64,3,6945,2,0,12,5
30423,Entertainment,2.9,1000,51,118,3,6997,1,1,4,26
1398,Entertainment,1.8,5000,0,61,6,7084,0,1,2,19
195692,Entertainment,2.8,10000,51,68,5098,7124,2,0,0,25
187426,Entertainment,2.8,5000,51,69,3,7159,0,3,0,19
187725,Entertainment,2.6,10000,51,69,3,7231,0,1,0,36
126849,Entertainment,2.8,10000,51,64,6,7306,0,0,0,18
2926,Entertainment,3.3,10000,51,91,9,7325,0,0,11,22
186872,Entertainment,1.8,1000,51,72,6,7344,0,1,0,32
2794,Entertainment,3.1,1000,51,66,3,7346,0,0,5,20
3056,Entertainment,4.2,10000,51,74,6,7462,2,1,1,31
2963,Entertainment,4.3,50000,51,81,6,7765,0,1,5,32
195402,Entertainment,2.8,100000,51,75,3,7806,0,1,0,32
165120,Entertainment,2.6,1000,51,80,6,7851,0,1,0,33
6182,Entertainment,2.2,5000,50,75,12,7878,5,0,3,42
1807,Entertainment,3.9,100000,51,106,12,7954,0,0,4,27
182366,Entertainment,2.6,5000,51,76,6,7961,2,1,0,32
305,Entertainment,3.2,5000,51,72,3,8011,0,0,4,46
268,Entertainment,3.4,500000,50,85,9,8035,0,0,4,38
2964,Entertainment,4.2,100000,50,66,3,8112,0,1,11,17
3042,Entertainment,3.9,10000,51,76,3,8125,2,1,13,33
1942,Entertainment,3.2,100000,51,111,12,8233,0,0,2,27
2439,Entertainment,4.5,5000,0,98,12,8398,0,6,5,40
12851,Entertainment,2.8,1000,51,133,3676,8469,1,0,9,48
106244,Entertainment,2.7,1000,51,133,3676,8469,1,0,0,48
3878,Entertainment,4,1000,51,97,6,8478,0,0,26,52
144144,Entertainment,2.7,5000,51,67,6,8543,1,1,0,22
3776,Entertainment,3.1,1000,51,102,6,8583,0,1,1,52
13360,Entertainment,2.9,10000,51,78,3,8600,0,1,12,35
106308,Entertainment,2.8,10000,51,87,5095,8633,1,1,0,29
126685,Entertainment,1.3,5000,51,115,6,8704,0,1,0,15
1300,Entertainment,2,1000,51,67,3,9239,0,7,1,35
6094,Entertainment,2.7,5000,51,131,5095,9745,0,0,8,41
168147,Entertainment,2.5,10000,51,103,9,9871,1,1,0,49
227213,Entertainment,2.7,1000,51,105,3,9931,0,1,0,25
167417,Entertainment,2.8,10000,51,100,6,9937,0,1,0,41
2491,Entertainment,2.3,10000,51,112,5111,10110,0,1,3,30
2957,Entertainment,3.8,50000,51,110,6,10211,0,1,20,34
47900,Entertainment,2.5,1000,50,96,3,10220,2,1,3,38
128847,Entertainment,2.6,1000,51,116,3,10309,0,1,0,36
9998,Entertainment,1.6,1000,51,116,3,10323,0,1,5,36
50100,Entertainment,1.8,1000,51,116,3,10323,0,1,13,36
749,Entertainment,2.2,5000,51,104,9,10440,0,0,17,40
200590,Entertainment,2.6,100000,51,142,6,10659,1,0,0,37
3064,Entertainment,3.2,10000,51,96,3,10686,0,0,2,27
68453,Entertainment,2.8,100000,51,89,3679,10815,1,0,3,54
2018,Entertainment,4,10000,51,85,6,11245,0,0,2,57
5128,Entertainment,2,1000,50,90,3,11251,3,1,7,23
19941,Entertainment,2.8,5000,51,145,6,11571,0,1,16,57
68217,Entertainment,2.9,100000,51,108,3,11741,0,0,2,45
70462,Entertainment,2.2,1000,51,110,3,11758,0,0,1,44
66496,Entertainment,2.2,5000,51,109,3,11785,0,0,3,45
165870,Entertainment,2.7,5000,51,111,3,11953,0,1,0,44
27428,Entertainment,2.8,1000,50,114,9,12007,1,4,3,44
68975,Entertainment,2.6,1000,51,111,3,12040,2,0,12,45
1525,Entertainment,3.8,1000,51,111,3,12191,0,0,15,45
1526,Entertainment,3.3,1000,51,111,3,12191,0,0,14,46
1515,Entertainment,2.8,1000,51,111,3,12191,0,0,10,45
3765,Entertainment,2.9,1000,51,111,3,12191,0,0,3,45
6103,Entertainment,2.8,1000,51,111,3,12191,0,0,8,45
6198,Entertainment,2.1,1000,51,111,3,12191,0,0,14,45
3962,Entertainment,4,50000,51,111,3,12196,0,0,1,45
807,Entertainment,3.7,50000,50,150,3,12537,0,1,7,41
1721,Entertainment,3.9,10000,51,119,3,12823,0,0,6,52
20558,Entertainment,2.2,1000,50,191,6,12835,1,1,14,40
2958,Entertainment,3.6,50000,51,122,3,12859,0,0,4,50
130549,Entertainment,2.3,1000,51,146,6,12861,0,1,0,63
67761,Entertainment,2.7,50000,51,93,6,12871,2,1,4,65
6166,Entertainment,2.8,1000,51,104,3,13931,0,0,21,28
2791,Entertainment,3.7,1000,51,171,6,14246,0,4,5,37
2721,Entertainment,2.4,10000,51,167,6,14627,0,1,1,58
135576,Entertainment,2.6,1000,51,139,3,14821,0,0,0,47
218641,Entertainment,2.9,1000,51,155,6,14962,0,3,0,65
228761,Entertainment,2.7,50000,51,173,6,15074,0,1,0,60
1843,Entertainment,4.1,1000,51,184,3360,15146,0,0,3,45
2765,Entertainment,3.3,1000,51,121,3,15159,0,0,3,31
80795,Entertainment,1.7,1000,50,189,3354,15411,2,1,0,43
1188,Entertainment,3.8,5000,51,95,3,15497,1,2,3,65
2414,Entertainment,3.9,10000,51,185,6,16040,0,1,7,58
449,Entertainment,3.8,10000,51,153,9,16140,2,2,9,33
3705,Entertainment,3.1,5000,51,157,12,16302,0,0,3,63
1187,Entertainment,3.9,5000,51,70,3,16370,1,1,2,24
216872,Entertainment,2.8,50000,51,177,5046,16661,0,3,0,74
139155,Entertainment,2.8,1000,51,126,6,16825,0,5,0,62
1708,Entertainment,4.2,10000,51,119,6,16879,0,0,12,35
1677,Entertainment,2.9,5000,50,175,12,17746,0,0,7,35
1802,Entertainment,4.1,5000,51,164,12,18484,0,0,4,63
152773,Entertainment,2.7,10000,92,168,6,18841,0,7,0,50
218521,Entertainment,2.7,1000,92,168,6,18841,0,9,0,57
207747,Entertainment,2.4,50000,51,191,15,18888,0,2,0,62
900,Entertainment,4.1,100000,51,224,9,18926,0,0,1,57
832,Entertainment,4.2,1000,92,169,6,19255,0,8,3,51
17094,Entertainment,2.7,1000,50,196,6,19525,4,2,2,58
227754,Entertainment,2.2,1000,92,178,6,19976,0,6,0,64
75075,Entertainment,2.8,10000,51,260,9,21262,0,2,4,80
218977,Entertainment,2.9,10000,50,218,5111,21313,2,2,0,65
4166,Entertainment,3.5,10000,0,140,3,21682,1,1,17,9
47154,Entertainment,2.7,10000,50,232,3,22276,2,1,2,95
770,Entertainment,4.1,10000,92,227,9,22424,0,9,4,71
224,Entertainment,3.8,50000,0,322,3,23989,0,0,5,7
219478,Entertainment,2.6,50000,51,205,6,24271,2,0,0,66
3029,Entertainment,4.2,1000,51,284,3357,24481,1,0,16,70
127297,Entertainment,2.5,1000,50,220,3483,24632,4,2,0,82
118930,Entertainment,2.5,50000,100,246,12,24755,6,2,0,58
75819,Entertainment,2.3,1000,0,290,6,25377,1,3,10,45
788,Entertainment,4.4,5000,0,285,6,25465,0,2,14,45
470,Entertainment,4.2,10000,0,295,6,25939,0,2,21,48
72622,Entertainment,2.9,1000,0,295,6,26113,0,3,15,45
3391,Entertainment,4,10000,51,276,6,27127,0,1,6,105
4185,Entertainment,4.2,1000,51,333,9,29494,0,2,17,49
202119,Entertainment,2.7,1000,51,318,6,29759,1,3,0,154
1560,Entertainment,2.2,10000,51,362,9,30740,2,0,5,95
2371,Entertainment,3.2,100000,51,247,5114,31584,0,2,8,67
16180,Entertainment,2,1000,51,286,6,31814,4,4,2,125
55344,Entertainment,2.6,5000,51,335,6,32520,0,2,3,140
18170,Entertainment,2.9,1000,51,366,6,33977,0,1,7,66
196085,Entertainment,2,10000,92,367,9,35633,2,4,0,63
224959,Entertainment,2.9,10000,51,358,12,35984,1,2,0,107
694,Entertainment,4.3,500000,51,407,6,36368,0,1,9,69
849,Entertainment,4,10000,51,483,9,37174,0,3,3,87
2249,Entertainment,3.9,10000,51,382,6,37535,1,4,2,67
1053,Entertainment,4.4,5000,51,404,9,37771,3,1,3,63
11293,Entertainment,2.6,10000,51,377,3,38081,1,3,3,117
3466,Entertainment,3.4,100000,51,403,12,38818,0,2,1,105
222166,Entertainment,2.8,1000,51,398,12,38961,2,1,0,101
4298,Entertainment,4.1,50000,50,445,6,39108,0,2,10,151
4184,Entertainment,4.3,1000,51,421,6,39504,1,1,12,86
177206,Entertainment,2.7,100000,51,293,3679,39768,0,5,0,142
167568,Entertainment,2.9,50000,51,444,6,40022,1,2,0,104
218045,Entertainment,2.2,1000,92,211,9,40753,0,1,0,101
219955,Entertainment,2.4,5000,51,107,12,41039,0,0,0,181
1589,Entertainment,3.2,1000,0,452,6,42343,0,4,4,74
94618,Entertainment,2.8,100000,92,241,3,43084,1,2,0,90
186363,Entertainment,2.7,10000,51,576,3663,44260,0,2,0,77
16602,Entertainment,2.3,1000,51,479,9,44825,0,2,7,115
52722,Entertainment,2.1,1000,51,479,9,44825,0,2,2,115
136249,Entertainment,2.5,1000,51,479,9,44825,0,2,0,115
213311,Entertainment,2.9,500000,100,242,9,44835,1,1,0,115
2260,Entertainment,4.3,1000,92,246,3,45059,1,2,4,101
1253,Entertainment,2.3,10000,51,459,6,45390,0,4,2,88
2931,Entertainment,3.9,5000,51,480,9,46763,0,1,26,111
1797,Entertainment,4.3,10000,51,465,9,47205,0,1,2,117
4341,Entertainment,4.4,1000,100,279,6,47286,2,1,2,92
136336,Entertainment,2.9,5000,51,510,6,47332,0,4,0,84
1795,Entertainment,4,10000,51,500,9,47616,1,1,1,118
3028,Entertainment,4,10000,51,465,12,47673,0,1,12,119
1803,Entertainment,3.9,100000,51,499,9,47951,2,1,2,116
577,Entertainment,3.6,100000,51,524,12,48319,0,1,14,117
217785,Entertainment,2.9,10000,50,611,3,48419,0,5,0,181
586,Entertainment,3.6,100000,51,527,12,48801,0,1,11,113
47152,Entertainment,2.6,10000,51,521,9,49894,0,4,4,123
106297,Entertainment,2.5,1000,50,458,9,50198,1,5,0,124
223,Entertainment,4.1,10000,50,568,9,51058,4,3,3,85
3459,Entertainment,3.8,1000,100,476,9,51252,6,2,19,195
1186,Entertainment,4.3,10000,51,501,9,51616,1,1,1,126
139,Entertainment,4.2,100000,51,536,6,52437,1,3,10,145
152,Entertainment,4.1,50000,51,536,6,52437,1,3,6,145
