rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
17183,Puzzle,2.9,5000,0,9,3,330,0,0,7,2
2951,Puzzle,4.3,10000,0,15,3,700,0,0,3,3
174815,Puzzle,2.1,1000,51,16,3,999,0,0,0,9
2049,Puzzle,4.1,10000,0,28,6,1290,0,1,2,2
125847,Puzzle,2.4,1000,0,18,3,1296,0,0,0,2
5411,Puzzle,2.7,1000,51,21,3,1376,2,0,22,0
33334,Puzzle,2.8,1000,50,12,3,1487,0,0,9,0
156293,Puzzle,2.9,10000,0,34,9,1580,0,0,0,3
209973,Puzzle,2.6,10000,0,26,3,1651,0,0,0,1
6936,Puzzle,1.2,1000,0,14,3,1719,0,0,19,0
2717,Puzzle,3.9,10000,0,30,3,1753,0,0,3,2
6126,Puzzle,2.6,5000,51,23,3,1877,1,0,13,2
3933,Puzzle,4.2,10000,0,29,3,1962,0,0,6,3
208495,Puzzle,2.2,50000,0,32,3,2063,0,1,0,8
46808,Puzzle,2.9,10000,51,23,3,2613,0,0,8,2
213,Puzzle,4.4,10000,0,26,6,2695,0,1,5,6
45907,Puzzle,2.8,10000,0,33,3,2884,0,0,9,10
18269,Puzzle,1.8,1000,51,40,6,2976,0,6,5,4
30997,Puzzle,2.8,1000,0,38,6,3155,0,1,2,15
2831,Puzzle,3.4,5000,0,24,3,3202,0,0,5,74
1401,Puzzle,4,1000,0,44,3,3337,0,0,2,5
3869,Puzzle,1.6,1000,51,22,3,3510,0,0,4,6
68978,Puzzle,2.5,1000,51,56,6,3911,0,0,3,9
105087,Puzzle,2.5,1000,51,56,6,3911,0,0,0,8
585,Puzzle,3.6,10000,0,54,3,4302,0,0,5,25
133,Puzzle,4,100000,51,70,6,4852,0,1,4,5
127,Puzzle,3.9,100000,51,70,6,4892,0,1,9,5
12549,Puzzle,2.9,1000,51,45,3,5255,0,0,11,9
163778,Puzzle,2.6,1000,0,56,3,5437,0,1,0,16
1578,Puzzle,5,1000,92,59,6,5524,1,0,26,16
6220,Puzzle,2.5,10000,0,84,3,5687,0,0,3,34
2763,Puzzle,3.5,1000,0,56,3,5854,0,8,11,28
106338,Puzzle,2.4,1000,0,56,3,5854,0,8,0,27
10809,Puzzle,2.5,1000,51,60,5095,6122,0,0,3,26
57863,Puzzle,2.6,10000,50,63,3,6137,0,0,8,21
18057,Puzzle,2.7,1000,51,47,3,6252,0,0,2,25
46250,Puzzle,2.6,1000,51,72,3663,6634,0,0,4,30
1409,Puzzle,3.8,1000,51,118,3,6995,1,1,2,26
2922,Puzzle,3.3,10000,51,69,5098,7134,0,0,8,27
448,Puzzle,3.6,1000,51,76,3663,7250,0,1,1,29
1855,Puzzle,4.1,10000,51,81,5095,7337,0,0,3,26
122308,Puzzle,2,1000,0,69,6,7345,0,6,0,40
47551,Puzzle,2.6,50000,51,84,3,7489,0,0,1,20
11606,Puzzle,2.8,5000,51,65,6,7755,0,0,8,17
106336,Puzzle,2.3,1000,51,62,3,8039,0,0,0,19
126710,Puzzle,2.3,5000,51,86,3660,8109,0,1,0,40
32559,Puzzle,1.7,1000,51,65,3666,8216,0,1,16,47
158061,Puzzle,2.8,1000,51,75,3,8492,0,1,0,36
66857,Puzzle,2.5,1000,50,70,3,8759,0,1,1,22
1841,Puzzle,3.4,5000,0,63,3,8881,0,8,1,35
140053,Puzzle,2.4,1000,51,97,6,9100,0,7,0,70
363,Puzzle,4.5,500000,51,103,12,9341,0,2,5,43
391,Puzzle,4.5,1000000,51,104,12,9354,0,2,2,43
2712,Puzzle,3.7,1000,51,134,3,9698,0,0,2,8
147,Puzzle,3.7,100000,51,57,6,9838,0,0,2,27
34,Puzzle,3.8,100000,51,78,5095,10641,0,0,4,26
3068,Puzzle,4.3,100000,51,114,5114,11688,0,0,9,26
66634,Puzzle,2.9,10000,51,114,3,12188,0,0,10,45
144169,Puzzle,1.4,1000,51,76,3663,12297,0,0,0,32
208982,Puzzle,2.8,1000,51,107,6,12357,0,0,0,53
