rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
150375,Tools,2.7,50000,0,2,3,95,0,0,0,0
21468,Tools,2.3,1000,0,6,3,129,0,0,7,0
31875,Tools,2.2,10000,51,6,3,132,1,0,1,0
209,Tools,4.2,10000,0,10,6,215,0,0,9,0
58087,Tools,2.6,5000,0,9,3,216,0,0,15,1
1614,Tools,4.7,5000,0,9,3,218,0,0,1,1
30746,Tools,2.9,1000,0,7,3,231,0,0,1,1
3935,Tools,4.3,10000,0,6,3,284,0,0,18,0
132063,Tools,2.6,500000,51,4,3,290,5,0,0,3
126753,Tools,2,5000,51,8,3,376,0,0,0,0
2972,Tools,4.5,50000,0,4,3,395,0,0,10,2
2890,Tools,4.4,5000,0,14,6,436,1,0,4,0
4832,Tools,2.9,50000,0,12,3,498,0,0,4,1
30745,Tools,2.1,1000,51,7,3,534,0,0,1,0
125686,Tools,2.3,1000,51,12,3,590,0,0,0,1
147185,Tools,2.7,500000,0,8,3,598,0,0,0,0
10941,Tools,2.9,50000,0,11,3,618,0,0,3,1
6234,Tools,2.7,1000,0,16,3,758,0,0,2,1
2699,Tools,4.8,1000,0,12,6,763,0,0,3,1
186164,Tools,2.4,1000,0,8,3,768,0,0,0,0
51346,Tools,1.5,1000,0,18,3,778,0,0,2,1
3976,Tools,4.2,100000,0,16,6,789,2,0,11,2
2398,Tools,3.6,50000,51,14,6,805,1,0,3,0
1847,Tools,3.9,10000,0,17,3,822,0,0,4,1
2030,Tools,4.5,10000,0,16,3,832,0,0,9,1
1849,Tools,3.8,10000,0,12,6,846,0,0,4,0
2969,Tools,4,10000,51,19,3,850,2,0,3,1
3971,Tools,4.3,5000,0,22,6,894,0,0,8,1
224089,Tools,2.5,1000,0,16,3,949,0,0,0,16
124218,Tools,2,10000,0,16,3,999,1,0,0,1
68394,Tools,2.8,10000,0,15,3,1022,1,0,5,1
145442,Tools,2.9,1000,0,20,3,1051,0,0,0,1
2735,Tools,2.2,10000,0,10,6,1163,0,0,15,0
806,Tools,4.2,10000,0,20,6,1190,0,0,4,3
69924,Tools,2.9,10000,0,12,3,1219,0,0,7,0
631,Tools,4.3,10000,0,9,6,1227,0,0,2,6
2909,Tools,3.2,1000,0,28,3,1237,0,1,5,1
2908,Tools,3.7,10000,51,16,6,1251,1,0,8,1
67787,Tools,2.7,1000000,51,30,6,1268,1,4,18,3
1353,Tools,4.3,1000,0,14,6,1271,0,1,12,0
3963,Tools,4.1,10000,0,17,3,1275,0,0,2,1
2812,Tools,3.5,1000,51,18,3,1413,2,0,5,8
2924,Tools,3.4,50000,51,23,6,1473,0,0,10,8
2918,Tools,2,10000,51,23,3,1625,0,0,8,7
127794,Tools,2.9,100000,0,22,6,1691,5,0,0,4
28889,Tools,2.8,5000,51,22,3,1842,0,0,5,2
13191,Tools,2.3,1000,0,27,3,1977,0,0,15,2
127699,Tools,2.4,1000,51,27,6,2005,0,0,0,8
231821,Tools,2.3,1000,0,22,3,2031,0,0,0,2
2952,Tools,4.4,10000,0,37,6,2055,0,0,10,12
45997,Tools,2.4,10000,0,33,3,2110,2,0,8,5
3774,Tools,3.9,1000,0,29,3,2250,0,0,2,11
2698,Tools,3.5,10000,0,34,3,2292,0,0,2,2
3930,Tools,4,10000,0,27,3,2315,0,0,2,12
3745,Tools,4.4,5000,51,45,3,2393,4,0,10,4
222526,Tools,1,1000,51,14,6,2459,4,0,0,4
103156,Tools,2,1000,0,37,3,2497,0,0,0,6
