### Ran on 12/28/2015
#Spearman, Kendell, Pearson
> source('SpearmanUserRatings.R')
[1] "OPriv: SP: 0.0426877016471133 K: 0.0331840777594671 P: 0.0584590555339924"
[1] "UPriv: SP: 0.0134384528646772 K: 0.00949879920488506 P: -0.0392737004475089"
[1] "FRisk: SP: 0.069671673016454 K: 0.0546365094418958 P: 0.0556095081324193"
[1] "PermCount: SP: 0.481530408957311 K: 0.349933908596657 P: 0.315692889192847"
[1] "CS: SP: 0.110634350482479 K: 0.0800219180495002 P: 0.0220521214451513"
[1] "Jlint: SP: 0.164080125141803 K: 0.113016690803856 P: 0.0798178368566519"
#### The rest of these results ran on 1/20/2016
[1] "****************All*****************"
[1] "OPriv: SP: 0.0200508691323378 K: 0.0155100426661835 P: -0.0278313979879011"
[1] "UPriv: SP: 0.0047482348694742 K: 0.00285580853295346 P: -0.00596991828150148"
[1] "FRisk: SP: -0.11077637761192 K: -0.0770287154128645 P: -0.123031366400347"
[1] "PermCount: SP: 0.376245492831916 K: 0.264086973027268 P: 0.0362749725131686"
[1] "****************Tools**************"
[1] "OPriv: SP: 0.0782678975268572 K: 0.0590521903514795 P: -0.0526266186726709"
[1] "UPriv: SP: 0.0451076000243418 K: 0.0335119963788706 P: 0.00250070247471578"
[1] "FRisk: SP: -0.0752774457401135 K: -0.0507597702273074 P: -0.127769177651017"
[1] "PermCount: SP: 0.376675676857422 K: 0.26322644788707 P: 0.0336724987898833"
[1] "****************Puzzle**************"
[1] "OPriv: SP: 0.102979265887916 K: 0.0791958532647175 P: -0.0382137476895432"
[1] "UPriv: SP: -0.00642626334523647 K: -0.00159877059663558 P: -0.112400486979544"
[1] "FRisk: SP: -0.164012357523121 K: -0.113733147636916 P: -0.190921592019765"
[1] "PermCount: SP: 0.217035654389124 K: 0.161210589228815 P: -0.0939588393297406"
[1] "****************Entertainment**************"
[1] "OPriv: SP: 0.078457858570364 K: 0.0596023259447404 P: -0.0669545855225261"
[1] "UPriv: SP: -0.0184568290575758 K: -0.0106328968459155 P: -0.0561123472387523"
[1] "FRisk: SP: -0.185933975271583 K: -0.133072751536399 P: -0.130629136164275"
[1] "PermCount: SP: 0.295691279263276 K: 0.200475516527848 P: -0.00779500913404076"
[1] "****************Education**************"
[1] "OPriv: SP: -0.0788114219063931 K: -0.0580119344311933 P: -0.0935497783052724"
[1] "UPriv: SP: -0.0583565335397311 K: -0.04080656108397 P: -0.0670237920162016"
[1] "FRisk: SP: -0.216052542273083 K: -0.152258923432081 P: -0.147100808353283"
[1] "PermCount: SP: 0.476727610549728 K: 0.315443120851645 P: 0.0996014844359695"
