"Survey-Response Set","Submitted","","","","","","","","","","","Do you feel the activity was done at the appropriate place in the term?","What did you like most about the activity?","What did you like least about the activity?","What was the most useful concept you learned in the activity?","What would you change about the activity?","Any other comments you would like to activity?"
"SWEN-331 Gameified-Fall-2014","12/10/2014 04:01 PM","5","Strongly Agree","5","Strongly Agree","3","Undecided","4","Agree","4","Agree","Yes. We needed to learn the course material before we could succeed in the game.","It was fun, and tied values to some concepts in relation to the real world.","No good events...surely something good does have to happen sometime.","Balancing security with productivity.","Change arrow direction for prerequisites and add a marker that totals devcaps towards active development on each month.","It was a lot of fun."
"SWEN-331 Gameified-Fall-2014","12/10/2014 04:52 PM","5","Strongly Agree","4","Agree","4","Agree","4","Agree","4","Agree","Yes, I feel that the activity was a culmination of a lot of the concepts that we've learned throughout the semester. Therefore, the end of the term was the appropriate time to do this activity.","It allowed me to learn about security resources while still having fun.","Maybe we could have been given more preparation (such as giving us the sheets the class period beforehand to better understand the game). However part of the fun was learning it on the fly, so I don't have any real complaints.","Learned to balance security resources, and see how they're all interconnected.","Nothing really, just make sure the numbers on the spreadsheet and paper copy match up.","Nope"
"SWEN-331 Gameified-Fall-2014","12/11/2014 12:21 PM","","Not Answered","5","Strongly Agree","","Not Answered","5","Strongly Agree","5","Strongly Agree","yea, maybe felt a little rushed but it did require previous knowledge.","Real world simulation. Things happen and if you are not prepared with security it in mind, these days it can be catastrophic.","The spreadsheet and rules were still a little unclear until mid-way in the game and the inaccuracy of the spreadsheets.","That a 'hacker mindset' is always a good mindset, and that its an entire companies ideology that'll make the software safe, not just a team's responsibility or a persons responsibility.","- Clearer starting instructions (goal, expectations, points etc.)a, which yields to more time for the activity.<br>- Correct spreadsheets","I think that a lot of the best ideas that came into play came from outside experience and not directly from the class. For example focusing a lot on CI is important, but that wasn't really part of the security course. Same goes with many of the possible actions -> they involved a lot of previous knowledge of what it was. Now this is good and bad. Good because it teaches those who don't know what it is, but bad because that's probably not where they should be learning the stuff. Its a difficult problem to solve.<br><br>Another way of putting it is that its simulating the real world so much (in a good way) that those who haven't been or experienced the real world may not have found the activity as impact-ful. <br><br>Either way amazing epic activity, 10/10."
"SWEN-331 Gameified-Fall-2014","12/11/2014 02:12 PM","5","Strongly Agree","5","Strongly Agree","2","Disagree","4","Agree","4","Agree","Ye","The uforeseen risks and possible mitigation for them","Many issues seemed arbitrary, and chance-related","How to prepare for the possible problems can appear from nowhere","More organized chart of mitigations","It was p cool"
"SWEN-331 Gameified-Fall-2014","12/11/2014 03:03 PM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Yes, it was a fun way to review the material learned over the semester.","By not knowing what horrors would be coming each month, it really forces your team to think about what actions would benefit your section of the system.","Can't really think of something.","It really highlighted that it helps to have a malicious mindset when considering what areas of the system should be covered by certain defenses.","If possible, I would give out the sheet highlighting the different defensive actions your team can take the class before starting the activity so that everyone can read through each action carefully.","Really neat game!"
"SWEN-331 Gameified-Fall-2014","12/11/2014 08:49 PM","5","Strongly Agree","4","Agree","3","Undecided","4","Agree","4","Agree","Absolutely.","Working with a large group to discuss methods and tactics as well as seeing results of those decisions immediately.","Excel sheet could've been better...","Specific areas require different security tactics and not all the security lies in one place.","Encourage intercommunications between groups.","Improve the excel sheet and yeah... This activity was most excellent!"
"SWEN-331 Gameified-Fall-2014","12/15/2014 09:35 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","Yes. Though it could have worked anywhere in the second half.","It was fun figuring out the strategy.","Finding the ID numbers of the tasks arbitrarily ordered on the page.","That doing security tasks is very valuable.","",""
"SWEN-331 Gameified-Fall-2014","12/15/2014 09:44 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Yes, it was a great wrap-up activity and stress reliever before finals.","The craziness of not knowing what is going to come next.","The arrows on the chart in our packets were facing the wrong way. They should've been pointing towards the next part in line, not to the prereqs.","Be prepared for anything.","Change the arrows.",""
"SWEN-331 Gameified-Fall-2014","12/15/2014 09:51 AM","4","Agree","5","Strongly Agree","3","Undecided","5","Strongly Agree","5","Strongly Agree","Yes","The strategic aspect of it","N/A","The idea of balancing resources to create a secure system","N/A","N/A"
"SWEN-331 Gameified-Fall-2014","12/15/2014 09:56 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Yes","","","","Change the direction of the arrows on the resource chart. As a gamer every skill tree I've seen has arrows going from the lesser skills to the greater skills. This caused a great deal of confusion on my part.",""
"SWEN-331 Gameified-Fall-2014","12/15/2014 10:09 AM","5","Strongly Agree","5","Strongly Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","Yes, having all the content and reading first was perfect was like see the theory in practice.","It's fun and structured like a RPG game.","Too much people in a group sometimes is hard to give opinions.","Be prepared for all kinds of things all the time.","A large set of skills to purchase and more vulnerabilities and scenarios.",""
"SWEN-331 Gameified-Fall-2014","12/15/2014 11:18 AM","1","Strongly Disagree","1","Strongly Disagree","1","Strongly Disagree","1","Strongly Disagree","1","Strongly Disagree","Yes","You were punished for doing things that weren't relevant and awarded for thinking about your moves.","Learning curve made it difficult to realize what was going on/how points worked.","Investing in your knowledge base.","Go through a brief sample round",""
