"Survey-Response Set","Submitted","","","","","","","","","","","Do you feel the activity was done at the appropriate place in the term?","What did you like most about the activity?","What did you like least about the activity?","What was the most useful concept you learned in the activity?","What would you change about the activity?","Any other comments you would like to activity?"
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:43 AM","4","Agree","4","Agree","3","Undecided","4","Agree","4","Agree","","","","","",""
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:43 AM","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","Yes","It was awesome","Nothing","","",""
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:44 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Yes","Makes you think about security while developing instead of just focusing on only security","-","","Nothing",""
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:44 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","yes","how it balanced security with the need for regular development","the spreadsheets could use some work.... maybe a senior project could make a webapp for it?","balance development with security","the spreadsheets","make this a senior project"
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:45 AM","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","Yes, placing it after learning all vulnerabilities helped combine the knowledge","Team work, and cross-team help","N/A","Meeting deadlines","N/A","it was great"
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:50 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","Absolutely, it makes sense to do it towards the end when he have a good grasp on security threats.","Fast-paced and fun, threw situations at us we'd see in the real world but don't necessarily expect going into the game.","That our team was so close to not being canned but missed the deadline.","You can't expect and plan for every problem. You have to prioritize some security features over others based on work vs. value.","Have some sort of end based on the teams handling of security risks and whether teams met development goals (maybe multiple story paths based on each months outcome?)","Highly recommend it for other classes, it was a nice break at the end of the semester."
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:53 AM","5","Strongly Agree","5","Strongly Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","Definitely -- culmination of the entire term","Felt almost realisitic, great exampmles and traceability to what we've learned. Excellent balance amongst resources, teams, attacks, etc. i.e. felt very well designed","","Balancing of resources, e.g. doesn't make sense for a web-based e-commerce site to spend a lot of time rolling a cryptosystem like SSL/TLS -- should be left to academics","","Awesome! Should definitely be a requirement/tradition for every SWEN-331 class. Hopefully the paper's published"
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:54 AM","4","Agree","3","Undecided","4","Agree","4","Agree","4","Agree","Yes","Interesting & Interactive","Room layout left team members on the end of the tables with less input","As long as you meet the deadline, the next release/company doesn't matter<br><br>Just kidding.","More groups needed individual exposure. Web had barely any solo responsibilities for security.","An ending requirement more than just the points."
"SWEN-331 Gameified-Spring 2015","05/05/2015 10:59 AM","5","Strongly Agree","4","Agree","4","Agree","4","Agree","4","Agree","Yes, I think it was at a good time, after we have learned all the material. And it kind of acted as final review. Would be interesting to see how the game would go week one.","When the events were completely mitigated it was cool, it meant that every team was learning.","Would be cool if it could be spread over two classes to add more months.","Things like ssl are low cost, and have high benefit.","Add more months and spread it over two days. It would be really cool if the entire thing was online. Maybe hire some co-ops over the summer and have the game coded up.","Really nice activity, I'll be interested to see where it goes in the future."
"SWEN-331 Gameified-Spring 2015","05/05/2015 11:01 AM","4","Agree","3","Undecided","3","Undecided","3","Undecided","4","Agree","Yes. At the end, when we know most of the concepts pretty well, was a good spot.","It was interesting to try to predict what types of vulnerabilities would come up and how our choices might help mitigate them.","It seemed unbalanced in terms of which departments were able to mitigate which vulnerabilities. Some were big in month 1, then had very little impact until month 5 (which didn't really matter since events happen after the month).","Manipulate the work to gain more effective resources.","The distribution of vulnerabilities in each month and mitigations in each month should be a little more even across the teams. Some more automated testing should be added as well (I've been at companies that ran 100s of automated tests every 6 hours, unit tests, integration tests and static analysis).","I really like the concept, it just needs more refinement before it is fully balanced."
"SWEN-331 Gameified-Spring 2015","05/05/2015 11:03 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","Yes.","It was like a puzzle, but still taught important lessons.","","","",""
