"Survey-Response Set","Submitted","What personality type were you?","Which personality type do you feel was the easiest to work with (D-I-S-C)?","Which personality type do you feel was the most difficult to work with","Which personality type did you accomplish the most work with?","Which personality type did you accomplish the least work with?","What were some of the difficulties you experienced?","Was it easier to work in a group with the same personality type, or different (Same, Different)?","How will this activity help you in the future? - Both in how you work with others and how you self improve.","How did you adapt your behavior when working with each of the different personality groups?","1","1","",""
"DISC Activity Questionaire-261-02","11/25/2013 05:56 PM","C","C","D","C","D","D can stand for Dick...","Same.","","","4","Above Average","3","Average"
"DISC Activity Questionaire-261-02","11/25/2013 05:56 PM","C","I","D","D","S","Different letters resulted in less similarities in ideas","Same","It would seem like different types yield better odds in success","I didn't have to.","5","Excellent","4","Above Average"
"DISC Activity Questionaire-261-02","11/25/2013 05:57 PM","C","C","I","C","D","People who didn't participate did not help at all. There was not a lot of motivation.","The same type was much easier to agree with.","I will be more mindful of people with similar and different personality types and use that to my advantage when trying to reason with them.","It was easier to not participate because other people contributed more.","3","Average","3","Average"
"DISC Activity Questionaire-261-02","11/25/2013 05:57 PM","I","I","D","I","D","I don't like being bossed around, so when in a group with a D member I didn't enjoy it.","The same, but I don't know if that has to do with personality type or the people in the group.","If I can understand my own personality type I can understand why I react in certain ways. I don't think it will help me with groups in the future, however.","In the first group I was quieter because there was a prominent ""D"" personality type. In the second I voiced my opinions more.","4","Above Average","3","Average"
"DISC Activity Questionaire-261-02","11/25/2013 05:59 PM","S","S","D","S","D","When working with D people, they were a little more demanding and I felt it was not a good environment to brainstorm ideas.","It was easier to work in a group with the same personality type.","This activity will help me in the future because I experienced how well I worked with the same type of people as myself, so I know for the future how to effectively get work done.","I was quiet when the D people where talking because they were a little more dominant but with people of my type I felt free enough to talk and give them more ideas.","5","Excellent","4","Above Average"
"DISC Activity Questionaire-261-02","11/25/2013 05:59 PM","D","D","C","D","C","wished there were more contribution from the ""C"" people. It's nice to have my idea out but it could potentially be beneficial if there are good ideas from the other people.","Same","Realize personality types really affect the way people interact","Wasn't even aware that people were grouped by personality types","5","Excellent","5","Excellent"
"DISC Activity Questionaire-261-02","11/25/2013 05:59 PM","C","I","S","I","S","Not communicating easily.","Different.","I will try to understand other people in terms of their personality types","I had to be more assertive with people of the same personality types to get my opinion heard","4","Above Average","4","Above Average"
"DISC Activity Questionaire-261-02","11/25/2013 06:01 PM","S","S","C","S","C","The diverse one was really difficult.","Same type was easy as heck, but that may have been because we were all 's's","I will subconsciously identify people and see how they have impacts on intergroup relations.","I will try to fit the roll given to me.","5","Excellent","4","Above Average"
"DISC Activity Questionaire-261-02","11/25/2013 06:01 PM","I","I","D","I","D","In the mixed group there was more ideas from different directions to consider, some of which were not as good paths to explore as others.","It was easier to work in a group with the same personality type, and I think that we were able to gravitate in towards good ideas faster.","Being aware of mixed personality types in a group and being able to recognize and adjust to different people's personalities.","I felt that I needed to be a little more careful about considering different ideas and not taking too dominant of a position with regards to some of the other group members.","5","Excellent","3","Average"
"DISC Activity Questionaire-261-02","11/26/2013 02:08 AM","C","I","D","C","S","It was sometimes hard to come up with ideas or reach an agreement.","I think it was easier to work in a group with people of the same personality type, but we came up with better ideas in the the group with different personality types.","I will be more aware of how to work with people of different personality types in the future.","My behavior was mostly the same, but I contributed more when I was not working with people of D personality type.","5","Excellent","4","Above Average"
"DISC Activity Questionaire-261-02","11/26/2013 08:35 AM","D","D","C","D","C","When we were in assorted groups it was hard to get ideas out of people. You could tell some people had ideas but just didn't want to say them because they were afraid people would think their stupid.","the same, more ideas were offered","During team projects I'll assure everyone we are in a judgement free zone so hopefully more ideas are tossed around.","I don't know that I did","3","Average","4","Above Average"
"DISC Activity Questionaire-261-02","11/26/2013 08:51 AM","C","C","I","I","S","One of the major difficulties was trying to get our group to figure out what the first part of the activity was asking of us to do.","Same","The activity will help me work with others that have different DISC types. It will help me determine how to approach someone with a different type.","Personally, when we didn't have a person with a D, I stepped up to help move the group along.","4","Above Average","4","Above Average"
"DISC Activity Questionaire-sam","11/26/2013 11:41 AM","D","I","D","I","D","Some of the D guys were real D's","Different","It helps me understand the import ants of personality and team diversity.","I tended to be more passive for both teams.","5","Excellent","3","Average"
"DISC Activity Questionaire-sam","11/26/2013 11:41 AM","C","C","I","C","D","Working with people of different types","Same","i will stick with only people from my personality type.","I didn't.","4","Above Average","1","Extremely Poor"
"DISC Activity Questionaire-sam","11/26/2013 11:42 AM","C","C","S","C","S","Not being able to come up with ideas","Same","Will help us to learn to deal and work with people who may think differently from how we do.","Made sure to listen to others' ideas and conformed when necessary.","4","Above Average","4","Above Average"
"DISC Activity Questionaire-sam","11/26/2013 11:42 AM","C","S","C","D","I","Dealing with the same personality type is tough","different","Do not pick the same personality type as you. The amount of ideas to be expressed will be limited","I broke out of my shell when not with the same personality.","3","Average","3","Average"
"DISC Activity Questionaire-sam","11/26/2013 11:42 AM","C","I","D","I","C","Mutual Agreement<br>Communication","Different","I'm not too sure, it was interesting to note that it was harder to work with those of the same personality type and easier to work with those of different assessments.","To be honest, I didn't. I behaved as if I would normally.","5","Excellent","4","Above Average"
"DISC Activity Questionaire-sam","11/26/2013 11:42 AM","D","C","D","C","I","Just one person who was rather rigid about their interpretation of the activity","It was about the same honestly.  Both groups felt a time constraint that likely messed up how it would have felt and so the experience in each group was the same.","Always be nice and polite like I usually am","I had to step up more than I usually do in the second group.","5","Excellent","5","Excellent"
"DISC Activity Questionaire-sam","11/26/2013 11:42 AM","S","S","D","S","D","The second group we just joked around.","Working with the similar personality type was easier","Being aware of different personalities and it's effect on group dynamics","There were more dominant personalities so there were different people running the show.","4","Above Average","2","Below Average"
"DISC Activity Questionaire-sam","11/26/2013 11:43 AM","C","C","D","C","D","No focus in the mixed group.  Didn't even finish.","Same","Try to work with creative types only  ?","Tried to get everyone to actually do something in the mixed group.  Worked with the C group","2","Below Average","2","Below Average"
