Files,LevenDistance
mysql-5.6.11.zlib.trees..send_tree.txt-mysql-5.6.11.zlib.trees..compress_block.txt,38
mysql-5.6.11.zlib.trees..foo3.txt-mysql-5.6.11.zlib.inffast..foo2.txt,17
mysql-5.6.11.zlib.gzio..foo3.txt-mysql-5.6.11.zlib.inffast..foo2.txt,31
mysql-5.6.11.zlib.gzio..foo3.txt-mysql-5.6.11.zlib.trees..foo3.txt,18
mysql-5.6.11.dbug.example1..foo.txt-mysql-5.6.11.zlib.inffast..foo2.txt,23
mysql-5.6.11.dbug.example1..foo.txt-mysql-5.6.11.zlib.trees..foo3.txt,24
mysql-5.6.11.dbug.example1..foo.txt-mysql-5.6.11.zlib.gzio..foo3.txt,37
mysql-5.6.11.zlib.infback..foo2.txt-mysql-5.6.11.zlib.inffast..foo2.txt,1
mysql-5.6.11.zlib.infback..foo2.txt-mysql-5.6.11.zlib.trees..foo3.txt,17
mysql-5.6.11.zlib.infback..foo2.txt-mysql-5.6.11.zlib.gzio..foo3.txt,31
mysql-5.6.11.zlib.infback..foo2.txt-mysql-5.6.11.dbug.example1..foo.txt,23
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_gstopwatch..hrt_gsw_rtmicros.txt-mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_gstopwatch..hrt_gsw_top.txt,26
mysql-5.6.11.zlib.trees..foo.txt-mysql-5.6.11.zlib.inffast..foo2.txt,21
mysql-5.6.11.zlib.trees..foo.txt-mysql-5.6.11.zlib.trees..foo3.txt,20
mysql-5.6.11.zlib.trees..foo.txt-mysql-5.6.11.zlib.gzio..foo3.txt,35
mysql-5.6.11.zlib.trees..foo.txt-mysql-5.6.11.dbug.example1..foo.txt,5
mysql-5.6.11.zlib.trees..foo.txt-mysql-5.6.11.zlib.infback..foo2.txt,21
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo.txt-mysql-5.6.11.zlib.gzio..foo3.txt,37
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo.txt-mysql-5.6.11.dbug.example1..foo.txt,36
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo.txt-mysql-5.6.11.zlib.trees..foo.txt,37
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo2.txt-mysql-5.6.11.zlib.inffast..foo2.txt,32
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo2.txt-mysql-5.6.11.zlib.gzio..foo3.txt,29
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo2.txt-mysql-5.6.11.zlib.infback..foo2.txt,32
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo2.txt-mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo.txt,12
mysql-5.6.11.dbug.example3..foo2.txt-mysql-5.6.11.zlib.inffast..foo2.txt,4
mysql-5.6.11.dbug.example3..foo2.txt-mysql-5.6.11.zlib.trees..foo3.txt,19
mysql-5.6.11.dbug.example3..foo2.txt-mysql-5.6.11.zlib.gzio..foo3.txt,33
mysql-5.6.11.dbug.example3..foo2.txt-mysql-5.6.11.dbug.example1..foo.txt,19
mysql-5.6.11.dbug.example3..foo2.txt-mysql-5.6.11.zlib.infback..foo2.txt,4
mysql-5.6.11.dbug.example3..foo2.txt-mysql-5.6.11.zlib.trees..foo.txt,23
mysql-5.6.11.dbug.example3..foo2.txt-mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_stopwatch_test..foo2.txt,32
mysql-5.6.11.zlib.deflate..deflateinit_.txt-mysql-5.6.11.zlib.compress..compress.txt,39
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_gstopwatch..hrt_gsw_ctmicros.txt-mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_gstopwatch..hrt_gsw_top.txt,26
mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_gstopwatch..hrt_gsw_ctmicros.txt-mysql-5.6.11.storage.ndb.test.crund.martins_little_helpers.src.utils.hrt_gstopwatch..hrt_gsw_rtmicros.txt,0
mysql-5.6.11.dbug.example3..foo3.txt-mysql-5.6.11.zlib.inffast..foo2.txt,19
mysql-5.6.11.dbug.example3..foo3.txt-mysql-5.6.11.zlib.trees..foo3.txt,4
mysql-5.6.11.dbug.example3..foo3.txt-mysql-5.6.11.zlib.gzio..foo3.txt,20
mysql-5.6.11.dbug.example3..foo3.txt-mysql-5.6.11.dbug.example1..foo.txt,20
mysql-5.6.11.dbug.example3..foo3.txt-mysql-5.6.11.zlib.infback..foo2.txt,19
mysql-5.6.11.dbug.example3..foo3.txt-mysql-5.6.11.zlib.trees..foo.txt,24
mysql-5.6.11.dbug.example3..foo3.txt-mysql-5.6.11.dbug.example3..foo2.txt,14
mysql-5.6.11.zlib.trees.._tr_align.txt-mysql-5.6.11.zlib.trees..send_all_trees.txt,21
mysql-5.6.11.zlib.inftrees..sumprod3d.txt-mysql-5.6.11.zlib.adler32..type1a_krawitz.txt,38
mysql-5.6.11.zlib.inftrees..sumprod3d.txt-mysql-5.6.11.storage.ndb.src.kernel.blocks.dbtup.test_dynbm..sumprod4b.txt,14
mysql-5.6.11.zlib.deflate..type3a_krawitz.txt-mysql-5.6.11.zlib.adler32..type1a_krawitz.txt,27
mysql-5.6.11.cmake.stack_direction..foo2.txt-mysql-5.6.11.zlib.inffast..foo2.txt,7
mysql-5.6.11.cmake.stack_direction..foo2.txt-mysql-5.6.11.zlib.trees..foo3.txt,21
mysql-5.6.11.cmake.stack_direction..foo2.txt-mysql-5.6.11.zlib.gzio..foo3.txt,35
mysql-5.6.11.cmake.stack_direction..foo2.txt-mysql-5.6.11.dbug.example1..foo.txt,25
mysql-5.6.11.cmake.stack_direction..foo2.txt-mysql-5.6.11.zlib.infback..foo2.txt,7
mysql-5.6.11.cmake.stack_direction..foo2.txt-mysql-5.6.11.zlib.trees..foo.txt,24
