APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
ef2403a9-c927-4ef3-91e0-73a7cf885ddf,2,Education,4,100000,1298,12,131374,,,,,8,3,,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
ae0b35cd-fe54-4e0f-8d26-794042478502,2,Books & Reference,4.2,1000,729,9,97725,,,,1,3,2,,0,1,1,1,0,0,0,0,0,0,5,4,0,1,0,5,0,0,0,2,100
d5da6026-406a-46fd-ae7f-4032df2de49f,2,Personalization,4.4,100000,321,6,57124,363,73,31,,3,2,4,0,1,1,1,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,92
08b9577f-509b-4903-83ea-09b5ca797359,2,Comics,4.8,5000,61,9,3595,58,44,20,,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,51.11111111
17f26439-0a7a-47cb-8d95-923b611adda8,2,Shopping,3.8,10000,284,6,19144,,,,1,,2,,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,2,50
03e36f01-7d40-4a84-91ed-025c4345cecb,2,Personalization,4.5,1000,1882,9,272115,3346,1907,494,,3,2,6,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,92
e51804e5-4a88-4465-8f26-4123b41ee5f5,2,Books & Reference,4.8,1000,298,6,33191,381,70,29,,6,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
e12d3831-9a69-4ae9-9c42-63a84bd345a5,2,Books & Reference,3.8,1000,270,3,27068,392,141,56,4,1,4,3,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,0,51.11111111
aa5e8701-ba4a-41a2-9164-e9ec5d8e26b9,2,Communication,4.2,1000,6,3,453,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832da79b-d6fa-468f-b257-af910151244f,2,News & Magazines,4,50000,2478,9,289939,,,,,3,2,,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
65b23266-05f6-42d2-8d18-f2a3b56612de,2,Media & Video,4.4,10000000,7,6,132,1009,397,161,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df1dced5-fe87-4bc3-9e99-a140be2f7930,2,Sports,3.4,10000,380,3,46820,680,210,93,,4,2,,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,3,0,0,0,2,50
9d0c0e11-f815-40e3-aa73-fe868880078c,2,Shopping,4.4,10000,1990,9,197620,2579,2011,280,4,1,5,,0,0,1,1,0,0,0,0,0,0,2,4,1,1,1,6,0,0,1,0,51.11111111
18b65bcf-3c09-4e5b-83cd-2da4c01a73ee,2,Social,4.2,5000,57,6,3805,,,,1,,2,,0,0,0,1,0,0,0,0,0,0,2,4,0,1,0,2,0,0,1,0,51.11111111
0c1767c6-1142-4b90-b204-aa81d8b319bb,2,Tools,4,100000,18,3,1039,21,8,4,2,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1f3678e9-5fc2-4806-873f-21f39a0baea4,2,Personalization,4.4,1000,5,3,297,1,0,0,15,1,2,6,1,1,0,1,0,0,0,0,0,0,3,9,0,2,0,13,1,0,0,0,51.25
56882440-3bed-4a55-8671-d26ca94cb31e,2,Puzzle,4.2,10000,1404,18,155831,,,,,5,2,,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
1a372724-625f-432b-bc48-f27c74f36f91,2,Music,4.3,100000,1107,9,113999,1845,832,301,,6,3,,1,0,1,1,0,0,0,0,0,0,2,3,0,1,0,3,0,0,0,2,50
6eb15f6c-2d5a-4a66-ad0f-379268c051bd,2,Books & Reference,4.2,100000,303,9,27734,475,190,56,1,1,2,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
ae2c2448-ec84-4163-8121-369b30cf479e,2,Entertainment,3,10000,1127,6,129088,,,,1,3,2,,0,0,0,1,0,0,0,0,0,0,3,3,0,1,0,4,0,0,1,0,51.11111111
451e2636-1b41-414a-8f38-91678f75ed44,2,Tools,3.6,5000,847,12,89917,,,,,1,2,,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,2,0,0,1,0,51.11111111
65abfaf1-630c-42d7-b27d-a2a9ffcb8e0a,2,Medical,3.7,10000,1106,12,136537,,,,,3,2,,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
7b37b9b4-5376-4c8f-b96f-eff3e08bbe1f,2,Casual,4.2,1000,693,5114,94230,978,299,114,,2,2,5,0,0,1,1,0,0,0,0,0,0,3,3,0,1,0,5,0,0,0,2,50
b6587e14-620d-4bcf-9bf7-c777a91c04d0,2,Tools,3.3,100000,2152,9,188415,2320,639,228,12,3,5,,0,1,1,1,0,0,0,0,0,0,10,7,3,2,4,23,0,1,1,1,100
78057a3a-9f10-4bdf-af37-d5aa45c4e8d4,2,Casual,4,50000,1004,12,95600,1448,527,192,,7,3,2,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
ffdf7f4b-5d8e-4436-bc3f-2484e49f0a81,2,Travel & Local,3,1000,109,3,11728,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
6d1619f7-12d7-4adb-b5bf-ba12a9fa63dc,2,Entertainment,4.6,10000000,3622,12,414871,6569,3732,889,1,3,5,30,1,1,1,1,0,0,0,0,0,0,3,4,0,1,0,5,0,0,0,1,100
c14922e9-446a-4719-b160-c44451d1931f,2,Communication,4.1,10000,323,42,27739,383,93,39,2,,8,17,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0
06041f8c-4c4b-41a9-9bce-5cb73936d864,2,Entertainment,4,10000,110,6,11570,127,32,15,,,2,15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,51.11111111
77ee4318-719f-4fdf-8e8b-261c37fcc520,2,Casual,3.7,500000,1205,9,114585,1705,688,206,,9,2,,0,1,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,92
667e7ba5-3962-49c7-8531-fe506cdfca53,2,Trivia,4.1,50000,398,6,44735,,,,,2,2,,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,92
83553fc5-fff3-4880-981f-8ac1d8317bdd,2,Puzzle,4,50000,3957,6,469829,8739,5762,1123,,5,2,5,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
8ed7a51a-6b39-4430-bf69-e90ee6d28366,2,Lifestyle,4.8,5000,7,3,161,670,224,88,,,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9ba3924-392f-4165-9db9-7865803c9a5a,2,Travel & Local,4.2,100000,1449,9,164932,,,,,1,2,,0,0,1,1,0,0,0,0,0,0,3,4,0,1,0,5,0,0,0,2,50
101fd8da-a7f4-4b5a-8b22-577ac2f0a18d,2,Productivity,4.5,1000,23,3337,1997,,,,13,,,,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,3,1,0,3,0,52.63157895
