Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
0,Tools,3.6,50000,96,9,7148,86,26,11,0,0,2,1610,1,0,1,0,1,0,0,0,0,0,0,4,8,0,1,0,7,0,0,0,0,51.11111111
0,Tools,3.9,50000,114,3663,11101,117,13,6,0,0,2,2,21,1,0,1,1,0,0,0,0,0,0,3,7,0,1,0,6,0,0,0,0,50
0,Entertainment,2.9,10000,78,3,8600,97,4,2,0,1,2,1,13360,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
0,News & Magazines,2.7,1000,190,6,19861,287,83,33,0,1,2,4,825,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
0,Productivity,2.5,1000,123,3,12489,184,47,21,0,0,2,0,69704,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
0,Health & Fitness,2.8,10000,9,3,445,6,0,0,0,0,2,0,71155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Casual,2.7,1000,70,5111,6431,63,4,2,0,0,2,7,29008,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
0,News & Magazines,2.9,10000,1,3,48,1,0,0,0,0,2,2,30766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Sports,2.7,1000,89,6,8233,136,44,19,2,0,2,2,19937,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,1,0,51.11111111
0,News & Magazines,2.9,100000,34,3,3371,72,25,10,0,0,2,18,31780,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
0,Business,2.9,1000,233,3660,28039,385,101,47,1,5,2,5,30266,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,4,0,0,0,0,51.11111111
0,Shopping,1.4,5000,11,3,387,6,0,0,0,0,2,0,133364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
0,Tools,2.5,10000,50,6,4597,72,55,12,0,0,2,14,11635,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
