Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,JLINT_LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Tools,3.6,50000,96,9,0.0006995,86,26,11,0,0,2,1610,1,0,1,0,1,0,0,0,0,0,0,4,8,0,1,0,7,0,0,0,0,51.11111111
2,Casual,3,1000000,1648,12,0.0036763,2134,979,352,0,5,2,3,13,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
2,Tools,3.9,50000,114,3663,0.0030628,117,13,6,0,0,2,2,21,1,0,1,1,0,0,0,0,0,0,3,7,0,1,0,6,0,0,0,0,50
2,Tools,4.3,10000000,2179,6,0.0021748,2836,1103,295,0,7,3,0,134577,1,1,1,1,0,0,0,0,0,0,1,4,0,1,0,3,0,0,0,0,92
2,Entertainment,4.3,10000,1866,12,0.0055194,2919,1326,409,0,0,2,2,4370,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,51.11111111
2,Travel & Local,4.1,10000,463,6,0.0027478,732,207,89,1,6,2,4,30784,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,2,100
2,Books & Reference,4.2,100000,303,9,0.0035696,475,190,56,1,1,2,7,7936,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Personalization,4.5,1000,9,3,0,1047,427,184,0,2,2,16,5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tools,4.4,50000000,4722,6,0.002931,6323,2832,702,5,3,4,0,132357,1,1,1,1,0,0,0,0,0,0,5,5,0,1,0,7,0,0,2,0,88
2,Personalization,3.9,500000,81,6,0.0043522,122,76,33,0,2,1,5,6048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Puzzle,4,50000,27,3,0.001712,75,29,11,0,0,2,0,137824,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,Social,4.8,1000,944,6,0.0024604,1172,506,179,0,4,18,14,30499,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,51.11111111
2,Communication,4.5,10000,70,3663,0.0045232,62,0,0,0,1,2,9,2032,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
2,Travel & Local,5,1000,1191,15,0.0028714,2561,928,348,1,6,2,2,20047,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,2,50
2,Educational,3.6,5000,11,3,0.0036802,36,13,6,0,0,2,14,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Education,3.9,100000,1137,12,0.0031867,1582,721,286,0,10,2,23,27354,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Entertainment,4.7,5000,1206,15,0.0028057,2503,910,341,0,6,2,0,134039,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
