APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
10088ba0-d52c-49d9-9ef2-65254fe0b780,1,Entertainment,2.9,10000,78,3,8600,97,4,2,,1,2,1,13360,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
d7bba5c5-cb38-4d73-a9ee-f7992c8d693c,1,News & Magazines,2.7,1000,190,6,19861,287,83,33,,1,2,4,825,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
8b1c0705-cb4d-4a94-bcf6-c17791218b64,1,Business,2.6,1000,1284,6,176266,3854,2509,449,3,2,5,1,22555,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,5,0,0,0,2,50
80db236b-81e8-43b8-b318-463cfdde4b6b,1,Productivity,2.5,1000,123,3,12489,184,47,21,,,2,,69704,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
4bed5b85-1b5c-44a1-a760-659f60c3a77c,1,Health & Fitness,2.8,10000,9,3,445,6,0,0,,,2,,71155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7a972a2-ef02-4dba-b4b5-6a2591a85af3,1,Casual,2.7,1000,70,5111,6431,63,4,2,,,2,7,29008,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
4acc514e-30a2-4e66-ba7e-a9161c7b4cda,1,News & Magazines,2.9,10000,1,3,48,1,0,0,,,2,2,30766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91d35aa3-17b6-467e-ad69-bcc237c09e87,1,Sports,2.7,1000,89,6,8233,136,44,19,2,,2,2,19937,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,1,0,51.11111111
9cda583a-13c4-4c4c-8819-3258059827b3,1,Media & Video,2.9,5000,2833,9,338045,5522,3988,801,2,2,2,10,30481,0,1,1,1,0,0,0,0,0,0,1,5,0,1,0,3,0,0,0,0,92
c6aaeca4-4410-4983-b6da-1e5cf16bfefc,1,News & Magazines,2.9,100000,34,3,3371,72,25,10,,,2,18,31780,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
94caa339-61db-4e68-b76c-955695ee8d15,1,Business,2.9,1000,233,3660,28039,385,101,47,1,5,2,5,30266,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,4,0,0,0,0,51.11111111
cf9876fb-b9ac-432a-a30d-8f3121d2d32a,1,Shopping,1.4,5000,11,3,387,6,0,0,,,2,,133364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2b550f8e-71dd-46ff-985b-71492e7d3ab2,1,Transportation,2.9,5000000,2430,18,269241,4387,1930,550,5,3,5,2,20866,1,0,1,1,0,0,0,0,0,0,3,7,0,1,0,9,1,0,1,0,51.76470588
c7144b49-bfbd-45b4-999e-fc36d8d2c60d,1,Tools,2.5,10000,50,6,4597,72,55,12,,,2,14,11635,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
