Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount
2,Lifestyle,3.1,10000,51,67,6,7874,119,31,14,,,,
2,Finance,4.8,1000,50,503,6,36719,,,,1,,3,
2,Social,4.5,10000,100,1678,16,217579,,,,5,1,5,
2,Books & Reference,4.6,10000,92,822,9,110617,,,,,1,2,
2,Travel & Local,4.7,1000,100,687,6,83571,898,324,135,8,1,2,5
2,Entertainment,3.8,500000,51,100,5111,11548,115,12,6,,2,2,5
2,Education,4,10000,,15,3,922,17,10,5,4,,2,4
2,Entertainment,3.4,10000,0,11,3,316,1,0,0,,,2,
2,Communication,4.5,50000,92,474,6,65268,419,179,56,1,1,,
2,Personalization,4.2,1000,92,1882,9,272116,3346,1898,495,,3,2,6
2,Health & Fitness,3.5,10000,51,62,3660,6891,84,6,3,1,,3,7
2,Medical,3.6,10000,51,810,6,150061,,,,,5,2,
2,Casual,3.5,10000,50,187,6,23980,,,,3,4,2,
2,Lifestyle,4.5,50000,50,1245,5117,120607,1533,590,215,3,2,5,2
2,Finance,4,5000,51,315,6,28053,410,209,88,1,1,,
2,Education,4.3,50000,100,2741,18,271419,,,,,2,2,
2,Entertainment,4.2,10000,51,820,9,92676,1115,396,153,1,2,2,
2,Personalization,4.1,1000,0,12,6,401,6,0,0,,,2,5
2,Health & Fitness,3.5,5000,92,3214,6,361724,6349,4781,740,,2,2,
2,Music & Audio,4.4,1000,100,1016,6,133576,1541,767,236,,4,2,4
2,Lifestyle,4.8,100000,100,3916,12,437049,7280,4569,983,1,2,5,1
2,Comics,4.2,5000,51,61,9,3595,58,44,20,,2,5,5
2,Shopping,4.6,500000,51,2932,12,342061,,,,2,2,3,
2,Books & Reference,3.1,10000,50,5824,24,660123,,,,,6,6,
2,Finance,4.2,50000,51,134,3,12996,187,51,23,,,2,8
2,Casual,4.3,100000,92,3196,15,353859,6463,4634,775,,2,2,
2,Role Playing,4,500000,51,1330,10,121565,2084,827,318,,1,2,12
2,Communication,4.1,10000000,92,663,6,80529,525,127,55,,8,2,
2,Adventure,4.4,10000000,92,5005,18,545058,,,,1,3,5,
2,Casual,3.7,100000,92,1557,9,153952,,,,,11,2,
2,Casual,3.6,10000,0,24,3,5955,,,,,,2,
2,Education,3.7,10000,92,1142,12,136159,1798,697,252,3,1,2,14
2,Personalization,4.4,10000,0,158,6,15316,195,40,18,,,,
2,Music & Audio,4.3,50000,92,3796,24,423968,6870,4370,923,,2,2,
2,Personalization,4.6,1000,92,1882,9,272116,3346,1913,495,,3,2,6
2,Education,4.3,10000,50,321,6,33448,427,206,66,4,2,4,5
2,Puzzle,4.4,1000000,51,791,15796,126766,3317,2515,299,5,5,2,2
2,Business,3.9,1000000,0,22,3,903,390,115,47,,,,4
2,Casino,4.4,100000,50,2484,6,208301,2886,1241,434,,5,2,9
2,Communication,4.5,1000,50,163,3,16599,246,24,11,1,1,2,
2,Books & Reference,4.6,1000000,,250,6,71435,4121,1888,459,,,,
2,Shopping,4.5,1000,50,1977,27,277652,4256,3118,531,6,1,2,10
2,Education,4.4,1000000,92,4797,277706,397427,6569,2748,727,2,3,5,3
2,Arcade,4.1,1000000,50,1068,9,98207,1214,466,175,1,6,2,
2,Photography,4.1,1000000,92,721,6,75560,834,101,44,1,4,2,2
2,Productivity,4.3,10000,51,28,6,2633,37,16,3,,1,,
2,Tools,4.4,10000000,100,4543,569084,547757,7785,3658,1167,15,1,5,
2,Education,3.7,10000,0,42,3,1270,7,0,0,,1,2,1
2,Entertainment,3.9,10000,92,933,3,120245,1197,539,189,2,3,5,18
2,Personalization,4.4,50000,51,59,6,4144,77,24,9,,,3,5
2,Trivia,4,10000,100,954,6,116007,1307,516,199,1,2,5,9
2,Media & Video,4.1,50000,50,699,39,69095,1108,435,182,3,1,5,1
2,Entertainment,3.5,1000,92,1160,6,92659,1607,665,151,,4,3,3
2,Racing,4.3,1000000,92,745,9,76653,947,342,140,,8,,
2,Action,4.5,10000000,,2482,9,204927,2613,1081,409,2,1,,
2,Casual,4.1,1000000,92,1956,12,203486,2810,1250,442,2,5,3,2
2,Entertainment,3.7,100000,100,2675,15,279475,4287,1682,582,3,6,2,3
2,Lifestyle,5,1000,92,2151,12,259623,4560,3240,516,,3,2,1
2,Arcade,4,100000,51,167,9,72979,270,123,34,,1,2,20
2,Education,4.2,10000,51,61,3679,6116,,,,1,,2,
2,Tools,4.4,10000000,,1075,12,145174,176,81,26,,1,,
2,Education,4,10000,0,47,6,4090,95,25,9,,,2,1
2,Role Playing,4.5,1000000,51,479,12,100941,819,378,127,,7,,
2,Tools,4.4,5000,0,191,6,21724,,,,,,2,
2,Entertainment,3.7,10000,51,181,6,16084,,,,1,2,2,
2,Tools,4.1,10000,0,81,4958,13119,78,6,3,,2,2,14
2,Tools,3.6,100000,51,570,6,52906,944,212,86,2,5,2,
2,Travel & Local,3.1,10000,50,1457,103,157568,1935,696,293,3,6,5,2
2,Tools,4,1000,52,836,12,68397,,,,4,2,3,
2,Communication,3.6,10000,50,224,6,22149,317,73,32,10,1,2,
2,Productivity,3.5,1000,51,116,6,12297,185,51,23,1,,2,3
2,Personalization,3.9,1000000,51,328,6,29202,,,,1,1,2,
2,Casino,3.7,5000000,92,2918,15,315824,7449,5734,629,2,3,5,
2,Music & Audio,3.7,1000,51,104,6,9824,131,42,18,3,1,4,
2,Arcade,4.4,1000000,51,1646,12,191872,3903,2655,476,1,1,2,8
2,Communication,4,50000,51,36,3,3689,46,13,6,,,3,
2,Comics,4.7,10000,51,52,6,4854,67,11,5,,,5,14
2,Personalization,4.4,10000,51,1697,3,192878,3234,2352,358,2,1,2,12
2,Board,4.1,5000000,92,1919,6,184628,2138,731,237,,3,3,
2,Puzzle,3.9,10000,92,1068,9,123802,,,,,2,2,
2,Books & Reference,4.6,10000,51,583,9,53313,873,464,159,,1,,
2,Libraries & Demo,4.2,1000,0,7,3,168,718,360,147,,,,
2,Entertainment,4.3,1000,51,446,9,54491,,,,4,2,2,
2,Education,4,10000,51,1309,15,291712,3764,1752,409,,10,2,2
2,Entertainment,3.7,10000,51,627,12,51530,931,206,85,4,,2,1
2,Puzzle,4.1,100000,51,668,6,57629,851,321,132,,2,2,8
2,Personalization,4.2,1000000,50,683,12,48165,850,173,63,8,,3,2
2,Communication,4.1,10000,0,323,42,27739,383,93,39,2,,8,7
2,Business,4.1,50000,52,1980,18,199365,,,,7,3,5,
2,Puzzle,5,1000,50,423,5111,39292,501,133,60,,1,2,6
2,Transportation,4.2,10000,50,221,5038,26884,,,,,,2,
2,Music & Audio,4.2,1000,0,6,3,855,,,,,1,,
