RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
124866,50,26,4,6,5100,0.07843,0.11765,1,1,5,5,5
4205,92,601,153,9,81175,0.18848,0.01109,0,1,3,0,3
175641,51,1892,506,9,188076,0.26904,0.00479,0,7,5,0,0
170092,50,1129,560,5112,105938,0.52861,4.82546,0,5,6,0,1
145795,92,4919,1095,21,573817,0.19083,0.00366,3,4,16,5,4
48639,50,3163,990,24,333697,0.29668,0.00719,1,4,13,13,3
150645,51,178,66,6,16129,0.4092,0.0372,0,1,3,0,3
163359,92,5662,1225,19,574527,0.21322,0.00331,1,5,5,5,1
18835,51,104,39,6,10147,0.38435,0.05913,0,1,2,0,2
11651,51,78,35,6,7031,0.4978,0.08534,0,2,2,0,1
63932,51,767,184,9,90862,0.2025,0.00991,0,2,4,0,2
91646,51,93,21,6,10025,0.20948,0.05985,0,1,5,0,5
150706,100,3752,616,15,405112,0.15206,0.0037,4,2,19,4,9
9753,50,1712,772,9,295549,0.26121,0.00305,2,1,10,5,10
69917,51,142,63,6,11853,0.53151,0.05062,0,1,3,0,3
145971,51,3862,907,25,392101,0.23132,0.00638,1,5,3,3,0
121079,50,589,101,9,49088,0.20575,0.01833,2,2,18,9,9
149853,92,376,168,6,54055,0.31079,0.0111,0,5,5,0,1
17948,50,889,309,3,124803,0.24759,0.0024,0,1,13,0,13
29540,100,1581,412,12,187052,0.22026,0.00642,0,6,8,0,1
146146,51,898,199,161796,94347,0.21092,171.49035,0,7,6,0,0
72115,100,2100,473,6,263421,0.17956,0.00228,1,5,9,9,1
66598,92,506,652,132241,47188,1.38171,280.24286,1,9,7,7,0
103139,50,2395,535,12,253765,0.21082,0.00473,11,2,27,2,13
142754,51,69,40,3,6694,0.59755,0.04482,0,1,2,0,2
75593,51,619,208,12,64095,0.32452,0.01872,0,6,4,0,0
11341,100,464,212,9,77202,0.2746,0.01166,1,6,5,5,0
12164,50,1010,226,9,102393,0.22072,0.00879,0,0,7,0,0
49994,92,3259,743,12,309038,0.24042,0.00388,0,2,6,0,3
122696,92,4258,1181,15,468155,0.25227,0.0032,0,8,3,0,0
161903,92,1659,544,9,234339,0.23214,0.00384,1,5,5,5,1
5893,51,110,29,5098,12259,0.23656,41.58577,0,1,5,0,5
155941,0,185,35,3,12521,0.27953,0.02396,5,0,9,1,0
158742,51,258,81,6,24115,0.33589,0.02488,0,3,3,0,1
11431,51,97,26,3682,9408,0.27636,39.1369,2,0,4,2,0
