RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,CloneFragement,CloneGroup,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
1,51,96,5,9,7148,26,11,0.000699496,0.001259093,0,0,5,0,0
3,0,30,10,3,5210,15,7,0.001919386,0.000575816,0,1,1,0,1
8,92,1560,481,6,146028,412,162,0.003293889,4.1088E-05,0,3,7,0,2
9,51,359,99,6,31522,71,26,0.003140664,0.000190343,0,0,3,0,0
11,92,584,254,9,79861,336,121,0.003180526,0.000112696,0,3,2,0,0
12,92,1375,503,6,159084,647,261,0.003161852,3.77159E-05,3,6,8,2,1
13,51,1648,494,12,134373,979,352,0.003676334,8.93037E-05,0,5,5,0,1
15,92,1770,714,3,158511,430,169,0.004504419,1.89261E-05,0,7,3,0,0
18,92,1586,639,18,226328,667,262,0.002823336,7.95306E-05,1,3,8,8,2
21,51,114,34,3663,11101,13,6,0.003062787,0.329970273,0,0,2,0,0
25,92,677,195,6,96616,340,128,0.002018299,6.21015E-05,1,1,3,3,3
27,51,102,37,3592,9391,21,10,0.003939942,0.382493877,1,2,3,3,1
30,50,1096,294,3,117407,554,160,0.00250411,2.55521E-05,0,1,8,0,8
34,51,78,26,5095,10641,0,0,0.002443379,0.478808383,0,0,2,0,0
35,92,311,128,3,58022,88,38,0.00220606,5.17045E-05,1,2,3,3,1
44,95,6842,1978,15,573957,2539,928,0.003446251,2.61344E-05,12,0,21,1,0
47,92,3998,907,12,444207,4320,956,0.002041841,2.70144E-05,0,9,3,0,0
49,92,3934,1281,9398,438287,3833,1306,0.002922742,0.021442571,1,6,11,11,1
50,51,1069,393,6,108101,393,153,0.003635489,5.55036E-05,3,5,8,2,1
51,92,4007,1037,9,402286,2650,907,0.002577768,2.23721E-05,3,3,13,4,4
55,50,1578,480,6,183921,1063,363,0.002609816,3.26227E-05,0,2,13,0,6
56,50,4241,1193,12,700198,18441,898,0.001703804,1.7138E-05,11,0,41,3,0
63,100,1204,387,12,145769,656,228,0.002654885,8.2322E-05,4,2,26,6,13
66,51,166,59,6,16239,75,33,0.003633229,0.000369481,0,1,3,0,3
67,51,1664,463,15,144594,749,198,0.003202069,0.000103739,0,1,8,0,8
68,50,3447,1270,6,337965,1759,608,0.003757786,1.77533E-05,0,2,9,0,4
70,51,151,13,3,14609,87,31,0.000889862,0.000205353,0,0,2,0,0
71,92,683,176,12,88756,449,142,0.001982965,0.000135202,3,1,5,1,5
73,92,2544,487,6,294549,3654,682,0.001653375,2.03701E-05,3,1,10,3,10
89,51,170,56,6,25392,30,13,0.002205419,0.000236295,1,5,6,6,1
90,92,798,217,9,109557,445,177,0.001980704,8.2149E-05,1,2,5,5,2
92,92,460,188,6,49969,65,30,0.003762333,0.000120074,3,1,12,4,12
95,50,220,111,3,27710,78,31,0.004005774,0.000108264,2,1,10,5,10
96,50,2177,482,9,184657,1256,474,0.002610245,4.8739E-05,0,4,4,0,1
97,100,1531,432,9,201542,837,335,0.002143474,4.46557E-05,3,1,11,3,11
98,92,2314,1009,15,321908,2431,542,0.003134436,4.65972E-05,0,3,5,0,1
99,92,2609,769,12,291317,1859,618,0.002639736,4.11922E-05,0,3,5,0,1
100,100,2145,477,10,261197,2906,529,0.001826208,3.82853E-05,1,3,12,12,4
102,0,39,12,3,2841,15,5,0.004223865,0.001055966,2,1,5,2,5
103,91,675,227,6,86237,225,93,0.002632281,6.95757E-05,8,1,18,2,18
104,50,602,72,6,46657,294,114,0.001543177,0.000128598,1,3,2,2,0
105,92,2229,459,9,262445,3297,555,0.001748938,3.42929E-05,2,2,6,3,3
106,51,1390,348,9,135766,598,223,0.002563234,6.62905E-05,1,3,10,10,3
107,100,2495,614,9,304216,3183,641,0.002018303,2.95842E-05,1,3,11,11,3
108,51,546,143,6,52763,467,119,0.002710233,0.000113716,1,3,4,4,1
109,51,333,135,3,42537,126,52,0.003173708,7.05268E-05,0,1,7,0,7
110,92,650,188,6,92308,340,139,0.00203666,6.49998E-05,0,2,5,0,2
111,51,349,139,3,43625,128,53,0.003186246,6.87679E-05,0,1,7,0,7
112,51,835,476,6,160288,454,173,0.002969655,3.74326E-05,0,3,10,0,3
113,51,333,135,3,42537,126,52,0.003173708,7.05268E-05,0,1,7,0,7
114,92,1351,391,9,158075,733,290,0.002473509,5.6935E-05,1,3,7,7,2
115,92,196,87,3,28416,19,9,0.003061655,0.000105574,0,1,3,0,3
116,92,1159,234,6,92560,669,152,0.00252809,6.48228E-05,0,4,6,0,1
117,50,1558,404,5795,157350,717,276,0.002567525,0.036828726,2,3,8,4,2
118,100,1042,283,18,130237,550,201,0.002172962,0.00013821,6,2,18,3,9
119,51,615,150,6,66115,572,164,0.002268774,9.0751E-05,0,7,4,0,0
121,100,3549,920,35606,294565,1321,407,0.00312325,0.120876547,2,6,12,6,2
123,92,321,132,6,57124,73,31,0.002310763,0.000105035,0,3,6,0,2
124,92,530,216,3,82665,180,76,0.002612956,3.62911E-05,0,6,2,0,0
125,0,359,71,9,36005,201,84,0.001971948,0.000249965,1,4,3,3,0
127,51,70,5,6,4892,14,7,0.001022077,0.001226492,0,1,2,0,2
128,51,546,143,6,52763,467,119,0.002710233,0.000113716,1,3,4,4,1
129,92,168,50,6,18841,86,40,0.002653787,0.000318454,0,9,2,0,0
130,92,558,247,3,86154,219,95,0.002866959,3.48214E-05,0,6,2,0,0
131,51,66,20,5111,7398,4,2,0.002703433,0.690862395,0,0,3,0,0
132,51,546,143,6,52763,466,119,0.002710233,0.000113716,1,3,4,4,1
133,51,70,5,6,4852,14,7,0.001030503,0.001236603,0,1,2,0,2
135,51,64,20,5111,6782,2,1,0.002948983,0.753612504,0,0,3,0,0
137,92,2280,409,6,271688,3426,594,0.001505403,2.20842E-05,0,2,2,0,1
139,51,536,145,6,52437,467,120,0.002765223,0.000114423,1,3,4,4,1
140,50,525,166,9,49935,232,100,0.003324322,0.000180234,6,3,9,1,3
143,50,465,113,9,42056,222,92,0.002686894,0.000214,3,0,6,2,0
144,92,649,188,6,92326,340,140,0.002036263,6.49871E-05,0,2,5,0,2
146,83,2251,621,6,239376,1666,650,0.002594245,2.50652E-05,13,2,28,2,14
147,51,57,27,6,9838,6,2,0.00274446,0.00060988,0,0,2,0,0
149,92,302,133,6,49396,51,22,0.002692526,0.000121467,0,6,3,0,0
151,100,876,249,6,142425,443,180,0.001748289,4.21274E-05,5,1,18,3,18
152,51,536,145,6,52437,466,120,0.002765223,0.000114423,1,3,4,4,1
153,51,615,150,6,66115,574,166,0.002268774,9.0751E-05,0,7,4,0,0
154,92,321,132,6,57162,74,31,0.002309226,0.000104965,0,3,6,0,2
155,51,1613,186,3,179996,2328,350,0.001033356,1.6667E-05,3,0,7,2,0
156,50,1972,427,6,233590,2895,561,0.001827989,2.5686E-05,54,0,77,1,0
157,51,439,115,9,45745,258,107,0.002513936,0.000196743,0,6,2,0,0
158,92,1263,399,41332,134408,620,238,0.002968573,0.307511458,1,3,7,7,2
159,51,874,182,6,77946,420,173,0.00233495,7.69764E-05,1,4,5,5,1
162,51,497,109,6,43675,330,73,0.002495707,0.000137378,1,2,4,4,2
163,51,546,143,6,52763,468,120,0.002710233,0.000113716,1,3,4,4,1
165,92,721,178,9,90471,487,173,0.001967481,9.94794E-05,0,3,5,0,1
166,51,536,145,6,52437,467,121,0.002765223,0.000114423,1,3,4,4,1
167,50,1450,402,182709,109337,574,176,0.003676706,1.671062861,3,1,10,3,10
169,100,1172,290,6,135143,644,258,0.002145875,4.43974E-05,1,4,14,14,3
171,92,242,84,9,45549,65,29,0.001844168,0.000197589,1,2,4,4,2
175,92,532,224,3,82894,190,84,0.002702246,3.61908E-05,0,6,2,0,0
176,92,1263,399,41332,134358,622,238,0.002969678,0.307625895,1,3,7,7,2
177,51,285,90,12,24358,84,32,0.003694885,0.000492651,0,1,3,0,3
178,92,321,132,6,57142,73,31,0.002310035,0.000105002,0,3,6,0,2
179,51,536,145,6,52437,467,120,0.002765223,0.000114423,1,3,4,4,1
180,100,212,81,6,40827,51,22,0.001983981,0.000146962,4,1,7,1,7
181,92,650,188,6,92354,335,137,0.002035645,6.49674E-05,0,2,5,0,2
184,100,1969,380,6,253109,3021,596,0.001501329,2.37052E-05,3,2,13,4,6
185,100,1172,290,6,135143,641,258,0.002145875,4.43974E-05,1,4,14,14,3
186,92,904,317,12,121254,504,194,0.002614347,9.89658E-05,3,2,9,3,4
187,0,85,24,3,5789,17,8,0.004145794,0.000518224,1,2,2,2,1
188,92,376,171,6,61379,189,82,0.002785969,9.77533E-05,1,2,3,3,1
189,51,454,104,9,41059,223,92,0.00253294,0.000219197,0,1,4,0,4
190,92,302,133,6,49396,51,22,0.002692526,0.000121467,0,6,3,0,0
191,51,692,182,6,79159,463,147,0.00229917,7.57968E-05,1,0,5,5,0
192,51,536,145,6,52437,467,121,0.002765223,0.000114423,1,3,4,4,1
193,51,536,145,6,52437,466,120,0.002765223,0.000114423,1,3,4,4,1
195,51,326,53,6,30326,218,91,0.001747675,0.00019785,2,3,7,3,2
196,92,1160,235,6,92640,669,152,0.002536701,6.47668E-05,0,4,5,0,1
197,51,536,145,6,52437,465,120,0.002765223,0.000114423,1,3,4,4,1
198,50,1938,602,12,162793,1083,346,0.003697948,7.37132E-05,1,1,7,7,7
199,51,1495,486,6,171914,1760,526,0.002826995,3.49012E-05,2,2,10,5,5
201,51,1697,212,3,192878,2353,362,0.00109914,1.55539E-05,2,1,7,3,7
204,51,362,152,12,34261,218,61,0.004436531,0.000350252,0,0,1,0,0
205,51,852,212,6,76111,266,94,0.002785406,7.88322E-05,1,1,6,6,6
207,51,536,145,6,52437,466,120,0.002765223,0.000114423,1,3,4,4,1
208,51,615,150,6,66141,570,163,0.002267882,9.07153E-05,0,7,4,0,0
212,92,321,132,6,57146,73,31,0.002309873,0.000104994,0,3,6,0,2
214,51,1355,433,18,121550,603,241,0.00356232,0.000148087,1,6,10,10,1
216,51,111,54,15,11354,49,21,0.004756033,0.00132112,0,2,2,0,1
218,92,358,116,6,36883,133,60,0.00314508,0.000162677,0,9,3,0,0
219,92,875,265,15,104544,327,113,0.002534818,0.00014348,1,2,6,6,3
221,92,1552,203,9,212579,2895,441,0.000954939,4.23372E-05,1,0,5,5,0
222,92,321,132,6,57144,74,31,0.002309954,0.000104998,0,3,6,0,2
223,50,568,85,9,51058,405,158,0.001664773,0.00017627,4,3,5,1,1
224,0,322,7,3,23989,12,6,0.0002918,0.000125057,0,0,2,0,0
225,92,904,317,12,121233,504,193,0.0026148,9.8983E-05,3,2,9,3,4
226,51,536,145,6,52437,466,121,0.002765223,0.000114423,1,3,4,4,1
227,100,1437,303,6,126205,938,176,0.002400856,4.75417E-05,2,2,13,6,6
228,51,536,145,6,52437,466,120,0.002765223,0.000114423,1,3,4,4,1
229,51,546,143,6,52763,468,120,0.002710233,0.000113716,1,3,4,4,1
230,92,477,153,12,67860,171,76,0.002254642,0.000176835,1,9,4,4,0
231,51,564,139,9,55286,303,110,0.002514199,0.00016279,0,2,3,0,1
232,92,321,132,6,57126,73,31,0.002310682,0.000105031,0,3,6,0,2
233,50,165,66,5111,19508,21,9,0.003383227,0.261995079,1,5,6,6,1
234,51,248,91,6,26675,99,42,0.003411434,0.00022493,3,2,16,5,8
235,0,789,185,9,84562,495,201,0.002187744,0.000106431,1,3,4,4,1
236,92,1263,399,41332,134358,616,236,0.002969678,0.307625895,1,3,7,7,2
237,92,1342,371,6,138077,723,291,0.002686907,4.3454E-05,0,1,7,0,7
238,100,1849,516,12,196546,842,324,0.00262534,6.10544E-05,4,1,17,4,17
239,51,1188,339,4956,92354,288,116,0.003670659,0.053663079,0,7,2,0,0
240,51,63,20,5111,6990,2,1,0.00286123,0.731187411,0,0,3,0,0
241,92,1153,184,9,167880,2243,361,0.001096021,5.36097E-05,1,1,3,3,3
243,0,29,1,3,2092,6,3,0.000478011,0.001434034,0,0,2,0,0
244,92,1059,408,12,122705,632,216,0.003325048,9.77955E-05,3,1,6,2,6
245,92,3531,837,6,447997,4446,897,0.001868316,1.33929E-05,1,3,11,11,3
246,92,897,261,9,122202,471,188,0.002135808,7.36485E-05,0,4,5,0,1
247,51,536,145,6,52437,465,121,0.002765223,0.000114423,1,3,4,4,1
248,92,1663,238,9,204546,2783,426,0.001163552,4.39999E-05,2,1,8,4,8
249,0,333,135,3,42537,126,52,0.003173708,7.05268E-05,0,6,1,0,0
250,100,2706,708,6,277390,2149,612,0.002552363,2.16302E-05,1,3,10,10,3
252,100,2557,553,6,290534,3367,580,0.001903392,2.06516E-05,5,1,14,2,14
253,92,691,208,6,97261,331,127,0.002138576,6.16897E-05,0,1,3,0,3
258,51,2051,845,30,229447,1774,447,0.003682768,0.000130749,0,4,6,0,1
261,92,1263,399,41332,134358,618,237,0.002969678,0.307625895,1,3,7,7,2
262,100,2400,556,9,245421,1278,460,0.002265495,3.66717E-05,2,1,10,5,10
263,51,225,46,9,22848,175,77,0.002013305,0.000393908,2,6,9,4,1
265,50,2460,863,12,698017,1943,649,0.00123636,1.71916E-05,11,1,26,2,26
267,51,65,20,5111,7106,2,1,0.002814523,0.719251337,0,0,3,0,0
268,50,85,38,9,8035,6,3,0.004729309,0.0011201,0,0,5,0,0
269,51,164,56,6,25089,28,12,0.002232054,0.000239149,1,4,7,7,1
270,51,178,57,3,16302,34,15,0.003496503,0.000184026,0,1,3,0,3
272,50,795,144,15,75604,767,242,0.001904661,0.000198402,2,1,12,6,12
274,100,238,90,3,29589,19,9,0.003041671,0.000101389,6,0,14,2,0
286,50,1310,344,12,111423,524,170,0.003087334,0.000107698,7,4,17,2,4
287,50,4857,1227,18,520565,5504,1501,0.002357054,3.45778E-05,3,3,16,5,5
289,92,613,167,6,76486,385,145,0.002183406,7.84457E-05,0,1,4,0,4
291,51,162,87,6,16188,116,42,0.005374351,0.000370645,1,0,9,9,0
292,51,1262,461,3667,120755,990,364,0.003817647,0.030367273,0,2,5,0,2
294,92,552,146,6,71235,279,116,0.002049554,8.42283E-05,0,1,3,0,3
309,51,1426,399,18,140060,698,264,0.002848779,0.000128516,0,3,4,0,1
310,92,1518,462,12,180984,947,373,0.002552712,6.63042E-05,0,6,5,0,0
311,51,1037,378,12,153372,1292,269,0.002464596,7.82411E-05,1,1,5,5,5
312,92,458,144,9,66859,252,110,0.002153786,0.000134612,0,5,4,0,0
313,50,1851,451,15,180140,1066,382,0.002503608,8.32686E-05,0,3,8,0,2
314,92,286,91,6,46949,59,26,0.001938273,0.000127798,0,1,2,0,2
315,51,239,66,6,20370,40,18,0.003240059,0.000294551,0,1,2,0,2
316,51,248,123,6,22801,52,21,0.0053945,0.000263146,0,6,3,0,0
317,51,787,189,6,65793,379,106,0.002872646,9.11951E-05,1,3,5,5,1
335,51,554,153,9,59768,285,118,0.002559898,0.000150582,2,2,10,5,5
336,100,1038,296,9,126976,523,216,0.002331149,7.08795E-05,0,6,6,0,1
337,100,1038,296,9,126976,525,217,0.002331149,7.08795E-05,0,6,6,0,1
338,100,1811,472,9,231967,1058,402,0.002034772,3.87986E-05,0,7,6,0,0
339,92,1351,391,9,158075,736,290,0.002473509,5.6935E-05,1,3,7,7,2
340,100,1035,296,6,126567,531,221,0.002338682,4.74057E-05,0,6,6,0,1
353,51,234,90,6,18709,25,11,0.004810519,0.000320701,0,1,2,0,2
354,50,571,153,6,54823,295,127,0.002790799,0.000109443,0,1,8,0,8
357,92,709,179,6,86922,366,153,0.002059318,6.90274E-05,1,1,6,6,6
358,92,2777,602,9,355827,4398,891,0.001691833,2.52932E-05,0,6,3,0,0
359,92,975,233,9,99207,244,95,0.002348625,9.07194E-05,1,3,5,5,1
361,51,502,261,22681,49951,111,47,0.005225121,0.454064984,2,1,9,4,9
363,51,103,43,12,9341,53,24,0.004603362,0.001284659,0,2,4,0,2
364,51,36,10,3,4102,23,11,0.002437835,0.000731351,0,0,5,0,0
366,0,85,24,3,5809,17,8,0.00413152,0.00051644,1,2,2,2,1
367,92,649,188,6,92324,337,139,0.002036307,6.49885E-05,0,2,5,0,2
368,51,70,20,5111,7488,13,3,0.00267094,0.682558761,1,1,3,3,3
370,51,164,56,6,25089,28,12,0.002232054,0.000239149,1,4,7,7,1
374,92,3883,909,9,445183,4502,985,0.002041857,2.02164E-05,0,4,5,0,1
375,50,516,171,3,49795,223,100,0.00343408,6.0247E-05,1,2,13,13,6
377,50,192,62,3,15584,50,20,0.003978439,0.000192505,0,0,5,0,0
378,51,226,81,4961,22080,68,30,0.003668478,0.224682971,0,1,5,0,5
379,50,1859,496,12,172263,847,300,0.002879318,6.96609E-05,3,2,16,5,8
380,92,291,102,6,50878,127,51,0.002004796,0.000117929,1,1,6,6,6
381,51,1786,455,9,176741,1177,477,0.002574389,5.0922E-05,4,4,17,4,4
384,92,2969,572,9,335287,3839,849,0.001706001,2.68427E-05,3,1,15,5,15
385,92,1065,276,15,110050,290,114,0.002507951,0.000136302,7,3,17,2,5
387,100,752,172,9,86644,365,149,0.001985135,0.000103873,3,1,7,2,7
389,92,671,189,9,94529,611,170,0.001999386,9.52089E-05,2,2,7,3,3
390,100,2063,588,13765,197068,915,299,0.002983742,0.069848986,0,4,6,0,1
391,51,104,43,12,9354,53,24,0.004596964,0.001282874,0,2,4,0,2
393,50,4171,1061,9,346629,1679,504,0.00306091,2.59644E-05,1,3,12,12,4
395,100,5744,1745,28,616675,5699,1312,0.002829691,4.54048E-05,1,4,11,11,2
397,100,3159,805,18,275531,1112,411,0.002921631,6.53284E-05,2,4,12,6,3
398,100,6016,1814,28,646210,5890,1373,0.002807137,4.33296E-05,1,5,12,12,2
400,51,1943,617,325194,184586,845,321,0.003342615,1.761747912,3,3,27,9,9
409,50,686,172,9,63376,242,95,0.002713961,0.00014201,0,2,10,0,5
412,50,458,134,9,44058,278,81,0.003041445,0.000204276,0,4,6,0,1
413,51,245,78,3,27398,129,55,0.002846923,0.000109497,1,0,6,6,0
414,51,508,124,6,37287,71,28,0.003325556,0.000160914,0,1,2,0,2
415,92,600,190,6,59898,296,135,0.003172059,0.00010017,6,5,18,3,3
421,51,87,20,5117,14955,27,3,0.001337345,0.342159813,0,0,2,0,0
422,51,106,45,3,12212,8,4,0.0036849,0.00024566,0,1,3,0,3
425,50,618,174,12,65414,271,101,0.002659981,0.000183447,2,2,13,6,6
426,50,921,354,15,83469,121,48,0.004241095,0.000179707,1,2,11,11,5
427,51,2895,691,15,255728,1899,417,0.00270209,5.86561E-05,1,1,11,11,11
428,0,22,1,3,1514,16,2,0.000660502,0.001981506,0,0,1,0,0
429,51,109,27,5114,11059,13,5,0.00244145,0.462428791,0,0,3,0,0
435,92,847,283,15,104032,352,137,0.002720317,0.000144186,0,2,5,0,2
437,52,2156,740,21,245741,1488,502,0.003011301,8.54558E-05,6,0,20,3,0
441,50,84,13,9,7032,82,26,0.001848692,0.001279863,0,3,4,0,1
443,100,4545,1128,20,555093,5702,1182,0.002032092,3.603E-05,3,3,16,5,5
444,51,435,84,6,40867,242,101,0.002055448,0.000146818,1,3,2,2,0
445,92,384,122,534,63670,224,88,0.00191613,0.008386995,2,1,5,2,5
447,0,333,68,6,23022,84,31,0.002953696,0.00026062,0,0,2,0,0
449,51,153,33,9,16140,166,24,0.00204461,0.000557621,2,2,10,5,5
450,53,788,255,6,81860,479,195,0.003115075,7.32959E-05,11,0,22,2,0
451,50,1054,391,15,120183,780,279,0.003253372,0.00012481,0,5,7,0,1
456,51,555,128,6,49000,259,106,0.002612245,0.000122449,0,3,4,0,1
458,0,81,28,4958,13119,6,3,0.002134309,0.377925147,0,2,1,0,0
459,50,421,148,15,48930,462,183,0.003024729,0.00030656,0,3,9,0,3
461,92,931,226,9,108047,470,192,0.002091682,8.32971E-05,4,2,11,2,5
464,92,990,274,13,122380,501,203,0.002238928,0.000106227,0,5,5,0,1
466,51,30,4,3,2227,6,3,0.001796138,0.001347104,1,0,3,3,0
472,51,36,3,6,5303,13,6,0.000565718,0.001131435,2,0,3,1,0
482,51,763,224,6,82478,337,128,0.002715876,7.27467E-05,0,2,4,0,2
483,92,653,155,6,83004,329,138,0.00186738,7.22857E-05,0,2,3,0,1
484,51,357,58,9,30012,213,88,0.00193256,0.00029988,0,3,4,0,1
485,51,262,63,3354,20781,75,31,0.003031615,0.16139743,0,0,3,0,0
486,50,2838,552,12,212933,840,317,0.002592365,5.63558E-05,2,4,15,7,3
487,51,153,59,6,17335,40,20,0.003403519,0.000346121,0,1,2,0,2
494,50,124,25,6,15363,57,18,0.001627286,0.000390549,0,1,6,0,6
496,92,233,96,6,43743,53,23,0.002194637,0.000137165,0,3,4,0,1
497,51,80,8,6,4877,87,13,0.001640353,0.001230265,0,1,2,0,2
498,92,928,324,15,126166,352,135,0.002568045,0.000118891,0,2,7,0,3
499,51,2525,949,30,284982,2270,577,0.003330035,0.00010527,0,5,7,0,1
502,50,151,38,5114,13387,8,4,0.002838575,0.3820124,1,1,5,5,5
521,92,2020,640,9,208925,1077,391,0.0030633,4.30777E-05,0,6,6,0,1
522,51,3264,1045,69,281164,971,351,0.003716692,0.000245408,1,2,10,10,5
523,51,610,149,6,55731,320,134,0.002673557,0.00010766,0,1,3,0,3
