Name ,FuzzyRisk,JavaFiles,Jlint,DefectCOunt,LOC,CloneFragment,CloneGroup,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount
Ex Converter,51,240,69,6,22222,31,13,0.003105031,0.000270003,0,2,2
Cen-Dak Sales & Leasing,51,846,216,12,92997,516,207,0.002322656,0.000129036,1,2,3
Roofing Designs,92,493,126,6,66430,249,104,0.001896733,9.03206E-05,0,1,2
Feeding Healthy and Healthy,100,2027,595,15,239073,1210,451,0.00248878,6.27423E-05,1,8,7
Han Elektronik,50,2044,643,15,189110,1349,429,0.003400137,7.93189E-05,1,3,14
CourseSaver DAT / MCAT Prep,92,170,52,6,19327,90,42,0.002690537,0.000310447,0,9,2
Math Choices,51,129,63,3,24743,65,20,0.002546175,0.000121246,0,2,3
B7 Team,92,2546,692,12,237045,948,345,0.002919277,5.06233E-05,1,9,8
H.W.Larsen Shop,51,16,0,6,649,6,3,0,0.009244992,0,0,2
HV Renegades,50,12,0,3,498,2,1,0,0.006024096,3,0,6
Awa Braids Alexandria VA,51,629,164,6,56130,183,68,0.002921789,0.000106895,0,1,2
CRA-RJ,50,1809,175,30,193463,2460,413,0.000904566,0.000155068,3,2,11
Indian Tales,51,247,53,3378,23604,147,62,0.002245382,0.143111337,1,0,4
Your Music Finder,92,1898,373,6,168048,1251,256,0.002219604,3.57041E-05,0,2,6
ZDNet.de,100,6135,1754,12,674800,41,17,0.002599289,1.7783E-05,3,4,16
AviCalc,51,729,149,6,78359,442,176,0.001901505,7.65707E-05,0,4,1
AITAM,51,564,94,6,51076,415,158,0.001840395,0.000117472,1,2,7
????,51,306,52,9,27147,193,82,0.001915497,0.000331528,3,2,8
NHIEC,95,2843,612,12,290489,1743,616,0.002106792,4.13097E-05,2,3,12
ORAGuyane,92,155,47,6,18079,82,38,0.002599701,0.000331877,0,9,2
??????? ?????,92,2970,867,18,298151,1165,423,0.002907922,6.03721E-05,1,9,8
?????????,51,3125,1075,15,307720,1526,534,0.003493436,4.87456E-05,6,3,20
???(??????????),51,2582,781,18,269438,1681,576,0.002898626,6.68057E-05,3,2,19
Naveeds Events,51,319,97,6,23129,53,23,0.004193869,0.000259415,0,4,5
Lamborghini HD Wallpapers,92,670,156,6,85473,351,143,0.001825138,7.01976E-05,0,2,3
Script Font For Samsung Galaxy,92,1663,238,9,204546,2795,424,0.001163552,4.39999E-05,2,1,8
Kuis Millionaire Indonesia,51,389,186,6,46742,147,63,0.003979291,0.000128364,9,0,27
Heidi Klum Prank Calls,51,1018,252,9,98892,530,211,0.002548234,9.10084E-05,3,2,11
SpaceDialer,52,1073,686,1451,93804,422,166,0.007313121,0.015468424,8,1,20
Al Salam Mobile Banking,51,1015,141,12,78355,698,270,0.001799502,0.000153149,1,1,3
